sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of Library of the World's Best Literature, Ancient and Modern -- Volume 11 This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",0.5574,0.131,0.082,0.787,positive,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"Title : Library of the World's Best Literature, Ancient and Modern -- Volume 11 Editor : Charles Dudley Warner Hamilton Wright Mabie Lucia Gilbert Runkle George H. Warner Release date : April 7, 2008 [eBook #25015] Most recently updated: January 3, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/25015 Credits : Produced by Juliet Sutherland, Annie McGuire and the Online Distributed Proofreading Team at https://www.pgdp.net *** START OF THE PROJECT GUTENBERG EBOOK LIBRARY OF THE WORLD'S BEST LITERATURE, ANCIENT AND MODERN -- VOLUME 11 *** THE OLDEST LOMBARDIC MANUSCRIPT.",0.9124,0.124,0.0,0.876,positive,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"Facsimile from an Edict of King Rotharis, A.D. 643.",0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
Translation.,0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"LXX If anybody of another the great toe from the foot severs, he pays solidi sixteen.",0.6249,0.215,0.0,0.785,positive,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"LXXI If the second toe from the foot he severs, he pays solidi six.",0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"LXXII If the third toe he severs, he pays solidi three.",0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"LXXIII If the fourth toe he severs, he pays solidi three.",0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"LXXIIII If the fifth toe he severs, he pays solidi two.",0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"LXXV Upon all these damages or injuries, above described, which among men exempt occurred, therefore, a heavier punishment, have we placed than our ancestors, that the Faida (feud, vendetta), that is, the hatred, after the receiving the above described (ssta--suprascripta) punishment, may cease, and, moreover, not be required, nor craftiness LIBRARY OF THE WORLD'S BEST LITERATURE ANCIENT AND MODERN CHARLES DUDLEY WARNER EDITOR HAMILTON WRIGHT MABIE LUCIA GILBERT RUNKLE GEORGE HENRY WARNER ASSOCIATE EDITORS Connoisseur Edition VOL.",-0.8002,0.07,0.15,0.779,negative,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
XI.,0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"1896 THE ADVISORY COUNCIL CRAWFORD H. TOY, A.M., LL.D., Professor of Hebrew, Harvard University , Cambridge, Mass.",0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"THOMAS R. LOUNSBURY, LL.D., L.H.D., Professor of English in the Sheffield Scientific School of Yale University , New Haven, Conn. WILLIAM M. SLOANE, PH.D., L.H.D., Professor of History and Political Science, Princeton University , Princeton, N. J. BRANDER MATTHEWS, A.M., LL.B., Professor of Literature, Columbia University , New York City.",0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"JAMES B. ANGELL, LL.D., President of the University of Michigan , Ann Arbor, Mich. WILLARD FISKE, A.M., PH.D., Late Professor of the Germanic and Scandinavian Languages and Literatures, Cornell University , Ithaca, N.Y. EDWARD S. HOLDEN, A.M., LL.D., Director of the Lick Observatory, and Astronomer, University of California , Berkeley, Cal.",0.0,0.0,0.0,1.0,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"ALCÉE FORTIER, LIT.D., Professor of the Romance Languages, Tulane University , New Orleans, La.",0.5574,0.231,0.0,0.769,positive,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
"WILLIAM P. TRENT, M.A., Dean of the Department of Arts and Sciences, and Professor of English and History, University of the South , Sewanee, Tenn. PAUL SHOREY, PH.D., Professor of Greek and Latin Literature, University of Chicago , Chicago, Ill. WILLIAM T. HARRIS, LL.D., United States Commissioner of Education, Bureau of Education , Washington, D.C. MAURICE FRANCIS EGAN, A.M., LL.D., Professor of Literature in the Catholic University of America , Washington, D.C. TABLE OF CONTENTS VOL.",0.0,0.037,0.037,0.926,neutral,"Library of the World's Best Literature, Ancient and Modern — Volume 11"
