sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Anne of Green Gables This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.066,0.104,0.829,negative,Anne of Green Gables
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Anne of Green Gables
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Anne of Green Gables
"Title : Anne of Green Gables Author : L. M. Montgomery Release date : June 27, 2008 [eBook #45] Most recently updated: April 29, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/45 Credits : David Widger and Charles Keller *** START OF THE PROJECT GUTENBERG EBOOK ANNE OF GREEN GABLES *** ANNE OF GREEN GABLES By Lucy Maud Montgomery CONTENTS ANNE OF GREEN GABLES CHAPTER I. Mrs. Rachel Lynde Is Surprised CHAPTER II.",0.5267,0.062,0.0,0.938,positive,Anne of Green Gables
Matthew Cuthbert Is surprised CHAPTER III.,0.2263,0.275,0.0,0.725,positive,Anne of Green Gables
Marilla Cuthbert Is Surprised CHAPTER IV.,0.2263,0.275,0.0,0.725,positive,Anne of Green Gables
Morning at Green Gables CHAPTER V. Anne's History CHAPTER VI.,0.0,0.0,0.0,1.0,neutral,Anne of Green Gables
Marilla Makes Up Her Mind CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,Anne of Green Gables
Anne Says Her Prayers CHAPTER VIII.,0.0,0.0,0.0,1.0,neutral,Anne of Green Gables
Anne's Bringing-up Is Begun CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,Anne of Green Gables
Mrs. Rachel Lynde Is Properly Horrified CHAPTER X. Anne's Apology CHAPTER XI.,-0.5106,0.082,0.238,0.68,negative,Anne of Green Gables
Anne's Impressions of Sunday-school CHAPTER XII.,0.2263,0.275,0.0,0.725,positive,Anne of Green Gables
A Solemn Vow and Promise CHAPTER XIII.,0.25,0.303,0.171,0.526,positive,Anne of Green Gables
