sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Beyond Good and Evil This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.4767,0.12,0.185,0.695,negative,Beyond Good and Evil
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Beyond Good and Evil
"Title : Beyond Good and Evil Author : Friedrich Wilhelm Nietzsche Translator : Helen Zimmern Release date : August 1, 2003 [eBook #4363] Most recently updated: January 9, 2019 Language : English Other information and formats : www.gutenberg.org/ebooks/4363 Credits : Produced by John Mamoun, Charles Franks, David Widger and the Online Distributed Proofreading Team *** START OF THE PROJECT GUTENBERG EBOOK BEYOND GOOD AND EVIL *** BEYOND GOOD AND EVIL By Friedrich Nietzsche Translated by Helen Zimmern TRANSCRIBER'S NOTE ABOUT THIS E-TEXT EDITION: The following is a reprint of the Helen Zimmern translation from German into English of ""Beyond Good and Evil,"" as published in The Complete Works of Friedrich Nietzsche (1909-1913).",-0.2732,0.123,0.116,0.761,negative,Beyond Good and Evil
Some adaptations from the original text were made to format it into an e-text.,0.3182,0.15,0.0,0.85,positive,Beyond Good and Evil
"Italics in the original book are capitalized in this e-text, except for most foreign language phrases that were italicized.",0.3182,0.113,0.0,0.887,positive,Beyond Good and Evil
Original footnotes are put in brackets [ ] at the points where they are cited in the text.,0.3182,0.133,0.0,0.867,positive,Beyond Good and Evil
Some spellings were altered.,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"""To-day"" and ""To-morrow"" are spelled ""today"" and ""tomorrow.""",0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"Some words containing the letters ""ise"" in the original text, such as ""idealise,"" had these letters changed to ""ize,"" such as ""idealize.""",0.3182,0.099,0.0,0.901,positive,Beyond Good and Evil
"""Sceptic"" was changed to ""skeptic.""",0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
Contents PREFACE CHAPTER I.,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
PREJUDICES OF PHILOSOPHERS CHAPTER II.,-0.4215,0.0,0.412,0.588,negative,Beyond Good and Evil
THE FREE SPIRIT CHAPTER III.,0.6124,0.625,0.0,0.375,positive,Beyond Good and Evil
THE RELIGIOUS MOOD CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
APOPHTHEGMS AND INTERLUDES CHAPTER V. THE NATURAL HISTORY OF MORALS CHAPTER VI.,0.3612,0.185,0.0,0.815,positive,Beyond Good and Evil
WE SCHOLARS CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
OUR VIRTUES CHAPTER VIII.,0.3612,0.455,0.0,0.545,positive,Beyond Good and Evil
PEOPLES AND COUNTRIES CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
WHAT IS NOBLE?,0.4588,0.6,0.0,0.4,positive,Beyond Good and Evil
FROM THE HEIGHTS PREFACE SUPPOSING that Truth is a woman--what then?,0.3182,0.204,0.0,0.796,positive,Beyond Good and Evil
"Is there not ground for suspecting that all philosophers, in so far as they have been dogmatists, have failed to understand women--that the terrible seriousness and clumsy importunity with which they have usually paid their addresses to Truth, have been unskilled and unseemly methods for winning a woman?",-0.0982,0.129,0.136,0.735,negative,Beyond Good and Evil
"Certainly she has never allowed herself to be won; and at present every kind of dogma stands with sad and discouraged mien--IF, indeed, it stands at all!",0.1511,0.182,0.165,0.654,positive,Beyond Good and Evil
"For there are scoffers who maintain that it has fallen, that all dogma lies on the ground--nay more, that it is at its last gasp.",-0.6486,0.0,0.187,0.813,negative,Beyond Good and Evil
"But to speak seriously, there are good grounds for hoping that all dogmatizing in philosophy, whatever solemn, whatever conclusive and decided airs it has assumed, may have been only a noble puerilism and tyronism; and probably the time is at hand when it will be once and again understood WHAT has actually sufficed for the basis of such imposing and absolute philosophical edifices as the dogmatists have hitherto reared: perhaps some popular superstition of immemorial time (such as the soul-superstition, which, in the form of subject- and ego-superstition, has not yet ceased doing mischief): perhaps some play upon words, a deception on the part of grammar, or an audacious generalization of very restricted, very personal, very human--all-too-human facts.",0.935,0.176,0.09,0.733,positive,Beyond Good and Evil
"The philosophy of the dogmatists, it is to be hoped, was only a promise for thousands of years afterwards, as was astrology in still earlier times, in the service of which probably more labour, gold, acuteness, and patience have been spent than on any actual science hitherto: we owe to it, and to its ""super-terrestrial"" pretensions in Asia and Egypt, the grand style of architecture.",0.7845,0.115,0.0,0.885,positive,Beyond Good and Evil
"It seems that in order to inscribe themselves upon the heart of humanity with everlasting claims, all great things have first to wander about the earth as enormous and awe-inspiring caricatures: dogmatic philosophy has been a caricature of this kind--for instance, the Vedanta doctrine in Asia, and Platonism in Europe.",0.6249,0.079,0.0,0.921,positive,Beyond Good and Evil
"Let us not be ungrateful to it, although it must certainly be confessed that the worst, the most tiresome, and the most dangerous of errors hitherto has been a dogmatist error--namely, Plato's invention of Pure Spirit and the Good in Itself.",-0.3973,0.18,0.193,0.627,negative,Beyond Good and Evil
"But now when it has been surmounted, when Europe, rid of this nightmare, can again draw breath freely and at least enjoy a healthier--sleep, we, WHOSE DUTY IS WAKEFULNESS ITSELF, are the heirs of all the strength which the struggle against this error has fostered.",0.7876,0.215,0.112,0.673,positive,Beyond Good and Evil
"It amounted to the very inversion of truth, and the denial of the PERSPECTIVE--the fundamental condition--of life, to speak of Spirit and the Good as Plato spoke of them; indeed one might ask, as a physician: ""How did such a malady attack that finest product of antiquity, Plato?",0.4703,0.137,0.059,0.804,positive,Beyond Good and Evil
Had the wicked Socrates really corrupted him?,-0.5267,0.0,0.362,0.638,negative,Beyond Good and Evil
"Was Socrates after all a corrupter of youths, and deserved his hemlock?""",0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"But the struggle against Plato, or--to speak plainer, and for the ""people""--the struggle against the ecclesiastical oppression of millenniums of Christianity (FOR CHRISTIANITY IS PLATONISM FOR THE ""PEOPLE""), produced in Europe a magnificent tension of soul, such as had not existed anywhere previously; with such a tensely strained bow one can now aim at the furthest goals.",-0.8338,0.077,0.219,0.705,negative,Beyond Good and Evil
"As a matter of fact, the European feels this tension as a state of distress, and twice attempts have been made in grand style to unbend the bow: once by means of Jesuitism, and the second time by means of democratic enlightenment--which, with the aid of liberty of the press and newspaper-reading, might, in fact, bring it about that the spirit would not so easily find itself in ""distress""!",-0.1737,0.122,0.11,0.768,negative,Beyond Good and Evil
(The Germans invented gunpowder--all credit to them!,0.4389,0.325,0.0,0.675,positive,Beyond Good and Evil
but they again made things square--they invented printing.),0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"But we, who are neither Jesuits, nor democrats, nor even sufficiently Germans, we GOOD EUROPEANS, and free, VERY free spirits--we have it still, all the distress of spirit and all the tension of its bow!",0.8638,0.307,0.143,0.55,positive,Beyond Good and Evil
"And perhaps also the arrow, the duty, and, who knows?",0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"THE GOAL TO AIM AT.... Sils Maria Upper Engadine, JUNE, 1885.",0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
CHAPTER I.,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
PREJUDICES OF PHILOSOPHERS 1.,-0.5473,0.0,0.541,0.459,negative,Beyond Good and Evil
"The Will to Truth, which is to tempt us to many a hazardous enterprise, the famous Truthfulness of which all philosophers have hitherto spoken with respect, what questions has this Will to Truth not laid before us!",0.8655,0.25,0.0,0.75,positive,Beyond Good and Evil
"What strange, perplexing, questionable questions!",-0.5093,0.0,0.589,0.411,negative,Beyond Good and Evil
It is already a long story; yet it seems as if it were hardly commenced.,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"Is it any wonder if we at last grow distrustful, lose patience, and turn impatiently away?",-0.8176,0.0,0.395,0.605,negative,Beyond Good and Evil
That this Sphinx teaches us at last to ask questions ourselves?,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
WHO is it really that puts questions to us here?,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"WHAT really is this ""Will to Truth"" in us?",0.3182,0.223,0.0,0.777,positive,Beyond Good and Evil
In fact we made a long halt at the question as to the origin of this Will--until at last we came to an absolute standstill before a yet more fundamental question.,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
We inquired about the VALUE of this Will.,0.4824,0.309,0.0,0.691,positive,Beyond Good and Evil
Granted that we want the truth: WHY NOT RATHER untruth?,0.5574,0.444,0.0,0.556,positive,Beyond Good and Evil
And uncertainty?,-0.34,0.0,0.706,0.294,negative,Beyond Good and Evil
Even ignorance?,-0.3612,0.0,0.714,0.286,negative,Beyond Good and Evil
The problem of the value of truth presented itself before us--or was it we who presented ourselves before the problem?,-0.1779,0.18,0.207,0.613,negative,Beyond Good and Evil
Which of us is the Oedipus here?,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
Which the Sphinx?,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
It would seem to be a rendezvous of questions and notes of interrogation.,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"And could it be believed that it at last seems to us as if the problem had never been propounded before, as if we were the first to discern it, get a sight of it, and RISK RAISING it?",-0.6739,0.0,0.133,0.867,negative,Beyond Good and Evil
"For there is risk in raising it, perhaps there is no greater risk.",-0.4404,0.14,0.358,0.503,negative,Beyond Good and Evil
2.,0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"""HOW COULD anything originate out of its opposite?",0.0,0.0,0.0,1.0,neutral,Beyond Good and Evil
"For example, truth out of error?",-0.1027,0.256,0.3,0.444,negative,Beyond Good and Evil
or the Will to Truth out of the will to deception?,-0.1531,0.162,0.204,0.634,negative,Beyond Good and Evil
or the generous deed out of selfishness?,0.1531,0.3,0.245,0.455,positive,Beyond Good and Evil
or the pure sun-bright vision of the wise man out of covetousness?,0.6249,0.338,0.0,0.662,positive,Beyond Good and Evil
"Such genesis is impossible; whoever dreams of it is a fool, nay, worse than a fool; things of the highest value must have a different origin, an origin of THEIR own--in this transitory, seductive, illusory, paltry world, in this turmoil of delusion and cupidity, they cannot have their source.",-0.7701,0.09,0.207,0.703,negative,Beyond Good and Evil
"But rather in the lap of Being, in the intransitory, in the concealed God, in the 'Thing-in-itself--THERE must be their source, and nowhere else!""",0.4482,0.113,0.0,0.887,positive,Beyond Good and Evil
"--This mode of reasoning discloses the typical prejudice by which metaphysicians of all times can be recognized, this mode of valuation is at the back of all their logical procedure; through this ""belief"" of theirs, they exert themselves for their ""knowledge,"" for something that is in the end solemnly christened ""the Truth.""",-0.3612,0.033,0.06,0.907,negative,Beyond Good and Evil
The fundamental belief of metaphysicians is THE BELIEF IN ANTITHESES OF VALUES.,0.5319,0.238,0.0,0.762,positive,Beyond Good and Evil
"It never occurred even to the wariest of them to doubt here on the very threshold (where doubt, however, was most necessary); though they had made a solemn vow, ""DE OMNIBUS DUBITANDUM.""",-0.6486,0.0,0.184,0.816,negative,Beyond Good and Evil
