sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Dead Souls This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.7096,0.064,0.2,0.736,negative,Dead Souls
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Dead Souls
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Dead Souls
"Title : Dead Souls Author : Nikolai Vasilevich Gogol Translator : D. J. Hogarth Release date : October 1, 1997 [eBook #1081] Most recently updated: October 29, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1081 Credits : John Bickers, and David Widger *** START OF THE PROJECT GUTENBERG EBOOK DEAD SOULS *** DEAD SOULS By Nikolai Vasilievich Gogol Translated by D. J. Hogarth Introduction By John Cournos CONTENTS Introduction By John Cournos PREPARER'S NOTE INTRODUCTION AUTHOR'S PREFACE TO THE FIRST PORTION OF THIS WORK DEAD SOULS PART I CHAPTER I CHAPTER II CHAPTER III CHAPTER IV CHAPTER V CHAPTER VI CHAPTER VII CHAPTER VIII CHAPTER IX CHAPTER X CHAPTER XI PART II CHAPTER I CHAPTER II CHAPTER III CHAPTER IV FOOTNOTES: Introduction By John Cournos Nikolai Vasilievich Gogol, born at Sorochintsky, Russia, on 31st March 1809.",-0.9633,0.017,0.136,0.847,negative,Dead Souls
Obtained government post at St. Petersburg and later an appointment at the university.,0.0,0.0,0.0,1.0,neutral,Dead Souls
Lived in Rome from 1836 to 1848.,0.0,0.0,0.0,1.0,neutral,Dead Souls
Died on 21st February 1852.,-0.5574,0.0,0.474,0.526,negative,Dead Souls
"PREPARER'S NOTE The book this was typed from contains a complete Part I, and a partial Part II, as it seems only part of Part II survived the adventures described in the introduction.",0.6908,0.164,0.0,0.836,positive,Dead Souls
"Where the text notes that pages are missing from the ""original"", this refers to the Russian original, not the translation.",0.0258,0.102,0.098,0.8,neutral,Dead Souls
"All the foreign words were italicised in the original, a style not preserved here.",0.3182,0.161,0.0,0.839,positive,Dead Souls
Accents and diphthongs have also been left out.,0.0,0.0,0.0,1.0,neutral,Dead Souls
"INTRODUCTION Dead Souls, first published in 1842, is the great prose classic of Russia.",-0.0516,0.201,0.211,0.588,negative,Dead Souls
"That amazing institution, ""the Russian novel,"" not only began its career with this unfinished masterpiece by Nikolai Vasil'evich Gogol, but practically all the Russian masterpieces that have come since have grown out of it, like the limbs of a single tree.",0.9178,0.265,0.0,0.735,positive,Dead Souls
"Dostoieffsky goes so far as to bestow this tribute upon an earlier work by the same author, a short story entitled The Cloak; this idea has been wittily expressed by another compatriot, who says: ""We have all issued out of Gogol's Cloak.""",0.2732,0.05,0.0,0.95,positive,Dead Souls
"Dead Souls, which bears the word ""Poem"" upon the title page of the original, has been generally compared to Don Quixote and to the Pickwick Papers, while E. M. Vogue places its author somewhere between Cervantes and Le Sage.",-0.4588,0.053,0.099,0.849,negative,Dead Souls
"However considerable the influences of Cervantes and Dickens may have been--the first in the matter of structure, the other in background, humour, and detail of characterisation--the predominating and distinguishing quality of the work is undeniably something foreign to both and quite peculiar to itself; something which, for want of a better term, might be called the quality of the Russian soul.",0.807,0.158,0.0,0.842,positive,Dead Souls
"The English reader familiar with the works of Dostoieffsky, Turgenev, and Tolstoi, need hardly be told what this implies; it might be defined in the words of the French critic just named as ""a tendency to pity.""",-0.2732,0.0,0.055,0.945,negative,Dead Souls
"One might indeed go further and say that it implies a certain tolerance of one's characters even though they be, in the conventional sense, knaves, products, as the case might be, of conditions or circumstance, which after all is the thing to be criticised and not the man.",0.128,0.084,0.055,0.861,positive,Dead Souls
"But pity and tolerance are rare in satire, even in clash with it, producing in the result a deep sense of tragic humour.",0.0387,0.219,0.214,0.567,neutral,Dead Souls
"It is this that makes of Dead Souls a unique work, peculiarly Gogolian, peculiarly Russian, and distinct from its author's Spanish and English masters.",-0.7269,0.0,0.262,0.738,negative,Dead Souls
Still more profound are the contradictions to be seen in the author's personal character; and unfortunately they prevented him from completing his work.,-0.5574,0.043,0.182,0.775,negative,Dead Souls
"The trouble is that he made his art out of life, and when in his final years he carried his struggle, as Tolstoi did later, back into life, he repented of all he had written, and in the frenzy of a wakeful night burned all his manuscripts, including the second part of Dead Souls, only fragments of which were saved.",-0.8316,0.041,0.17,0.789,negative,Dead Souls
There was yet a third part to be written.,0.0,0.0,0.0,1.0,neutral,Dead Souls
"Indeed, the second part had been written and burned twice.",0.0,0.0,0.0,1.0,neutral,Dead Souls
Accounts differ as to why he had burned it finally.,0.0,0.0,0.0,1.0,neutral,Dead Souls
