sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",0.2023,0.112,0.094,0.794,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"Title : The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar Author : Maurice Leblanc Release date : July 1, 2004 [eBook #6133] Most recently updated: April 8, 2023 Language : English Other information and formats : www.gutenberg.org/ebooks/6133 Credits : Nathan J. Miller and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE EXTRAORDINARY ADVENTURES OF ARSÈNE LUPIN, GENTLEMAN-BURGLAR *** The Extraordinary Adventures of Arsène Lupin, Gentleman-burglar By Maurice Leblanc Translated from the French By George Morehead Contents I.",0.8567,0.133,0.0,0.867,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The Arrest of Arsène Lupin II.,-0.34,0.0,0.324,0.676,negative,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
Arsène Lupin in Prison III.,-0.5106,0.0,0.452,0.548,negative,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The Escape of Arsène Lupin IV.,0.1779,0.254,0.0,0.746,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The Mysterious Traveller V. The Queen's Necklace VI.,0.0,0.0,0.0,1.0,neutral,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The Seven of Hearts VII.,0.0,0.0,0.0,1.0,neutral,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
Madame Imbert's Safe VIII.,0.4404,0.492,0.0,0.508,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The Black Pearl IX.,0.0,0.0,0.0,1.0,neutral,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
Sherlock Holmes Arrives Too Late I.,0.0,0.0,0.0,1.0,neutral,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The Arrest of Arsène Lupin It was a strange ending to a voyage that had commenced in a most auspicious manner.,-0.4939,0.0,0.208,0.792,negative,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"The transatlantic steamship 'La Provence' was a swift and comfortable vessel, under the command of a most affable man.",0.6249,0.254,0.0,0.746,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The passengers constituted a select and delightful society.,0.5859,0.388,0.0,0.612,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The charm of new acquaintances and improvised amusements served to make the time pass agreeably.,0.7783,0.394,0.0,0.606,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"We enjoyed the pleasant sensation of being separated from the world, living, as it were, upon an unknown island, and consequently obliged to be sociable with each other.",0.8591,0.275,0.0,0.725,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"Have you ever stopped to consider how much originality and spontaneity emanate from these various individuals who, on the preceding evening, did not even know each other, and who are now, for several days, condemned to lead a life of extreme intimacy, jointly defying the anger of the ocean, the terrible onslaught of the waves, the violence of the tempest and the agonizing monotony of the calm and sleepy water?",-0.9524,0.027,0.232,0.741,negative,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"Such a life becomes a sort of tragic existence, with its storms and its grandeurs, its monotony and its diversity; and that is why, perhaps, we embark upon that short voyage with mingled feelings of pleasure and fear.",0.079,0.15,0.143,0.707,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"But, during the past few years, a new sensation had been added to the life of the transatlantic traveler.",0.0,0.0,0.0,1.0,neutral,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The little floating island is now attached to the world from which it was once quite free.,0.5563,0.183,0.0,0.817,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"A bond united them, even in the very heart of the watery wastes of the Atlantic.",0.4215,0.167,0.0,0.833,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"That bond is the wireless telegraph, by means of which we receive news in the most mysterious manner.",0.0,0.0,0.0,1.0,neutral,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
We know full well that the message is not transported by the medium of a hollow wire.,0.2732,0.123,0.0,0.877,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"No, the mystery is even more inexplicable, more romantic, and we must have recourse to the wings of the air in order to explain this new miracle.",0.7056,0.212,0.066,0.722,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"During the first day of the voyage, we felt that we were being followed, escorted, preceded even, by that distant voice, which, from time to time, whispered to one of us a few words from the receding world.",0.0,0.0,0.0,1.0,neutral,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
Two friends spoke to me.,0.4767,0.437,0.0,0.563,positive,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"Ten, twenty others sent gay or somber words of parting to other passengers.",-0.4215,0.0,0.189,0.811,negative,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"On the second day, at a distance of five hundred miles from the French coast, in the midst of a violent storm, we received the following message by means of the wireless telegraph: ""Arsène Lupin is on your vessel, first cabin, blonde hair, wound right fore-arm, traveling alone under name of R........"" At that moment, a terrible flash of lightning rent the stormy skies.",-0.8402,0.0,0.134,0.866,negative,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The electric waves were interrupted.,-0.296,0.0,0.355,0.645,negative,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
The remainder of the dispatch never reached us.,-0.0762,0.0,0.156,0.844,negative,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"Of the name under which Arsène Lupin was concealing himself, we knew only the initial.",0.0,0.0,0.0,1.0,neutral,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
"If the news had been of some other character, I have no doubt that the secret would have been carefully guarded by the telegraphic operator as well as by the officers of the vessel.",-0.2732,0.097,0.126,0.777,negative,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
But it was one of those events calculated to escape from the most rigorous discretion.,-0.2592,0.113,0.17,0.717,negative,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
