sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Peter Pan This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.07,0.109,0.821,negative,Peter Pan
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Peter Pan
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Peter Pan
"Title : Peter Pan or, The boy who would not grow up Author : J. M. Barrie Release date : March 7, 2026 [eBook #78131] Language : English Original publication : New York: Charles Scribner's Sons, 1928 Other information and formats : www.gutenberg.org/ebooks/78131 Credits : Carla Foust, Mairi and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by The Internet Archive) *** START OF THE PROJECT GUTENBERG EBOOK PETER PAN *** THE WORKS OF J. M. BARRIE.",0.765,0.092,0.0,0.908,positive,Peter Pan
"NOVELS, STORIES, PLAYS, AND SKETCHES.",0.25,0.333,0.0,0.667,positive,Peter Pan
Uniform Edition.,0.0,0.0,0.0,1.0,neutral,Peter Pan
"AULD LICHT IDYLLS, BETTER DEAD.",-0.34,0.284,0.422,0.294,negative,Peter Pan
WHEN A MAN'S SINGLE.,0.0,0.0,0.0,1.0,neutral,Peter Pan
"A WINDOW IN THRUMS, AN EDINBURGH ELEVEN.",0.0,0.0,0.0,1.0,neutral,Peter Pan
THE LITTLE MINISTER.,0.0,0.0,0.0,1.0,neutral,Peter Pan
SENTIMENTAL TOMMY.,0.3182,0.697,0.0,0.303,positive,Peter Pan
"MY LADY NICOTINE, MARGARET OGILVY.",0.0,0.0,0.0,1.0,neutral,Peter Pan
TOMMY AND GRIZEL.,0.0,0.0,0.0,1.0,neutral,Peter Pan
THE LITTLE WHITE BIRD.,0.0,0.0,0.0,1.0,neutral,Peter Pan
PETER AND WENDY.,0.0,0.0,0.0,1.0,neutral,Peter Pan
"Also HALF HOURS, DER TAG.",0.0,0.0,0.0,1.0,neutral,Peter Pan
ECHOES OF THE WAR.,-0.5994,0.0,0.565,0.435,negative,Peter Pan
PLAYS.,0.25,1.0,0.0,0.0,positive,Peter Pan
Uniform Edition.,0.0,0.0,0.0,1.0,neutral,Peter Pan
PETER PAN.,0.0,0.0,0.0,1.0,neutral,Peter Pan
MARY ROSE.,0.0,0.0,0.0,1.0,neutral,Peter Pan
DEAR BRUTUS.,0.3818,0.722,0.0,0.278,positive,Peter Pan
A KISS FOR CINDERELLA.,0.4215,0.583,0.0,0.417,positive,Peter Pan
ALICE SIT-BY-THE-FIRE.,0.0,0.0,0.0,1.0,neutral,Peter Pan
WHAT EVERY WOMAN KNOWS.,0.0,0.0,0.0,1.0,neutral,Peter Pan
QUALITY STREET.,0.0,0.0,0.0,1.0,neutral,Peter Pan
THE ADMIRABLE CRICHTON.,0.5574,0.643,0.0,0.357,positive,Peter Pan
ECHOES OF THE WAR.,-0.5994,0.0,0.565,0.435,negative,Peter Pan
Containing : The Old Lady Shows Her Medals--The New Word--Barbara's Wedding--A Well-Remembered Voice.,0.0,0.0,0.0,1.0,neutral,Peter Pan
HALF HOURS.,0.0,0.0,0.0,1.0,neutral,Peter Pan
Containing : Pantaloon--The Twelve-Pound Look--Rosalind--The Will.,0.0,0.0,0.0,1.0,neutral,Peter Pan
Others in Preparation.,0.0,0.0,0.0,1.0,neutral,Peter Pan
INDIVIDUAL EDITIONS.,0.0,0.0,0.0,1.0,neutral,Peter Pan
COURAGE.,0.4939,1.0,0.0,0.0,positive,Peter Pan
PETER PAN IN KENSINGTON GARDENS.,0.0,0.0,0.0,1.0,neutral,Peter Pan
Illustrated by Arthur Rackham .,0.0,0.0,0.0,1.0,neutral,Peter Pan
PETER AND WENDY.,0.0,0.0,0.0,1.0,neutral,Peter Pan
Illustrated by F. D. Bedford .,0.0,0.0,0.0,1.0,neutral,Peter Pan
PETER PAN AND WENDY.,0.0,0.0,0.0,1.0,neutral,Peter Pan
Illustrated by Miss Attwell .,-0.1531,0.0,0.348,0.652,negative,Peter Pan
TOMMY AND GRIZEL.,0.0,0.0,0.0,1.0,neutral,Peter Pan
Illustrated by Bernard Partridge .,0.0,0.0,0.0,1.0,neutral,Peter Pan
MARGARET OGILVY.,0.0,0.0,0.0,1.0,neutral,Peter Pan
"⁂ For particulars concerning The Thistle Edition of the Works of J. M. Barrie, sold only by subscription, send for circular.",0.0,0.0,0.0,1.0,neutral,Peter Pan
"NEW YORK: CHARLES SCRIBNER'S SONS Copyright, 1928, by J. M. BARRIE Printed in the United States of America All rights reserved under the International Copyright Act.",0.4215,0.101,0.0,0.899,positive,Peter Pan
Performance forbidden and right of representation reserved.,-0.4215,0.0,0.318,0.682,negative,Peter Pan
"Application for the right of performing this play must be made to Charles Frohman, Inc., Empire Theatre, New York.",0.4118,0.133,0.0,0.867,positive,Peter Pan
THE WORKS OF J. M. BARRIE.,0.0,0.0,0.0,1.0,neutral,Peter Pan
"TO THE FIVE A DEDICATION ACT I THE NURSERY ACT II THE NEVER LAND ACT III THE MERMAIDS' LAGOON ACT IV THE HOME UNDER THE GROUND ACT V TO THE FIVE A DEDICATION Some disquieting confessions must be made in printing at last the play of Peter Pan ; among them this, that I have no recollection of having written it.",0.0516,0.042,0.038,0.92,positive,Peter Pan
"Of that, however, anon.",0.0,0.0,0.0,1.0,neutral,Peter Pan
What I want to do first is to give Peter to the Five without whom he never would have existed.,0.0772,0.067,0.0,0.933,positive,Peter Pan
"I hope, my dear sirs, that in memory of what we have been to each other you will accept this dedication with your friend's love.",0.9062,0.381,0.0,0.619,positive,Peter Pan
"The play of Peter is streaky with you still, though none may see this save ourselves.",0.7311,0.305,0.0,0.695,positive,Peter Pan
"A score of Acts had to be left out, and you were in them all.",0.0,0.0,0.0,1.0,neutral,Peter Pan
"We first brought Peter down, didn't we, with a blunt-headed arrow in Kensington Gardens?",0.0,0.0,0.0,1.0,neutral,Peter Pan
"I seem to remember that we believed we had killed him, though he was only winded, and that after a spasm of exultation in our prowess the more soft-hearted among us wept and all of us thought of the police.",-0.8176,0.0,0.172,0.828,negative,Peter Pan
"There was not one of you who would not have sworn as an eye-witness to this occurence; no doubt I was abetting, but you used to provide corroboration that was never given to you by me.",-0.3291,0.0,0.092,0.908,negative,Peter Pan
"As for myself, I suppose I always knew that I made Peter by rubbing the five of you violently together, as savages with two sticks produce a flame.",-0.802,0.0,0.247,0.753,negative,Peter Pan
"That is all he is, the spark I got from you.",0.2263,0.174,0.0,0.826,positive,Peter Pan
We had good sport of him before we clipped him small to make him fit the boards.,0.6597,0.265,0.0,0.735,positive,Peter Pan
Some of you were not born when the story began and yet were hefty figures before we saw that the game was up.,0.0,0.0,0.0,1.0,neutral,Peter Pan
Do you remember a garden at Burpham and the initiation there of No.,-0.296,0.0,0.167,0.833,negative,Peter Pan
"4 when he was six weeks old, and three of you grudged letting him in so young?",0.0,0.0,0.0,1.0,neutral,Peter Pan
"Have you, No.",-0.296,0.0,0.524,0.476,negative,Peter Pan
"3, forgotten the white violets at the Cistercian abbey in which we cassocked our first fairies (all little friends of St. Benedict), or your cry to the Gods, 'Do I just kill one pirate all the time?'",-0.7841,0.063,0.218,0.719,negative,Peter Pan
"Do you remember Marooners' Hut in the haunted groves of Waverley, and the St. Bernard dog in a tiger's mask who so frequently attacked you, and the literary record of that summer, The Boy Castaways , which is so much the best and the rarest of this author's works?",-0.2298,0.081,0.116,0.802,negative,Peter Pan
What was it that made us eventually give to the public in the thin form of a play that which had been woven for ourselves alone?,0.1027,0.088,0.073,0.839,positive,Peter Pan
"Alas, I know what it was, I was losing my grip.",-0.5719,0.0,0.402,0.598,negative,Peter Pan
One by one as you swung monkey-wise from branch to branch in the wood of make-believe you reached the tree of knowledge.,0.1027,0.062,0.0,0.938,positive,Peter Pan
"Sometimes you swung back into the wood, as the unthinking may at a cross-road take a familiar path that no longer leads to home; or you perched ostentatiously on its boughs to please me, pretending that you still belonged; soon you knew it only as the vanished wood, for it vanishes if one needs to look for it.",0.128,0.063,0.037,0.9,positive,Peter Pan
A time came when I saw that No.,-0.296,0.0,0.306,0.694,negative,Peter Pan
"1, the most gallant of you all, ceased to believe that he was ploughing woods incarnadine, and with an apologetic eye for me derided the lingering faith of No.",0.4201,0.166,0.115,0.719,positive,Peter Pan
2; when even No.,-0.296,0.0,0.423,0.577,negative,Peter Pan
3 questioned gloomily whether he did not really spend his nights in bed.,-0.1027,0.0,0.113,0.887,negative,Peter Pan
"There were still two who knew no better, but their day was dawning.",0.09,0.134,0.11,0.756,positive,Peter Pan
"In these circumstances, I suppose, was begun the writing of the play of Peter.",0.34,0.167,0.0,0.833,positive,Peter Pan
"That was a quarter of a century ago, and I clutch my brows in vain to remember whether it was a last desperate throw to retain the five of you for a little longer, or merely a cold decision to turn you into bread and butter.",-0.6249,0.0,0.118,0.882,negative,Peter Pan
"This brings us back to my uncomfortable admission that I have no recollection of writing the play of Peter Pan , now being published for the first time so long after he made his bow upon the stage.",-0.34,0.06,0.119,0.821,negative,Peter Pan
"You had played it until you tired of it, and tossed it in the air and gored it and left it derelict in the mud and went on your way singing other songs; and then I stole back and sewed some of the gory fragments together with a pen-nib.",-0.128,0.048,0.058,0.895,negative,Peter Pan
"That is what must have happened, but I cannot remember doing it.",0.0,0.0,0.0,1.0,neutral,Peter Pan
"I remember writing the story of Peter and Wendy many years after the production of the play, but I might have cribbed that from some typed copy.",0.1779,0.066,0.0,0.934,positive,Peter Pan
"I can haul back to mind the writing of almost every other essay of mine, however forgotten by the pretty public; but this play of Peter, no.",0.3559,0.179,0.133,0.688,positive,Peter Pan
"Even my beginning as an amateur playwright, that noble mouthful, Bandelero the Bandit , I remember every detail of its composition in my school days at Dumfries.",0.4588,0.111,0.0,0.889,positive,Peter Pan
"Not less vivid is my first little piece, produced by Mr. Toole.",0.0,0.0,0.0,1.0,neutral,Peter Pan
"It was called Ibsen's Ghost , and was a parody of the mightiest craftsman that ever wrote for our kind friends in front.",0.6369,0.243,0.086,0.672,positive,Peter Pan
"To save the management the cost of typing I wrote out the 'parts,' after being told what parts were, and I can still recall my first words, spoken so plaintively by a now famous actress,--'To run away from my second husband just as I ran away from my first, it feels quite like old times.'",0.7178,0.109,0.0,0.891,positive,Peter Pan
