Topic  0: det, en, den, til, der, et, hun, er, om, han
Topic  1: que, la, el, en, se, los, con, un, su, las
Topic  2: mary, higgins, mrs, owen, crass, th, mr, christian, warren, martha
Topic  3: jimmy, louis, madame, negro, mary, monsieur, la, mademoiselle, ye, tour
Topic  4: thou, ye, zarathustra, thee, thy, polly, lucy, sylvia, antony, joe
Topic  5: und, der, ich, nicht, das, ist, zu, du, es, mephistopheles
Topic  6: anne, lily, diana, matthew, sam, dick, daddy, dan, dorset, fisher
Topic  7: specie, selection, differ, variation, etc, sexual, minister, area, vol, cape
Topic  8: philosophy, raoul, universe, philosopher, religious, gray, scientific, poet, literature, henry
Topic  9: peter, holmes, mr, archer, darling, grandfather, henry, grandmother, clara, aunt
Topic 10: alexandra, dollar, chicago, hull, grandmother, marie, cent, jake, wagon, saloon
Topic 11: memorable, henry, edward, etc, reign, william, throne, james, romantic, roman
Topic 12: toad, rat, mole, badger, paw, otter, motor, barge, weasel, cart
Topic 13: fang, philip, wolf, van, lucy, ape, jungle, cabin, national, turkish
Topic 14: la, le, les, et, il, des, que, en, un, une
Topic 15: buck, sled, wolf, team, hal, husky, sol, sle, harness, dawson
Topic 16: barge, anchor, deck, skipper, cabin, vessel, ark, be, essex, gladstone
Topic 17: barry, herbert, margaret, franklin, helen, engineer, sergeant, granite, toby, reporter
Topic 18: la, le, en, que, les, et, il, un, des, du
Topic 19: gland, tentacle, cell, secretion, inflection, acid, roman, rome, empire, fluid
