sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of A Floating Home This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.07,0.109,0.821,negative,A Floating Home
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,A Floating Home
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,A Floating Home
Title : A Floating Home Author : Cyril Ionides J.,0.0,0.0,0.0,1.0,neutral,A Floating Home
"B. Atkins Illustrator : Arnold Bennett Release date : February 13, 2013 [eBook #42091] Most recently updated: October 23, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/42091 Credits : Produced by Chris Curnow, Matthew Wheaton and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by The Internet Archive) *** START OF THE PROJECT GUTENBERG EBOOK A FLOATING HOME *** A FLOATING HOME · CYRIL IONIDES · J.",0.6486,0.074,0.0,0.926,positive,A Floating Home
B. ATKINS ARNOLD BENNETT A FLOATING HOME A BARGE PASSING THE MAPLIN LIGHT A FLOATING HOME BY CYRIL IONIDES AND J.,0.0,0.0,0.0,1.0,neutral,A Floating Home
"B. ATKINS WITH ILLUSTRATIONS BY ARNOLD BENNETT PHOTOGRAPHS, APPENDIX, GLOSSARY, ETC.",0.0,0.0,0.0,1.0,neutral,A Floating Home
LONDON CHATTO & WINDUS 1918 All rights reserved To THE MATE PREFACE The authors owe to their readers an explanation of the manner of their collaboration.,0.0,0.0,0.0,1.0,neutral,A Floating Home
"The owner of the Thames sailing barge, of which the history as a habitation is written in this book, is Mr. Cyril Ionides.",0.0,0.0,0.0,1.0,neutral,A Floating Home
'I' throughout the narrative is Mr. Cyril Ionides; the 'Mate' is Mrs. Cyril Ionides; the children are their children.,0.0,0.0,0.0,1.0,neutral,A Floating Home
"Yet the other author, Mr. J.",0.0,0.0,0.0,1.0,neutral,A Floating Home
"B. Atkins, was so closely associated with the events recorded--sharing with Mr. Ionides the counsels and discussions that ended in the purchase of the barge, prosecuting in his company friendships with barge skippers, and studying with him the Essex dialect, which nowhere has more character than in the mouths of Essex seafaring men--that it was not practicable for the book to be written except in collaboration.",0.3818,0.038,0.0,0.962,positive,A Floating Home
"The authors share, moreover, an intense admiration for the Thames sailing barges, to which, so far as they know, justice has never been done in writing.",0.8555,0.321,0.0,0.679,positive,A Floating Home
"Mr. Atkins, however, felt that it would be unnecessary, if not impertinent, for him to assume any personal shape in the narrative when there was little enough space for the more relevant and informing characters of Sam Prawle, Elijah Wadely, and their like.",0.3612,0.056,0.0,0.944,positive,A Floating Home
