sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Kim This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Kim
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Kim
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Kim
"Title : Kim Author : Rudyard Kipling Release date : June 1, 2000 [eBook #2226] Most recently updated: March 28, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/2226 *** START OF THE PROJECT GUTENBERG EBOOK KIM *** Kim by Rudyard Kipling Contents CHAPTER I CHAPTER II CHAPTER III CHAPTER IV CHAPTER V CHAPTER VI CHAPTER VII CHAPTER VIII CHAPTER IX CHAPTER X CHAPTER XI CHAPTER XII CHAPTER XIII CHAPTER XIV CHAPTER XV CHAPTER I O ye who tread the Narrow Way By Tophet-flare to Judgment Day, Be gentle when ""the heathen"" pray To Buddha at Kamakura!",0.6696,0.06,0.0,0.94,positive,Kim
"He sat, in defiance of municipal orders, astride the gun Zam Zammah on her brick platform opposite the old Ajaib-Gher--the Wonder House, as the natives call the Lahore Museum.",-0.34,0.0,0.079,0.921,negative,Kim
"Who hold Zam-Zammah, that ""fire-breathing dragon"", hold the Punjab, for the great green-bronze piece is always first of the conqueror's loot.",0.6249,0.17,0.0,0.83,positive,Kim
There was some justification for Kim--he had kicked Lala Dinanath's boy off the trunnions--since the English held the Punjab and Kim was English.,0.0,0.0,0.0,1.0,neutral,Kim
"Though he was burned black as any native; though he spoke the vernacular by preference, and his mother-tongue in a clipped uncertain sing-song; though he consorted on terms of perfect equality with the small boys of the bazar; Kim was white--a poor white of the very poorest.",-0.659,0.068,0.166,0.767,negative,Kim
"The half-caste woman who looked after him (she smoked opium, and pretended to keep a second-hand furniture shop by the square where the cheap cabs wait) told the missionaries that she was Kim's mother's sister; but his mother had been nursemaid in a Colonel's family and had married Kimball O'Hara, a young colour-sergeant of the Mavericks, an Irish regiment.",0.0,0.0,0.0,1.0,neutral,Kim
"He afterwards took a post on the Sind, Punjab, and Delhi Railway, and his Regiment went home without him.",0.0,0.0,0.0,1.0,neutral,Kim
"The wife died of cholera in Ferozepore, and O'Hara fell to drink and loafing up and down the line with the keen-eyed three-year-old baby.",-0.5574,0.0,0.135,0.865,negative,Kim
"Societies and chaplains, anxious for the child, tried to catch him, but O'Hara drifted away, till he came across the woman who took opium and learned the taste from her, and died as poor whites die in India.",-0.9509,0.0,0.319,0.681,negative,Kim
