sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Carmilla This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Carmilla
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Carmilla
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Carmilla
"Title : Carmilla Author : Joseph Sheridan Le Fanu Release date : November 1, 2003 [eBook #10007] Most recently updated: October 28, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/10007 Credits : Suzanne Shell, Sjaani and PG Distributed Proofreaders *** START OF THE PROJECT GUTENBERG EBOOK CARMILLA *** Carmilla by Joseph Sheridan Le Fanu Copyright 1872 Contents PROLOGUE CHAPTER I.",0.3612,0.043,0.0,0.957,positive,Carmilla
An Early Fright CHAPTER II.,-0.3818,0.0,0.394,0.606,negative,Carmilla
A Guest CHAPTER III.,0.0,0.0,0.0,1.0,neutral,Carmilla
We Compare Notes CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,Carmilla
Her Habits--A Saunter CHAPTER V. A Wonderful Likeness CHAPTER VI.,0.5719,0.316,0.0,0.684,positive,Carmilla
A Very Strange Agony CHAPTER VII.,-0.6335,0.0,0.633,0.367,negative,Carmilla
Descending CHAPTER VIII.,0.0,0.0,0.0,1.0,neutral,Carmilla
Search CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,Carmilla
The Doctor CHAPTER X. Bereaved CHAPTER XI.,-0.4767,0.0,0.341,0.659,negative,Carmilla
The Story CHAPTER XII.,0.0,0.0,0.0,1.0,neutral,Carmilla
A Petition CHAPTER XIII.,0.0,0.0,0.0,1.0,neutral,Carmilla
The Woodman CHAPTER XIV.,0.0,0.0,0.0,1.0,neutral,Carmilla
The Meeting CHAPTER XV.,0.0,0.0,0.0,1.0,neutral,Carmilla
Ordeal and Execution CHAPTER XVI.,0.0,0.0,0.0,1.0,neutral,Carmilla
"Conclusion PROLOGUE Upon a paper attached to the Narrative which follows, Doctor Hesselius has written a rather elaborate note, which he accompanies with a reference to his Essay on the strange subject which the MS. illuminates.",-0.2023,0.0,0.053,0.947,negative,Carmilla
"This mysterious subject he treats, in that Essay, with his usual learning and acumen, and with remarkable directness and condensation.",0.5574,0.159,0.0,0.841,positive,Carmilla
It will form but one volume of the series of that extraordinary man's collected papers.,0.0,0.0,0.0,1.0,neutral,Carmilla
"As I publish the case, in this volume, simply to interest the ""laity,"" I shall forestall the intelligent lady, who relates it, in nothing; and after due consideration, I have determined, therefore, to abstain from presenting any précis of the learned Doctor's reasoning, or extract from his statement on a subject which he describes as ""involving, not improbably, some of the profoundest arcana of our dual existence, and its intermediates.""",0.8126,0.118,0.0,0.882,positive,Carmilla
"I was anxious on discovering this paper, to reopen the correspondence commenced by Doctor Hesselius, so many years before, with a person so clever and careful as his informant seems to have been.",0.5761,0.16,0.056,0.784,positive,Carmilla
"Much to my regret, however, I found that she had died in the interval.",-0.7506,0.0,0.368,0.632,negative,Carmilla
"She, probably, could have added little to the Narrative which she communicates in the following pages, with, so far as I can pronounce, such conscientious particularity.",0.0,0.0,0.0,1.0,neutral,Carmilla
I.,0.0,0.0,0.0,1.0,neutral,Carmilla
"An Early Fright In Styria, we, though by no means magnificent people, inhabit a castle, or schloss.",0.0258,0.18,0.221,0.599,neutral,Carmilla
"A small income, in that part of the world, goes a great way.",0.6249,0.291,0.0,0.709,positive,Carmilla
Eight or nine hundred a year does wonders.,0.0,0.0,0.0,1.0,neutral,Carmilla
Scantily enough ours would have answered among wealthy people at home.,0.3612,0.2,0.0,0.8,positive,Carmilla
"My father is English, and I bear an English name, although I never saw England.",0.0,0.0,0.0,1.0,neutral,Carmilla
"But here, in this lonely and primitive place, where everything is so marvelously cheap, I really don't see how ever so much more money would at all materially add to our comforts, or even luxuries.",0.0868,0.104,0.095,0.801,positive,Carmilla
"My father was in the Austrian service, and retired upon a pension and his patrimony, and purchased this feudal residence, and the small estate on which it stands, a bargain.",-0.0516,0.06,0.067,0.872,negative,Carmilla
Nothing can be more picturesque or solitary.,0.4391,0.325,0.0,0.675,positive,Carmilla
It stands on a slight eminence in a forest.,0.0,0.0,0.0,1.0,neutral,Carmilla
"The road, very old and narrow, passes in front of its drawbridge, never raised in my time, and its moat, stocked with perch, and sailed over by many swans, and floating on its surface white fleets of water lilies.",0.0,0.0,0.0,1.0,neutral,Carmilla
"Over all this the schloss shows its many-windowed front; its towers, and its Gothic chapel.",0.0,0.0,0.0,1.0,neutral,Carmilla
"The forest opens in an irregular and very picturesque glade before its gate, and at the right a steep Gothic bridge carries the road over a stream that winds in deep shadow through the wood.",0.4391,0.083,0.0,0.917,positive,Carmilla
I have said that this is a very lonely place.,-0.4201,0.0,0.285,0.715,negative,Carmilla
Judge whether I say truth.,0.3182,0.434,0.0,0.566,positive,Carmilla
"Looking from the hall door towards the road, the forest in which our castle stands extends fifteen miles to the right, and twelve to the left.",0.128,0.057,0.0,0.943,positive,Carmilla
The nearest inhabited village is about seven of your English miles to the left.,0.0,0.0,0.0,1.0,neutral,Carmilla
"The nearest inhabited schloss of any historic associations, is that of old General Spielsdorf, nearly twenty miles away to the right.",0.0,0.0,0.0,1.0,neutral,Carmilla
"I have said ""the nearest inhabited village,"" because there is, only three miles westward, that is to say in the direction of General Spielsdorf's schloss, a ruined village, with its quaint little church, now roofless, in the aisle of which are the moldering tombs of the proud family of Karnstein, now extinct, who once owned the equally desolate chateau which, in the thick of the forest, overlooks the silent ruins of the town.",-0.4404,0.04,0.078,0.882,negative,Carmilla
"Respecting the cause of the desertion of this striking and melancholy spot, there is a legend which I shall relate to you another time.",0.0772,0.123,0.111,0.766,positive,Carmilla
"I must tell you now, how very small is the party who constitute the inhabitants of our castle.",0.4019,0.144,0.0,0.856,positive,Carmilla
"I don't include servants, or those dependents who occupy rooms in the buildings attached to the schloss.",0.0,0.0,0.0,1.0,neutral,Carmilla
"Listen, and wonder!",0.0,0.0,0.0,1.0,neutral,Carmilla
"My father, who is the kindest man on earth, but growing old; and I, at the date of my story, only nineteen.",0.2617,0.089,0.0,0.911,positive,Carmilla
Eight years have passed since then.,0.0,0.0,0.0,1.0,neutral,Carmilla
I and my father constituted the family at the schloss.,0.0,0.0,0.0,1.0,neutral,Carmilla
"My mother, a Styrian lady, died in my infancy, but I had a good-natured governess, who had been with me from, I might almost say, my infancy.",-0.3182,0.0,0.095,0.905,negative,Carmilla
"I could not remember the time when her fat, benignant face was not a familiar picture in my memory.",0.4939,0.167,0.0,0.833,positive,Carmilla
"This was Madame Perrodon, a native of Berne, whose care and good nature now in part supplied to me the loss of my mother, whom I do not even remember, so early I lost her.",0.3008,0.156,0.125,0.718,positive,Carmilla
She made a third at our little dinner party.,0.3446,0.257,0.0,0.743,positive,Carmilla
"There was a fourth, Mademoiselle De Lafontaine, a lady such as you term, I believe, a ""finishing governess.""",0.0,0.0,0.0,1.0,neutral,Carmilla
"She spoke French and German, Madame Perrodon French and broken English, to which my father and I added English, which, partly to prevent its becoming a lost language among us, and partly from patriotic motives, we spoke every day.",-0.6786,0.0,0.162,0.838,negative,Carmilla
"The consequence was a Babel, at which strangers used to laugh, and which I shall make no attempt to reproduce in this narrative.",0.34,0.145,0.089,0.766,positive,Carmilla
"And there were two or three young lady friends besides, pretty nearly of my own age, who were occasional visitors, for longer or shorter terms; and these visits I sometimes returned.",0.743,0.184,0.0,0.816,positive,Carmilla
"These were our regular social resources; but of course there were chance visits from ""neighbors"" of only five or six leagues distance.",0.3612,0.106,0.0,0.894,positive,Carmilla
"My life was, notwithstanding, rather a solitary one, I can assure you.",0.34,0.211,0.0,0.789,positive,Carmilla
"My gouvernantes had just so much control over me as you might conjecture such sage persons would have in the case of a rather spoiled girl, whose only parent allowed her pretty nearly her own way in everything.",0.4939,0.082,0.0,0.918,positive,Carmilla
"The first occurrence in my existence, which produced a terrible impression upon my mind, which, in fact, never has been effaced, was one of the very earliest incidents of my life which I can recollect.",-0.296,0.053,0.086,0.861,negative,Carmilla
Some people will think it so trifling that it should not be recorded here.,0.0,0.0,0.0,1.0,neutral,Carmilla
"You will see, however, by-and-by, why I mention it.",0.0,0.0,0.0,1.0,neutral,Carmilla
"The nursery, as it was called, though I had it all to myself, was a large room in the upper story of the castle, with a steep oak roof.",0.0,0.0,0.0,1.0,neutral,Carmilla
"I can't have been more than six years old, when one night I awoke, and looking round the room from my bed, failed to see the nursery maid.",-0.5106,0.0,0.117,0.883,negative,Carmilla
Neither was my nurse there; and I thought myself alone.,-0.25,0.0,0.2,0.8,negative,Carmilla
