sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of Frankenstein; or, the modern prometheus This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",-0.1531,0.065,0.102,0.833,negative,"Frankenstein; or, the modern prometheus"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"Frankenstein; or, the modern prometheus"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"Frankenstein; or, the modern prometheus"
"Title : Frankenstein; or, the modern prometheus Author : Mary Wollstonecraft Shelley Release date : October 1, 1993 [eBook #84] Most recently updated: February 10, 2026 Language : English Other information and formats : www.gutenberg.org/ebooks/84 Credits : Judith Boss, Christy Phillips, Lynn Hanninen and David Meltzer.",0.3612,0.06,0.0,0.94,positive,"Frankenstein; or, the modern prometheus"
HTML version by Al Haines.,0.0,0.0,0.0,1.0,neutral,"Frankenstein; or, the modern prometheus"
Further corrections by Menno de Leeuw.,0.0,0.0,0.0,1.0,neutral,"Frankenstein; or, the modern prometheus"
"*** START OF THE PROJECT GUTENBERG EBOOK FRANKENSTEIN; OR, THE MODERN PROMETHEUS *** Frankenstein; or, the Modern Prometheus by Mary Wollstonecraft (Godwin) Shelley CONTENTS Letter 1 Letter 2 Letter 3 Letter 4 Chapter 1 Chapter 2 Chapter 3 Chapter 4 Chapter 5 Chapter 6 Chapter 7 Chapter 8 Chapter 9 Chapter 10 Chapter 11 Chapter 12 Chapter 13 Chapter 14 Chapter 15 Chapter 16 Chapter 17 Chapter 18 Chapter 19 Chapter 20 Chapter 21 Chapter 22 Chapter 23 Chapter 24 Letter 1 To Mrs. Saville, England.",0.0,0.0,0.0,1.0,neutral,"Frankenstein; or, the modern prometheus"
"St. Petersburgh, Dec. 11th, 17--.",0.0,0.0,0.0,1.0,neutral,"Frankenstein; or, the modern prometheus"
You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings.,-0.8316,0.089,0.328,0.583,negative,"Frankenstein; or, the modern prometheus"
"I arrived here yesterday, and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking.",0.9001,0.364,0.0,0.636,positive,"Frankenstein; or, the modern prometheus"
"I am already far north of London, and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves and fills me with delight.",0.7096,0.176,0.039,0.784,positive,"Frankenstein; or, the modern prometheus"
Do you understand this feeling?,0.1593,0.289,0.0,0.711,positive,"Frankenstein; or, the modern prometheus"
"This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes.",0.0,0.0,0.0,1.0,neutral,"Frankenstein; or, the modern prometheus"
"Inspirited by this wind of promise, my daydreams become more fervent and vivid.",0.7178,0.412,0.0,0.588,positive,"Frankenstein; or, the modern prometheus"
I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.,0.7096,0.205,0.075,0.72,positive,"Frankenstein; or, the modern prometheus"
"There, Margaret, the sun is for ever visible, its broad disk just skirting the horizon and diffusing a perpetual splendour.",0.4939,0.151,0.0,0.849,positive,"Frankenstein; or, the modern prometheus"
"There--for with your leave, my sister, I will put some trust in preceding navigators--there snow and frost are banished; and, sailing over a calm sea, we may be wafted to a land surpassing in wonders and in beauty every region hitherto discovered on the habitable globe.",0.8481,0.19,0.024,0.786,positive,"Frankenstein; or, the modern prometheus"
"Its productions and features may be without example, as the phenomena of the heavenly bodies undoubtedly are in those undiscovered solitudes.",0.6124,0.167,0.0,0.833,positive,"Frankenstein; or, the modern prometheus"
What may not be expected in a country of eternal light?,0.0,0.0,0.0,1.0,neutral,"Frankenstein; or, the modern prometheus"
I may there discover the wondrous power which attracts the needle and may regulate a thousand celestial observations that require only this voyage to render their seeming eccentricities consistent for ever.,0.4019,0.088,0.0,0.912,positive,"Frankenstein; or, the modern prometheus"
"I shall satiate my ardent curiosity with the sight of a part of the world never before visited, and may tread a land never before imprinted by the foot of man.",0.4767,0.103,0.0,0.897,positive,"Frankenstein; or, the modern prometheus"
"These are my enticements, and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river.",-0.6124,0.107,0.172,0.721,negative,"Frankenstein; or, the modern prometheus"
"But supposing all these conjectures to be false, you cannot contest the inestimable benefit which I shall confer on all mankind, to the last generation, by discovering a passage near the pole to those countries, to reach which at present so many months are requisite; or by ascertaining the secret of the magnet, which, if at all possible, can only be effected by an undertaking such as mine.",0.631,0.074,0.0,0.926,positive,"Frankenstein; or, the modern prometheus"
"These reflections have dispelled the agitation with which I began my letter, and I feel my heart glow with an enthusiasm which elevates me to heaven, for nothing contributes so much to tranquillise the mind as a steady purpose--a point on which the soul may fix its intellectual eye.",0.8176,0.178,0.037,0.785,positive,"Frankenstein; or, the modern prometheus"
This expedition has been the favourite dream of my early years.,0.25,0.167,0.0,0.833,positive,"Frankenstein; or, the modern prometheus"
I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.,0.296,0.068,0.0,0.932,positive,"Frankenstein; or, the modern prometheus"
You may remember that a history of all the voyages made for purposes of discovery composed the whole of our good Uncle Thomas' library.,0.4404,0.116,0.0,0.884,positive,"Frankenstein; or, the modern prometheus"
"My education was neglected, yet I was passionately fond of reading.",0.4404,0.377,0.204,0.419,positive,"Frankenstein; or, the modern prometheus"
"These volumes were my study day and night, and my familiarity with them increased that regret which I had felt, as a child, on learning that my father's dying injunction had forbidden my uncle to allow me to embark in a seafaring life.",-0.3818,0.088,0.123,0.789,negative,"Frankenstein; or, the modern prometheus"
"These visions faded when I perused, for the first time, those poets whose effusions entranced my soul and lifted it to heaven.",0.6369,0.215,0.0,0.785,positive,"Frankenstein; or, the modern prometheus"
I also became a poet and for one year lived in a paradise of my own creation; I imagined that I also might obtain a niche in the temple where the names of Homer and Shakespeare are consecrated.,0.743,0.174,0.0,0.826,positive,"Frankenstein; or, the modern prometheus"
You are well acquainted with my failure and how heavily I bore the disappointment.,-0.7579,0.107,0.437,0.457,negative,"Frankenstein; or, the modern prometheus"
"But just at that time I inherited the fortune of my cousin, and my thoughts were turned into the channel of their earlier bent.",0.0,0.0,0.0,1.0,neutral,"Frankenstein; or, the modern prometheus"
Six years have passed since I resolved on my present undertaking.,0.1779,0.159,0.0,0.841,positive,"Frankenstein; or, the modern prometheus"
"I can, even now, remember the hour from which I dedicated myself to this great enterprise.",0.8349,0.396,0.0,0.604,positive,"Frankenstein; or, the modern prometheus"
I commenced by inuring my body to hardship.,-0.3182,0.0,0.277,0.723,negative,"Frankenstein; or, the modern prometheus"
"I accompanied the whale-fishers on several expeditions to the North Sea; I voluntarily endured cold, famine, thirst, and want of sleep; I often worked harder than the common sailors during the day and devoted my nights to the study of mathematics, the theory of medicine, and those branches of physical science from which a naval adventurer might derive the greatest practical advantage.",0.886,0.19,0.0,0.81,positive,"Frankenstein; or, the modern prometheus"
"Twice I actually hired myself as an under-mate in a Greenland whaler, and acquitted myself to admiration.",0.6705,0.297,0.0,0.703,positive,"Frankenstein; or, the modern prometheus"
