sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Age of Innocence This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.25,0.123,0.1,0.776,positive,The Age of Innocence
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Age of Innocence
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Age of Innocence
"Title : The Age of Innocence Author : Edith Wharton Release date : May 1, 1996 [eBook #541] Most recently updated: February 7, 2026 Language : English Other information and formats : www.gutenberg.org/ebooks/541 Credits : Produced by Judith Boss and Charles Keller.",0.6249,0.13,0.0,0.87,positive,The Age of Innocence
HTML version by Al Haines.,0.0,0.0,0.0,1.0,neutral,The Age of Innocence
*** START OF THE PROJECT GUTENBERG EBOOK THE AGE OF INNOCENCE *** The Age of Innocence by Edith Wharton CONTENTS Book I CHAPTER I CHAPTER II CHAPTER III CHAPTER IV CHAPTER V CHAPTER VI CHAPTER VII CHAPTER VIII CHAPTER IX CHAPTER X CHAPTER XI CHAPTER XII CHAPTER XIII CHAPTER XIV CHAPTER XV CHAPTER XVI CHAPTER XVII CHAPTER XVIII Book II CHAPTER XIX CHAPTER XX CHAPTER XXI CHAPTER XXII CHAPTER XXIII CHAPTER XXIV CHAPTER XXV CHAPTER XXVI CHAPTER XXVII CHAPTER XXVIII CHAPTER XXIX CHAPTER XXX CHAPTER XXXI CHAPTER XXXII CHAPTER XXXIII CHAPTER XXXIV A Note on the Text Book I I.,0.7125,0.061,0.0,0.939,positive,The Age of Innocence
"On a January evening of the early seventies, Christine Nilsson was singing in Faust at the Academy of Music in New York.",0.0,0.0,0.0,1.0,neutral,The Age of Innocence
"Though there was already talk of the erection, in remote metropolitan distances ""above the Forties,"" of a new Opera House which should compete in costliness and splendour with those of the great European capitals, the world of fashion was still content to reassemble every winter in the shabby red and gold boxes of the sociable old Academy.",0.8807,0.161,0.0,0.839,positive,The Age of Innocence
"Conservatives cherished it for being small and inconvenient, and thus keeping out the ""new people"" whom New York was beginning to dread and yet be drawn to; and the sentimental clung to it for its historic associations, and the musical for its excellent acoustics, always so problematic a quality in halls built for the hearing of music.",0.041,0.136,0.134,0.731,neutral,The Age of Innocence
"It was Madame Nilsson's first appearance that winter, and what the daily press had already learned to describe as ""an exceptionally brilliant audience"" had gathered to hear her, transported through the slippery, snowy streets in private broughams, in the spacious family landau, or in the humbler but more convenient ""Brown coupe.""",0.3708,0.048,0.0,0.952,positive,The Age of Innocence
"To come to the Opera in a Brown coupe was almost as honourable a way of arriving as in one's own carriage; and departure by the same means had the immense advantage of enabling one (with a playful allusion to democratic principles) to scramble into the first Brown conveyance in the line, instead of waiting till the cold-and-gin congested nose of one's own coachman gleamed under the portico of the Academy.",0.7732,0.106,0.0,0.894,positive,The Age of Innocence
It was one of the great livery-stableman's most masterly intuitions to have discovered that Americans want to get away from amusement even more quickly than they want to get to it.,0.802,0.254,0.0,0.746,positive,The Age of Innocence
