sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of The Descent of Man, and Selection in Relation to Sex This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",-0.1531,0.058,0.091,0.851,negative,"The Descent of Man, and Selection in Relation to Sex"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"The Descent of Man, and Selection in Relation to Sex"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"The Descent of Man, and Selection in Relation to Sex"
"Title : The Descent of Man, and Selection in Relation to Sex Author : Charles Darwin Release date : August 1, 2000 [eBook #2300] Most recently updated: December 27, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/2300 Credits : Sue Asscher and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE DESCENT OF MAN, AND SELECTION IN RELATION TO SEX *** THE DESCENT OF MAN AND SELECTION IN RELATION TO SEX By Charles Darwin CONTENTS PREFACE TO THE SECOND EDITION.",0.3612,0.032,0.0,0.968,positive,"The Descent of Man, and Selection in Relation to Sex"
DETAILED TABLE OF CONTENTS THE DESCENT OF MAN; AND SELECTION IN RELATION TO SEX.,0.0,0.0,0.0,1.0,neutral,"The Descent of Man, and Selection in Relation to Sex"
INTRODUCTION.,0.0,0.0,0.0,1.0,neutral,"The Descent of Man, and Selection in Relation to Sex"
PART I.,0.0,0.0,0.0,1.0,neutral,"The Descent of Man, and Selection in Relation to Sex"
THE DESCENT OR ORIGIN OF MAN.,0.0,0.0,0.0,1.0,neutral,"The Descent of Man, and Selection in Relation to Sex"
CHAPTER I.,0.0,0.0,0.0,1.0,neutral,"The Descent of Man, and Selection in Relation to Sex"
THE EVIDENCE OF THE DESCENT OF MAN FROM SOME LOWER FORM.,-0.296,0.0,0.18,0.82,negative,"The Descent of Man, and Selection in Relation to Sex"
CHAPTER II.,0.0,0.0,0.0,1.0,neutral,"The Descent of Man, and Selection in Relation to Sex"
-- ON THE MANNER OF DEVELOPMENT OF MAN FROM SOME LOWER FORM.,-0.4466,0.0,0.211,0.789,negative,"The Descent of Man, and Selection in Relation to Sex"
