sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Howards End This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.07,0.109,0.821,negative,Howards End
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Howards End
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Howards End
"Title : Howards End Author : E. M. Forster Release date : November 1, 2001 [eBook #2891] Most recently updated: January 21, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/2891 Credits : Richard Fane *** START OF THE PROJECT GUTENBERG EBOOK HOWARDS END *** Howards End by E. M. Forster Chapter 1 One may as well begin with Helen's letters to her sister.",0.5574,0.076,0.0,0.924,positive,Howards End
"Howards End, Tuesday.",0.0,0.0,0.0,1.0,neutral,Howards End
"Dearest Meg, It isn't going to be what we expected.",0.5574,0.286,0.0,0.714,positive,Howards End
"It is old and little, and altogether delightful--red brick.",0.0,0.0,0.0,1.0,neutral,Howards End
"We can scarcely pack in as it is, and the dear knows what will happen when Paul (younger son) arrives tomorrow.",0.3818,0.115,0.0,0.885,positive,Howards End
From hall you go right or left into dining-room or drawing-room.,0.0,0.0,0.0,1.0,neutral,Howards End
Hall itself is practically a room.,0.0,0.0,0.0,1.0,neutral,Howards End
"You open another door in it, and there are the stairs going up in a sort of tunnel to the first-floor.",0.0,0.0,0.0,1.0,neutral,Howards End
"Three bedrooms in a row there, and three attics in a row above.",0.0,0.0,0.0,1.0,neutral,Howards End
"That isn't all the house really, but it's all that one notices--nine windows as you look up from the front garden.",0.0,0.0,0.0,1.0,neutral,Howards End
"Then there's a very big wych-elm--to the left as you look up--leaning a little over the house, and standing on the boundary between the garden and meadow.",0.0,0.0,0.0,1.0,neutral,Howards End
I quite love that tree already.,0.6697,0.529,0.0,0.471,positive,Howards End
"Also ordinary elms, oaks--no nastier than ordinary oaks--pear-trees, apple-trees, and a vine.",-0.5106,0.0,0.248,0.752,negative,Howards End
"No silver birches, though.",-0.296,0.0,0.423,0.577,negative,Howards End
"However, I must get on to my host and hostess.",0.0,0.0,0.0,1.0,neutral,Howards End
I only wanted to show that it isn't the least what we expected.,0.0,0.0,0.0,1.0,neutral,Howards End
"Why did we settle that their house would be all gables and wiggles, and their garden all gamboge-coloured paths?",0.0,0.0,0.0,1.0,neutral,Howards End
"I believe simply because we associate them with expensive hotels--Mrs. Wilcox trailing in beautiful dresses down long corridors, Mr. Wilcox bullying porters, etc.",0.0,0.14,0.14,0.719,neutral,Howards End
We females are that unjust.,-0.5106,0.0,0.452,0.548,negative,Howards End
I shall be back Saturday; will let you know train later.,0.0,0.0,0.0,1.0,neutral,Howards End
"They are as angry as I am that you did not come too; really Tibby is too tiresome, he starts a new mortal disease every month.",-0.5106,0.0,0.125,0.875,negative,Howards End
How could he have got hay fever in London?,0.0,0.0,0.0,1.0,neutral,Howards End
"and even if he could, it seems hard that you should give up a visit to hear a schoolboy sneeze.",-0.1027,0.0,0.076,0.924,negative,Howards End
"Tell him that Charles Wilcox (the son who is here) has hay fever too, but he's brave, and gets quite cross when we inquire after it.",0.6808,0.155,0.0,0.845,positive,Howards End
Men like the Wilcoxes would do Tibby a power of good.,0.6597,0.403,0.0,0.597,positive,Howards End
"But you won't agree, and I'd better change the subject.",0.2926,0.265,0.184,0.551,positive,Howards End
This long letter is because I'm writing before breakfast.,0.0,0.0,0.0,1.0,neutral,Howards End
"Oh, the beautiful vine leaves!",0.636,0.512,0.0,0.488,positive,Howards End
The house is covered with a vine.,0.0,0.0,0.0,1.0,neutral,Howards End
"I looked out earlier, and Mrs. Wilcox was already in the garden.",0.0,0.0,0.0,1.0,neutral,Howards End
She evidently loves it.,0.5719,0.552,0.0,0.448,positive,Howards End
No wonder she sometimes looks tired.,-0.6249,0.0,0.56,0.44,negative,Howards End
She was watching the large red poppies come out.,0.0,0.0,0.0,1.0,neutral,Howards End
"Then she walked off the lawn to the meadow, whose corner to the right I can just see.",0.0,0.0,0.0,1.0,neutral,Howards End
"Trail, trail, went her long dress over the sopping grass, and she came back with her hands full of the hay that was cut yesterday--I suppose for rabbits or something, as she kept on smelling it.",-0.2732,0.0,0.057,0.943,negative,Howards End
The air here is delicious.,0.5719,0.481,0.0,0.519,positive,Howards End
"Later on I heard the noise of croquet balls, and looked out again, and it was Charles Wilcox practising; they are keen on all games.",0.3612,0.098,0.0,0.902,positive,Howards End
Presently he started sneezing and had to stop.,-0.296,0.0,0.239,0.761,negative,Howards End
"Then I hear more clicketing, and it is Mr. Wilcox practising, and then, 'a-tissue, a-tissue': he has to stop too.",-0.296,0.0,0.109,0.891,negative,Howards End
"Then Evie comes out, and does some calisthenic exercises on a machine that is tacked on to a greengage-tree--they put everything to use--and then she says 'a-tissue,' and in she goes.",0.0,0.0,0.0,1.0,neutral,Howards End
