sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of South: The Story of Shackleton's Last Expedition, 1914-1917 This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",-0.1531,0.061,0.095,0.844,negative,"South: The Story of Shackleton's Last Expedition, 1914-1917"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"South: The Story of Shackleton's Last Expedition, 1914-1917"
"Title : South: The Story of Shackleton's Last Expedition, 1914-1917 Author : Sir Ernest Henry Shackleton Release date : February 1, 2004 [eBook #5199] Most recently updated: July 18, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/5199 Credits : Geoffrey Cowling, Jose Menendez and Eric Eldred *** START OF THE PROJECT GUTENBERG EBOOK SOUTH: THE STORY OF SHACKLETON'S LAST EXPEDITION, 1914-1917 *** South THE STORY OF SHACKLETON'S LAST EXPEDITION 1914-1917 by Sir Ernest Shackleton C.V.O.",0.3612,0.034,0.0,0.966,positive,"South: The Story of Shackleton's Last Expedition, 1914-1917"
IN THE PRIDE OF HER YOUTH.,0.34,0.324,0.0,0.676,positive,"South: The Story of Shackleton's Last Expedition, 1914-1917"
Colour Photograph by F. Hurley TO MY COMRADES WHO FELL IN THE WHITE WARFARE OF THE SOUTH AND ON THE RED FIELDS OF FRANCE AND FLANDERS Contents PREFACE I.,-0.4466,0.0,0.095,0.905,negative,"South: The Story of Shackleton's Last Expedition, 1914-1917"
INTO THE WEDDELL SEA II.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
NEW LAND III.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
WINTER MONTHS IV.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
LOSS OF THE ENDURANCE V. OCEAN CAMP VI.,-0.3182,0.0,0.247,0.753,negative,"South: The Story of Shackleton's Last Expedition, 1914-1917"
THE MARCH BETWEEN VII.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
PATIENCE CAMP VIII.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
ESCAPE FROM THE ICE IX.,0.1779,0.298,0.0,0.702,positive,"South: The Story of Shackleton's Last Expedition, 1914-1917"
THE BOAT JOURNEY X.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
ACROSS SOUTH GEORGIA XI.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
THE RESCUE XII.,0.5106,0.623,0.0,0.377,positive,"South: The Story of Shackleton's Last Expedition, 1914-1917"
ELEPHANT ISLAND XIII.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
THE ROSS SEA PARTY XIV.,0.4019,0.403,0.0,0.597,positive,"South: The Story of Shackleton's Last Expedition, 1914-1917"
WINTERING IN McMURDO SOUND XV.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
LAYING THE DEPOTS XVI.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
THE AURORA'S DRIFT XVII.,0.0,0.0,0.0,1.0,neutral,"South: The Story of Shackleton's Last Expedition, 1914-1917"
THE LAST RELIEF XVIII.,0.4767,0.508,0.0,0.492,positive,"South: The Story of Shackleton's Last Expedition, 1914-1917"
THE FINAL PHASE APPENDIX I: SCIENTIFIC WORK SEA-ICE NOMENCLATURE METEOROLOGY PHYSICS SOUTH ATLANTIC WHALES AND WHALING APPENDIX II: THE EXPEDITION HUTS AT McMURDO SOUND INDEX LIST OF ILLUSTRATIONS IN THE PRIDE OF HER YOUTH.,0.4824,0.087,0.0,0.913,positive,"South: The Story of Shackleton's Last Expedition, 1914-1917"
