sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of 1066 and all that This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.066,0.104,0.829,negative,1066 and all that
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,1066 and all that
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,1066 and all that
"Title : 1066 and all that A memorable history of England, comprising all the parts you can remember, including 103 good things, 5 bad kings and 2 genuine dates Author : Walter Carruthers Sellar Robert Julian Yeatman Illustrator : John Reynolds Release date : March 6, 2026 [eBook #78124] Language : English Original publication : London: Methuen & Co. LTD, 1930 Other information and formats : www.gutenberg.org/ebooks/78124 Credits : Carla Foust and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by The Internet Archive) *** START OF THE PROJECT GUTENBERG EBOOK 1066 AND ALL THAT *** 1066 AND ALL THAT 1066 AND ALL THAT A Memorable History of England, comprising all the parts you can remember, including 103 Good Things, 5 Bad Kings and 2 Genuine Dates BY WALTER CARRUTHERS SELLAR Aegrot: Oxon: AND ROBERT JULIAN YEATMAN Failed M.A., etc.",0.2732,0.09,0.069,0.841,positive,1066 and all that
"Oxon: ILLUSTRATED BY JOHN REYNOLDS, Gent.",0.0,0.0,0.0,1.0,neutral,1066 and all that
"METHUEN & CO. LTD. LONDON 36 Essex Street, Strand, W.C.2 DEDICATION ABSIT OMAN This book was originally published October 16th 1930 It has been reprinted thirty-four times Thirty-fifth edition, 1951 CATALOGUE NO.",-0.4466,0.0,0.089,0.911,negative,1066 and all that
3858/U PRINTED IN GREAT BRITAIN COMPULSORY PREFACE ( This Means You ) Histories have previously been written with the object of exalting their authors.,0.7034,0.187,0.0,0.813,positive,1066 and all that
The object of this History is to console the reader.,0.0,0.0,0.0,1.0,neutral,1066 and all that
No other history does this.,-0.296,0.0,0.355,0.645,negative,1066 and all that
History is not what you thought.,0.0,0.0,0.0,1.0,neutral,1066 and all that
It is what you can remember.,0.0,0.0,0.0,1.0,neutral,1066 and all that
All other history defeats itself.,-0.3182,0.0,0.365,0.635,negative,1066 and all that
"This is the only Memorable History of England, because all the History that you can remember is in this book, which is the result of years of research in golf-clubs, gun-rooms, green-rooms, etc.",0.0,0.0,0.0,1.0,neutral,1066 and all that
"For instance, 2 out of the 4 Dates originally included were eliminated at the last moment, a research done at the Eton and Harrow match having revealed that they are not memorable .",0.0,0.0,0.0,1.0,neutral,1066 and all that
"The Editors will be glad of further assistance towards the elimination, in future editions, of any similarly unhistorical matter which, despite their vigilance, may have crept into the text.",0.4767,0.132,0.0,0.868,positive,1066 and all that
They take this opportunity of acknowledging their inestimable debt to the mass of educated men and women of their race whose historical intuitions and opinions this work enshrines.,0.1901,0.102,0.079,0.819,positive,1066 and all that
"Also, to the Great British People without whose self-sacrificing determination to become top Nation there would have been no (memorable) history.",0.3489,0.216,0.163,0.621,positive,1066 and all that
History is now at an end (see p. 113 ); this History is therefore final.,0.0,0.0,0.0,1.0,neutral,1066 and all that
W. C. S. R. J. Y.,0.0,0.0,0.0,1.0,neutral,1066 and all that
"PREFACE TO SECOND EDITION A first edition limited to 1 copy and printed on rice paper and bound in buck-boards and signed by one of the editors was sold to the other editor, who left it in a taxi somewhere between Piccadilly Circus and the Bodleian.",-0.2263,0.0,0.043,0.957,negative,1066 and all that
"W. C. S. R. J. Y. ACKNOWLEDGMENTS The Editors acknowledge their comparative indebtedness to the Editors of The Historical Review , Bradshaw , The Lancet , La Vie Parisienne , etc., in which none of the following chapters has appeared.",0.0,0.0,0.0,1.0,neutral,1066 and all that
"Their thanks are also due to their wife, for not preparing the index wrong.",-0.0516,0.161,0.172,0.667,negative,1066 and all that
There is no index.,-0.296,0.0,0.423,0.577,negative,1066 and all that
"PRESS OPINIONS ""This slim volume...."" ( The Bookworm. )",0.0,0.0,0.0,1.0,neutral,1066 and all that
"""... We look forward keenly to the appearance of their last work.""",0.25,0.154,0.0,0.846,positive,1066 and all that
( The Review of Reviews of Reviews. ),0.0,0.0,0.0,1.0,neutral,1066 and all that
"""... vague...."" ( Vague. )",-0.1027,0.0,0.412,0.588,negative,1066 and all that
ERRATA P. 3 .,0.0,0.0,0.0,1.0,neutral,1066 and all that
For Middletoe read Mistletoe.,0.0,0.0,0.0,1.0,neutral,1066 and all that
P. 9 .,0.0,0.0,0.0,1.0,neutral,1066 and all that
For looked 4th read looked forth.,0.0,0.0,0.0,1.0,neutral,1066 and all that
P. 43 .,0.0,0.0,0.0,1.0,neutral,1066 and all that
"For Pheasant read Peasant, throughout.",0.0,0.0,0.0,1.0,neutral,1066 and all that
P. 44 .,0.0,0.0,0.0,1.0,neutral,1066 and all that
For sausage read hostage.,0.0,0.0,0.0,1.0,neutral,1066 and all that
CHAPTER I CÆSAR INVADES BRITAIN The first date⁠ [1] in English History is 55 B.C.,0.0,0.0,0.0,1.0,neutral,1066 and all that
", in which year Julius Cæsar (the memorable Roman Emperor) landed, like all other successful invaders of these islands, at Thanet.",0.743,0.259,0.0,0.741,positive,1066 and all that
"This was in the Olden Days, when the Romans were top nation on account of their classical education, etc.",0.2023,0.091,0.0,0.909,positive,1066 and all that
"Top nation Julius Cæsar advanced very energetically, throwing his cavalry several thousands of paces over the River Flumen; but the Ancient Britons, though all well over military age, painted themselves true blue, or woad , and fought as heroically under their dashing queen, Woadicea, as they did later in thin red lines under their good queen, Victoria.",0.9413,0.279,0.042,0.679,positive,1066 and all that
Julius Cæsar was therefore compelled to invade Britain again the following year (54 B.C.,0.0516,0.085,0.0,0.915,positive,1066 and all that
", not 56, owing to the peculiar Roman method of counting), and having defeated the Ancient Britons by unfair means, such as battering-rams, tortoises, hippocausts, centipedes, axes and bundles, set the memorable Latin sentence, ""Veni, Vidi, Vici,"" which the Romans, who were all very well educated, construed correctly.",-0.4417,0.099,0.116,0.785,negative,1066 and all that
"Dawn of British heroism The Britons, however, who of course still used the old pronunciation, understanding him to have called them ""Weeny, Weedy and Weaky,"" lost heart and gave up the struggle, thinking that he had already divided them All into Three Parts.",0.0516,0.079,0.095,0.826,positive,1066 and all that
"CULTURE AMONG THE ANCIENT BRITONS The Ancient Britons were by no means savages before the Conquest, and had already made great strides in civilization, e.g.",-0.128,0.129,0.177,0.694,negative,1066 and all that
"they buried each other in long round wheelbarrows (agriculture) and burnt each other alive (religion) under the guidance of even older Britons called Druids or Eisteddfods, who worshipped the Middletoe in the famous Druidical churchyard at Stoke Penge.",0.743,0.149,0.0,0.851,positive,1066 and all that
"Agriculture The Roman Conquest was, however, a Good Thing , since the Britons were only natives at that time.",0.4404,0.153,0.0,0.847,positive,1066 and all that
"THE ROMAN OCCUPATION Roman occupied For some reason the Romans neglected to overrun the country with fire and the sword, though they had both of these; in fact, after the Conquest they did not mingle with the Britons at all, but lived a semi-detached life in villas.",-0.4404,0.0,0.081,0.919,negative,1066 and all that
