sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Natural History of Selborne This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.2263,0.119,0.098,0.783,positive,The Natural History of Selborne
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Natural History of Selborne
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Natural History of Selborne
"Title : The Natural History of Selborne Author : Gilbert White Release date : August 1, 1998 [eBook #1408] Most recently updated: March 26, 2026 Language : English Other information and formats : www.gutenberg.org/ebooks/1408 Credits : Tokuya Matsumoto *** START OF THE PROJECT GUTENBERG EBOOK THE NATURAL HISTORY OF SELBORNE *** The Natural History of Selborne by Gilbert White INVITATION TO SELBORNE.",0.8668,0.171,0.0,0.829,positive,The Natural History of Selborne
"See, Selborne spreads her boldest beauties round The varied valley, and the mountain ground, Wildly majestic !",0.7424,0.31,0.0,0.69,positive,The Natural History of Selborne
"What is all the pride, Of flats, with loads of ornaments supplied ?-- Unpleasing, tasteless, impotent expense, Compared with Nature's rude magnificenee.",-0.4019,0.091,0.192,0.717,negative,The Natural History of Selborne
"Arise, my stranger, to these wild scenes haste; The unfinish'd farm awaits your forming taste: Plan the pavilion, airy, light, and true; Through the high arch call in the length'ning view; Expand the forest sloping up the hill; Swell to a lake the scant, penurious rill; Extend the vista; raise the castle mound In antique taste, with turrets ivy-crown'd: O'er the gay lawn the flow'ry shrub dispread, Or with the blending garden mix the mead; Bid China's pale, fantastic fence delight; Or with the mimic statue trap the sight.",0.9062,0.158,0.023,0.819,positive,The Natural History of Selborne
"Oft on some evening, sunny, soft, and still, The Muse shall lead thee to the beech-grown hill, To spend in tea the cool, refreshing hour, Where nods in air the pensile, nest-like bower; Or where the hermit hangs the straw-clad cell, Emerging gently from the leafy dell, By fancy plann'd; as once th' inventive maid Met the hoar sage amid the secret shade: Romantic spot !",0.8777,0.154,0.0,0.846,positive,The Natural History of Selborne
"from whence in prospect lies Whate'er of landscape charms our feasting eyes'-- The pointed spire, the hall, the pasture plain, The russet fallow, or the golden grain, The breezy lake that sheds a gleaming light, Till all the fading picture fail the sight.",-0.296,0.103,0.128,0.769,negative,The Natural History of Selborne
"Each to his task; all different ways retire: Cull the dry stick; call forth the seeds of fire; Deep fix the kettle's props, a forky row, Or give with fanning hat the breeze to blow.",-0.34,0.0,0.068,0.932,negative,The Natural History of Selborne
