sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The strange case of Dr. Jekyll and Mr. Hyde This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.34,0.058,0.129,0.812,negative,The strange case of Dr. Jekyll and Mr. Hyde
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The strange case of Dr. Jekyll and Mr. Hyde
"Title : The strange case of Dr. Jekyll and Mr. Hyde Author : Robert Louis Stevenson Release date : June 27, 2008 [eBook #43] Most recently updated: April 12, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/43 Credits : David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE STRANGE CASE OF DR. JEKYLL AND MR. HYDE *** The Strange Case Of Dr. Jekyll And Mr. Hyde by Robert Louis Stevenson Contents STORY OF THE DOOR SEARCH FOR MR. HYDE DR. JEKYLL WAS QUITE AT EASE THE CAREW MURDER CASE INCIDENT OF THE LETTER INCIDENT OF DR. LANYON INCIDENT AT THE WINDOW THE LAST NIGHT DR. LANYON'S NARRATIVE HENRY JEKYLL'S FULL STATEMENT OF THE CASE STORY OF THE DOOR Mr. Utterson the lawyer was a man of a rugged countenance that was never lighted by a smile; cold, scanty and embarrassed in discourse; backward in sentiment; lean, long, dusty, dreary and yet somehow lovable.",-0.7067,0.064,0.112,0.824,negative,The strange case of Dr. Jekyll and Mr. Hyde
"At friendly meetings, and when the wine was to his taste, something eminently human beaconed from his eye; something indeed which never found its way into his talk, but which spoke not only in these silent symbols of the after-dinner face, but more often and loudly in the acts of his life.",0.2732,0.04,0.0,0.96,positive,The strange case of Dr. Jekyll and Mr. Hyde
"He was austere with himself; drank gin when he was alone, to mortify a taste for vintages; and though he enjoyed the theatre, had not crossed the doors of one for twenty years.",0.3182,0.093,0.057,0.85,positive,The strange case of Dr. Jekyll and Mr. Hyde
"But he had an approved tolerance for others; sometimes wondering, almost with envy, at the high pressure of spirits involved in their misdeeds; and in any extremity inclined to help rather than to reprove.",0.7199,0.228,0.114,0.658,positive,The strange case of Dr. Jekyll and Mr. Hyde
"""I incline to Cain's heresy,"" he used to say quaintly: ""I let my brother go to the devil in his own way.""",-0.6597,0.0,0.173,0.827,negative,The strange case of Dr. Jekyll and Mr. Hyde
"In this character, it was frequently his fortune to be the last reputable acquaintance and the last good influence in the lives of downgoing men.",0.4404,0.108,0.0,0.892,positive,The strange case of Dr. Jekyll and Mr. Hyde
"And to such as these, so long as they came about his chambers, he never marked a shade of change in his demeanour.",0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"No doubt the feat was easy to Mr. Utterson; for he was undemonstrative at the best, and even his friendship seemed to be founded in a similar catholicity of good-nature.",0.743,0.258,0.121,0.62,positive,The strange case of Dr. Jekyll and Mr. Hyde
It is the mark of a modest man to accept his friendly circle ready-made from the hands of opportunity; and that was the lawyer's way.,0.8225,0.291,0.0,0.709,positive,The strange case of Dr. Jekyll and Mr. Hyde
"His friends were those of his own blood or those whom he had known the longest; his affections, like ivy, were the growth of time, they implied no aptness in the object.",0.8176,0.268,0.055,0.677,positive,The strange case of Dr. Jekyll and Mr. Hyde
"Hence, no doubt the bond that united him to Mr. Richard Enfield, his distant kinsman, the well-known man about town.",-0.2263,0.114,0.192,0.694,negative,The strange case of Dr. Jekyll and Mr. Hyde
"It was a nut to crack for many, what these two could see in each other, or what subject they could find in common.",0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"It was reported by those who encountered them in their Sunday walks, that they said nothing, looked singularly dull and would hail with obvious relief the appearance of a friend.",0.8342,0.283,0.0,0.717,positive,The strange case of Dr. Jekyll and Mr. Hyde
"For all that, the two men put the greatest store by these excursions, counted them the chief jewel of each week, and not only set aside occasions of pleasure, but even resisted the calls of business, that they might enjoy them uninterrupted.",0.875,0.224,0.0,0.776,positive,The strange case of Dr. Jekyll and Mr. Hyde
It chanced on one of these rambles that their way led them down a by-street in a busy quarter of London.,0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"The street was small and what is called quiet, but it drove a thriving trade on the weekdays.",0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"The inhabitants were all doing well, it seemed, and all emulously hoping to do better still, and laying out the surplus of their gains in coquetry; so that the shop fronts stood along that thoroughfare with an air of invitation, like rows of smiling saleswomen.",0.9287,0.287,0.0,0.713,positive,The strange case of Dr. Jekyll and Mr. Hyde
"Even on Sunday, when it veiled its more florid charms and lay comparatively empty of passage, the street shone out in contrast to its dingy neighbourhood, like a fire in a forest; and with its freshly painted shutters, well-polished brasses, and general cleanliness and gaiety of note, instantly caught and pleased the eye of the passenger.",0.6573,0.139,0.068,0.793,positive,The strange case of Dr. Jekyll and Mr. Hyde
"Two doors from one corner, on the left hand going east the line was broken by the entry of a court; and just at that point a certain sinister block of building thrust forward its gable on the street.",-0.6808,0.112,0.21,0.678,negative,The strange case of Dr. Jekyll and Mr. Hyde
"It was two storeys high; showed no window, nothing but a door on the lower storey and a blind forehead of discoloured wall on the upper; and bore in every feature, the marks of prolonged and sordid negligence.",-0.8573,0.0,0.246,0.754,negative,The strange case of Dr. Jekyll and Mr. Hyde
"The door, which was equipped with neither bell nor knocker, was blistered and distained.",0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"Tramps slouched into the recess and struck matches on the panels; children kept shop upon the steps; the schoolboy had tried his knife on the mouldings; and for close on a generation, no one had appeared to drive away these random visitors or to repair their ravages.",-0.4939,0.0,0.087,0.913,negative,The strange case of Dr. Jekyll and Mr. Hyde
"Mr. Enfield and the lawyer were on the other side of the by-street; but when they came abreast of the entry, the former lifted up his cane and pointed.",0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"""Did you ever remark that door?""",0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"he asked; and when his companion had replied in the affirmative, ""It is connected in my mind,"" added he, ""with a very odd story.""",-0.3804,0.0,0.105,0.895,negative,The strange case of Dr. Jekyll and Mr. Hyde
"""Indeed?""",0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"said Mr. Utterson, with a slight change of voice, ""and what was that?""",0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"""Well, it was this way,"" returned Mr. Enfield: ""I was coming home from some place at the end of the world, about three o'clock of a black winter morning, and my way lay through a part of town where there was literally nothing to be seen but lamps.",0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"Street after street and all the folks asleep--street after street, all lighted up as if for a procession and all as empty as a church--till at last I got into that state of mind when a man listens and listens and begins to long for the sight of a policeman.",-0.2023,0.0,0.039,0.961,negative,The strange case of Dr. Jekyll and Mr. Hyde
"All at once, I saw two figures: one a little man who was stumping along eastward at a good walk, and the other a girl of maybe eight or ten who was running as hard as she was able down a cross street.",0.3612,0.072,0.035,0.893,positive,The strange case of Dr. Jekyll and Mr. Hyde
"Well, sir, the two ran into one another naturally enough at the corner; and then came the horrible part of the thing; for the man trampled calmly over the child's body and left her screaming on the ground.",-0.4019,0.099,0.137,0.764,negative,The strange case of Dr. Jekyll and Mr. Hyde
"It sounds nothing to hear, but it was hellish to see.",-0.7783,0.0,0.367,0.633,negative,The strange case of Dr. Jekyll and Mr. Hyde
It wasn't like a man; it was like some damned Juggernaut.,-0.7022,0.0,0.493,0.507,negative,The strange case of Dr. Jekyll and Mr. Hyde
"I gave a few halloa, took to my heels, collared my gentleman, and brought him back to where there was already quite a group about the screaming child.",-0.3818,0.0,0.098,0.902,negative,The strange case of Dr. Jekyll and Mr. Hyde
"He was perfectly cool and made no resistance, but gave me one look, so ugly that it brought out the sweat on me like running.",-0.241,0.215,0.213,0.572,negative,The strange case of Dr. Jekyll and Mr. Hyde
"The people who had turned out were the girl's own family; and pretty soon, the doctor, for whom she had been sent, put in his appearance.",0.4939,0.113,0.0,0.887,positive,The strange case of Dr. Jekyll and Mr. Hyde
"Well, the child was not much the worse, more frightened, according to the sawbones; and there you might have supposed would be an end to it.",0.1182,0.151,0.104,0.746,positive,The strange case of Dr. Jekyll and Mr. Hyde
But there was one curious circumstance.,0.4497,0.371,0.0,0.629,positive,The strange case of Dr. Jekyll and Mr. Hyde
I had taken a loathing to my gentleman at first sight.,-0.5719,0.0,0.316,0.684,negative,The strange case of Dr. Jekyll and Mr. Hyde
"So had the child's family, which was only natural.",0.3612,0.238,0.0,0.762,positive,The strange case of Dr. Jekyll and Mr. Hyde
But the doctor's case was what struck me.,-0.3612,0.0,0.263,0.737,negative,The strange case of Dr. Jekyll and Mr. Hyde
"He was the usual cut and dry apothecary, of no particular age and colour, with a strong Edinburgh accent and about as emotional as a bagpipe.",0.1531,0.168,0.147,0.685,positive,The strange case of Dr. Jekyll and Mr. Hyde
"Well, sir, he was like the rest of us; every time he looked at my prisoner, I saw that sawbones turn sick and white with the desire to kill him.",-0.7351,0.175,0.275,0.55,negative,The strange case of Dr. Jekyll and Mr. Hyde
"I knew what was in his mind, just as he knew what was in mine; and killing being out of the question, we did the next best.",-0.0516,0.129,0.135,0.736,negative,The strange case of Dr. Jekyll and Mr. Hyde
We told the man we could and would make such a scandal out of this as should make his name stink from one end of London to the other.,-0.6808,0.0,0.177,0.823,negative,The strange case of Dr. Jekyll and Mr. Hyde
"If he had any friends or any credit, we undertook that he should lose them.",0.4588,0.279,0.132,0.588,positive,The strange case of Dr. Jekyll and Mr. Hyde
"And all the time, as we were pitching it in red hot, we were keeping the women off him as best we could for they were as wild as harpies.",0.6369,0.127,0.0,0.873,positive,The strange case of Dr. Jekyll and Mr. Hyde
"I never saw a circle of such hateful faces; and there was the man in the middle, with a kind of black sneering coolness--frightened too, I could see that--but carrying it off, sir, really like Satan.",-0.1045,0.078,0.089,0.833,negative,The strange case of Dr. Jekyll and Mr. Hyde
"'If you choose to make capital out of this accident,' said he, 'I am naturally helpless.",-0.4588,0.0,0.167,0.833,negative,The strange case of Dr. Jekyll and Mr. Hyde
"No gentleman but wishes to avoid a scene,' says he.",-0.3612,0.154,0.358,0.488,negative,The strange case of Dr. Jekyll and Mr. Hyde
'Name your figure.',0.0,0.0,0.0,1.0,neutral,The strange case of Dr. Jekyll and Mr. Hyde
"Well, we screwed him up to a hundred pounds for the child's family; he would have clearly liked to stick out; but there was something about the lot of us that meant mischief, and at last he struck.",-0.5499,0.12,0.178,0.702,negative,The strange case of Dr. Jekyll and Mr. Hyde
"The next thing was to get the money; and where do you think he carried us but to that place with the door?--whipped out a key, went in, and presently came back with the matter of ten pounds in gold and a cheque for the balance on Coutts's, drawn payable to bearer and signed with a name that I can't mention, though it's one of the points of my story, but it was a name at least very well known and often printed.",0.5006,0.053,0.0,0.947,positive,The strange case of Dr. Jekyll and Mr. Hyde
The figure was stiff; but the signature was good for more than that if it was only genuine.,0.5927,0.185,0.0,0.815,positive,The strange case of Dr. Jekyll and Mr. Hyde
"I took the liberty of pointing out to my gentleman that the whole business looked apocryphal, and that a man does not, in real life, walk into a cellar door at four in the morning and come out with another man's cheque for close upon a hundred pounds.",0.5267,0.073,0.0,0.927,positive,The strange case of Dr. Jekyll and Mr. Hyde
