sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of Barry Locke, half-back This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",-0.1531,0.068,0.107,0.825,negative,"Barry Locke, half-back"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"Barry Locke, half-back"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"Barry Locke, half-back"
"Title : Barry Locke, half-back Author : Ralph Henry Barbour Illustrator : C. M. Relyea Release date : March 5, 2026 [eBook #78118] Language : English Original publication : New York: The Century Co, 1925 Other information and formats : www.gutenberg.org/ebooks/78118 Credits : Produced by Donald Cummings and the Online Distributed Proofreading Team at https://www.pgdp.net *** START OF THE PROJECT GUTENBERG EBOOK BARRY LOCKE, HALF-BACK *** BARRY LOCKE HALF-BACK BY RALPH HENRY BARBOUR Author of "" The Crimson Sweater ,"" "" Harry's Island ,"" "" Team-Mates ,"" "" The Turner Twins ,"" Etc.",0.5859,0.057,0.0,0.943,positive,"Barry Locke, half-back"
"ILLUSTRATED BY C. M. RELYEA THE CENTURY CO. New York & London Copyright, 1925, by The Century Co.",0.0,0.0,0.0,1.0,neutral,"Barry Locke, half-back"
PRINTED IN U. S. A.,0.0,0.0,0.0,1.0,neutral,"Barry Locke, half-back"
"CONTENTS CHAPTER PAGE I Barry Locke Arrives 3 II Jones Lends a Hand 22 III Barry Makes a Purchase 37 IV ""Pup Night"" 46 V Fessenden Fiddles 59 VI ""Peaches"" 71 VII Drafted 84 VIII With the Squad 97 IX Barry Shows His Stuff 109 X Station W.L.L.O.",0.4939,0.072,0.0,0.928,positive,"Barry Locke, half-back"
"Broadcasts 122 XI Murray School Threatens 137 XII Clyde Asks a Favor 146 XIII Betty Confides 156 XIV Barry Seeks Advice 172 XV Clyde Loses His Temper 181 XVI Mr. Benjy Loses Interest 193 XVII Clyde Apologizes 204 XVIII Under Cover 213 XIX The New Typewriter 229 XX The Old Desk Repays Kindness 248 XXI A Mystery Solved 261 XXII Up the Mountain 275 XXIII Even-Steven 284 XXIV ""Locke Back!""",0.5562,0.165,0.121,0.714,positive,"Barry Locke, half-back"
"299 XXV Zo Plays 310 XXVI The Right Sort 321 ILLUSTRATIONS FACING PAGE ""I Thought I'd Better Wait Around and Give You a Hand"" Frontispiece ""Keep Your Head, Boy, Lock Your Leg, and Wham It!""",0.8122,0.213,0.0,0.787,positive,"Barry Locke, half-back"
"146 ""All Right, Davy,"" Called Peaches, Softly 220 ""Ever See That Before?""",0.0,0.0,0.0,1.0,neutral,"Barry Locke, half-back"
270 BARRY LOCKE HALF-BACK CHAPTER I BARRY LOCKE ARRIVES Barry didn't wait for the conductor's announcement.,0.0,0.0,0.0,1.0,neutral,"Barry Locke, half-back"
He was at the car door before the little Connecticut village came into sight.,0.0,0.0,0.0,1.0,neutral,"Barry Locke, half-back"
"There was a glimpse of South Street, shaded, asleep in the afternoon sunshine, and then the freight-shed interposed a blank yellow countenance.",0.4939,0.144,0.0,0.856,positive,"Barry Locke, half-back"
"Barry shifted the light overcoat on his arm--he had wanted to put it in the trunk, but his mother, suspicious of September in the hills, had overruled him--and picked up his suit-case just as the conductor bawled past him, into the hot, dusty interior: ""Wessex!",-0.5487,0.0,0.075,0.925,negative,"Barry Locke, half-back"
Wessex!,0.0,0.0,0.0,1.0,neutral,"Barry Locke, half-back"
"Change for Sanborn Mills, Mount Sippick, and Alden!",0.0,0.0,0.0,1.0,neutral,"Barry Locke, half-back"
"We-e-essex! """,0.0,0.0,0.0,1.0,neutral,"Barry Locke, half-back"
The station threw a welcome shadow and the train stopped.,0.2732,0.252,0.16,0.588,positive,"Barry Locke, half-back"
"Barry descended, his brown eyes alight, a smile, slightly shy, already curving his lips.",0.2006,0.164,0.112,0.723,positive,"Barry Locke, half-back"
"Others, crowding about him, sent him deeper into the shade of the platform, his gaze still questing.",0.0,0.0,0.0,1.0,neutral,"Barry Locke, half-back"
"At least a score of boys had alighted, and these, mingling with almost as many previous occupants of the platform, made for sound and confusion.",-0.296,0.0,0.087,0.913,negative,"Barry Locke, half-back"
"Friends parted since June sighted one another with loud hails and plowed determinedly toward a reunion, heedless of all between.",0.4767,0.147,0.0,0.853,positive,"Barry Locke, half-back"
