sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The First Men in the Moon This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.063,0.1,0.837,negative,The First Men in the Moon
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The First Men in the Moon
"Title : The First Men in the Moon Author : H. G. Wells Release date : October 20, 2004 [eBook #1013] Most recently updated: February 25, 2026 Language : English Other information and formats : www.gutenberg.org/ebooks/1013 Credits : Barry Haworth *** START OF THE PROJECT GUTENBERG EBOOK THE FIRST MEN IN THE MOON *** The First Men In The Moon by H. G. Wells Contents I. Mr. Bedford Meets Mr. Cavor at Lympne II.",0.6705,0.091,0.0,0.909,positive,The First Men in the Moon
The First Making of Cavorite III.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
The Building of the sphere IV.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
Inside the Sphere V. The Journey to the Moon VI.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
The Landing on the Moon VII.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
Sunrise on the Moon VIII.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
A Lunar Morning IX.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
Prospecting Begins X.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
Lost Men in the Moon XI.,-0.3182,0.0,0.315,0.685,negative,The First Men in the Moon
The Mooncalf Pastures XII.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
The Selenite's Face XIII.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
Mr. Cavor Makes Some Suggestions XIV.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
Experiments in intercourse XV.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
The Giddy Bridge XVI.,-0.1531,0.0,0.348,0.652,negative,The First Men in the Moon
Points of View XVII.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
The Fight in the Cave of the Moon Butchers XVIII.,-0.3818,0.0,0.224,0.776,negative,The First Men in the Moon
In the Sunlight XIX.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
Mr. Bedford Alone XX.,-0.25,0.0,0.4,0.6,negative,The First Men in the Moon
Mr. Bedford in Infinite Space XXI.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
Mr. Bedford at Littlestone XXII.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
The Astonishing Communication of Mr. Julius Wendigee XXIII.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
An Abstract of the Six Messages First Received from Mr. Cavor XXIV.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
The Natural History of the Selenites XXV.,0.3612,0.294,0.0,0.706,positive,The First Men in the Moon
The Grand Lunar XXVI.,0.4588,0.5,0.0,0.5,positive,The First Men in the Moon
"The Last Message Cavor sent to the Earth I. Mr. Bedford Meets Mr. Cavor at Lympne As I sit down to write here amidst the shadows of vine-leaves under the blue sky of southern Italy, it comes to me with a certain quality of astonishment that my participation in these amazing adventures of Mr. Cavor was, after all, the outcome of the purest accident.",0.6369,0.12,0.045,0.836,positive,The First Men in the Moon
It might have been any one.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
I fell into these things at a time when I thought myself removed from the slightest possibility of disturbing experiences.,-0.5106,0.0,0.171,0.829,negative,The First Men in the Moon
I had gone to Lympne because I had imagined it the most uneventful place in the world.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
"""Here, at any rate,"" said I, ""I shall find peace and a chance to work!""",0.6996,0.326,0.0,0.674,positive,The First Men in the Moon
And this book is the sequel.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
So utterly at variance is destiny with all the little plans of men.,0.0,0.0,0.0,1.0,neutral,The First Men in the Moon
I may perhaps mention here that very recently I had come an ugly cropper in certain business enterprises.,-0.296,0.108,0.17,0.722,negative,The First Men in the Moon
