sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The call of the wild This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,The call of the wild
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The call of the wild
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The call of the wild
"Title : The call of the wild Author : Jack London Release date : July 2, 2008 [eBook #215] Most recently updated: August 4, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/215 Credits : Ryan, Kirstin, Linda and Rick Trapp and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE CALL OF THE WILD *** The Call of the Wild by Jack London Contents Chapter I.",0.3612,0.039,0.0,0.961,positive,The call of the wild
Into the Primitive Chapter II.,0.0,0.0,0.0,1.0,neutral,The call of the wild
The Law of Club and Fang Chapter III.,0.0,0.0,0.0,1.0,neutral,The call of the wild
The Dominant Primordial Beast Chapter IV.,0.0,0.0,0.0,1.0,neutral,The call of the wild
Who Has Won to Mastership Chapter V. The Toil of Trace and Trail Chapter VI.,0.5719,0.209,0.0,0.791,positive,The call of the wild
For the Love of a Man Chapter VII.,0.6369,0.412,0.0,0.588,positive,The call of the wild
The Sounding of the Call Chapter I.,0.0,0.0,0.0,1.0,neutral,The call of the wild
"Into the Primitive ""Old longings nomadic leap, Chafing at custom's chain; Again from its brumal sleep Wakens the ferine strain.""",0.1027,0.069,0.0,0.931,positive,The call of the wild
"Buck did not read the newspapers, or he would have known that trouble was brewing, not alone for himself, but for every tide-water dog, strong of muscle and with warm, long hair, from Puget Sound to San Diego.",0.7446,0.186,0.042,0.772,positive,The call of the wild
"Because men, groping in the Arctic darkness, had found a yellow metal, and because steamship and transportation companies were booming the find, thousands of men were rushing into the Northland.",-0.25,0.0,0.067,0.933,negative,The call of the wild
"These men wanted dogs, and the dogs they wanted were heavy dogs, with strong muscles by which to toil, and furry coats to protect them from the frost.",0.7096,0.185,0.0,0.815,positive,The call of the wild
Buck lived at a big house in the sun-kissed Santa Clara Valley.,0.0,0.0,0.0,1.0,neutral,The call of the wild
"Judge Miller's place, it was called.",0.0,0.0,0.0,1.0,neutral,The call of the wild
"It stood back from the road, half hidden among the trees, through which glimpses could be caught of the wide cool veranda that ran around its four sides.",0.3182,0.078,0.0,0.922,positive,The call of the wild
The house was approached by gravelled driveways which wound about through wide-spreading lawns and under the interlacing boughs of tall poplars.,-0.2263,0.0,0.087,0.913,negative,The call of the wild
At the rear things were on even a more spacious scale than at the front.,0.0,0.0,0.0,1.0,neutral,The call of the wild
"There were great stables, where a dozen grooms and boys held forth, rows of vine-clad servants' cottages, an endless and orderly array of outhouses, long grape arbors, green pastures, orchards, and berry patches.",0.6249,0.117,0.0,0.883,positive,The call of the wild
"Then there was the pumping plant for the artesian well, and the big cement tank where Judge Miller's boys took their morning plunge and kept cool in the hot afternoon.",0.5267,0.136,0.0,0.864,positive,The call of the wild
And over this great demesne Buck ruled.,0.7073,0.448,0.0,0.552,positive,The call of the wild
"Here he was born, and here he had lived the four years of his life.",0.0,0.0,0.0,1.0,neutral,The call of the wild
"It was true, there were other dogs.",0.4215,0.318,0.0,0.682,positive,The call of the wild
"There could not but be other dogs on so vast a place, but they did not count.",0.0,0.0,0.0,1.0,neutral,The call of the wild
"They came and went, resided in the populous kennels, or lived obscurely in the recesses of the house after the fashion of Toots, the Japanese pug, or Ysabel, the Mexican hairless,--strange creatures that rarely put nose out of doors or set foot to ground.",0.0,0.0,0.0,1.0,neutral,The call of the wild
"On the other hand, there were the fox terriers, a score of them at least, who yelped fearful promises at Toots and Ysabel looking out of the windows at them and protected by a legion of housemaids armed with brooms and mops.",0.6705,0.182,0.067,0.752,positive,The call of the wild
But Buck was neither house-dog nor kennel-dog.,0.0,0.0,0.0,1.0,neutral,The call of the wild
The whole realm was his.,0.0,0.0,0.0,1.0,neutral,The call of the wild
"He plunged into the swimming tank or went hunting with the Judge's sons; he escorted Mollie and Alice, the Judge's daughters, on long twilight or early morning rambles; on wintry nights he lay at the Judge's feet before the roaring library fire; he carried the Judge's grandsons on his back, or rolled them in the grass, and guarded their footsteps through wild adventures down to the fountain in the stable yard, and even beyond, where the paddocks were, and the berry patches.",0.296,0.053,0.028,0.919,positive,The call of the wild
"Among the terriers he stalked imperiously, and Toots and Ysabel he utterly ignored, for he was king,--king over all creeping, crawling, flying things of Judge Miller's place, humans included.",-0.3804,0.0,0.085,0.915,negative,The call of the wild
"His father, Elmo, a huge St. Bernard, had been the Judge's inseparable companion, and Buck bid fair to follow in the way of his father.",0.5574,0.173,0.0,0.827,positive,The call of the wild
"He was not so large,--he weighed only one hundred and forty pounds,--for his mother, Shep, had been a Scotch shepherd dog.",0.0,0.0,0.0,1.0,neutral,The call of the wild
"Nevertheless, one hundred and forty pounds, to which was added the dignity that comes of good living and universal respect, enabled him to carry himself in right royal fashion.",0.8271,0.251,0.0,0.749,positive,The call of the wild
