sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of The Will to Believe, and Other Essays in Popular Philosophy This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",0.296,0.112,0.088,0.8,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"Title : The Will to Believe, and Other Essays in Popular Philosophy Author : William James Release date : September 19, 2008 [eBook #26659] Most recently updated: January 4, 2021 Language : English Other information and formats : www.gutenberg.org/ebooks/26659 Credits : Produced by Al Haines.",0.6486,0.125,0.0,0.875,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
(This file was produced from images generously made available by The Internet Archive.),0.4215,0.189,0.0,0.811,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"*** START OF THE PROJECT GUTENBERG EBOOK THE WILL TO BELIEVE, AND OTHER ESSAYS IN POPULAR PHILOSOPHY *** THE WILL TO BELIEVE AND OTHER ESSAYS IN POPULAR PHILOSOPHY BY WILLIAM JAMES NEW IMPRESSION LONGMANS, GREEN, AND CO. FOURTH AVENUE & 30TH STREET, NEW YORK LONDON, BOMBAY, AND CALCUTTA 1912 Copyright, 1896 BY WILLIAM JAMES First Edition.",0.8657,0.157,0.0,0.843,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"February, 1897, Reprinted, May, 1897, September, 1897, March, 1898, August, 1899, June, 1902, January, 1903, May, 1904, June, 1905, March, 1907, April, 1908, September, 1909, December, 1910, November, 1911, November, 1912 To My Old Friend, CHARLES SANDERS PEIRCE, To whose philosophic comradeship in old times and to whose writings in more recent years I owe more incitement and help than I can express or repay.",0.7322,0.092,0.0,0.908,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
PREFACE.,0.0,0.0,0.0,1.0,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
"At most of our American Colleges there are Clubs formed by the students devoted to particular branches of learning; and these clubs have the laudable custom of inviting once or twice a year some maturer scholar to address them, the occasion often being made a public one.",0.6124,0.104,0.0,0.896,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"I have from time to time accepted such invitations, and afterwards had my discourse printed in one or other of the Reviews.",0.2732,0.095,0.0,0.905,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"It has seemed to me that these addresses might now be worthy of collection in a volume, as they shed explanatory light upon each other, and taken together express a tolerably definite philosophic attitude in a very untechnical way.",0.6124,0.128,0.0,0.872,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"Were I obliged to give a short name to the attitude in question, I should call it that of radical empiricism , in spite of the fact that such brief nicknames are nowhere more misleading than in philosophy.",-0.2323,0.065,0.09,0.845,negative,"The Will to Believe, and Other Essays in Popular Philosophy"
"I say 'empiricism,' because it is contented to regard its most assured conclusions concerning matters of fact as hypotheses liable to modification in the course of future experience; and I say 'radical,' because it treats the doctrine of monism itself as an hypothesis, and, unlike so much of the half-way empiricism that is current under the name of positivism or agnosticism or scientific naturalism, it does not dogmatically affirm monism as something with which all experience has got to square.",0.7841,0.107,0.0,0.893,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
The difference between monism and pluralism is perhaps the most pregnant of all the differences in philosophy.,0.0,0.0,0.0,1.0,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
"Primâ facie the world is a pluralism; as we find it, its unity seems to be that of any collection; and our higher thinking consists chiefly of an effort to redeem it from that first crude form.",-0.5719,0.0,0.096,0.904,negative,"The Will to Believe, and Other Essays in Popular Philosophy"
"Postulating more unity than the first experiences yield, we also discover more.",0.0,0.0,0.0,1.0,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
"But absolute unity, in spite of brilliant dashes in its direction, still remains undiscovered, still remains a Grenzbegriff .",0.1531,0.21,0.185,0.605,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"""Ever not quite"" must be the rationalistic philosopher's last confession concerning it.",0.0,0.0,0.0,1.0,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
"After all that reason can do has been done, there still remains the opacity of the finite facts as merely given, with most of their peculiarities mutually unmediated and unexplained.",0.0935,0.045,0.0,0.955,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"To the very last, there are the various 'points of view' which the philosopher must distinguish in discussing the world; and what is inwardly clear from one point remains a bare externality and datum to the other.",0.3818,0.069,0.0,0.931,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"The negative, the alogical, is never wholly banished.",-0.5719,0.0,0.346,0.654,negative,"The Will to Believe, and Other Essays in Popular Philosophy"
"Something--""call it fate, chance, freedom, spontaneity, the devil, what you will""--is still wrong and other and outside and unincluded, from your point of view, even though you be the greatest of philosophers.",0.4404,0.232,0.167,0.601,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
Something is always mere fact and givenness ; and there may be in the whole universe no one point of view extant from which this would not be found to be the case.,-0.296,0.0,0.066,0.934,negative,"The Will to Believe, and Other Essays in Popular Philosophy"
"""Reason,"" as a gifted writer says, ""is but one item in the mystery; and behind the proudest consciousness that ever reigned, reason and wonder blushed face to face.",0.7096,0.159,0.0,0.841,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"The inevitable stales, while doubt and hope are sisters.",0.1027,0.234,0.202,0.565,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"Not unfortunately the universe is wild,--game-flavored as a hawk's wing.",0.2584,0.203,0.0,0.797,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
Nature is miracle all; the same returns not save to bring the different.,0.2896,0.218,0.151,0.631,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"The slow round of the engraver's lathe gains but the breadth of a hair, but the difference is distributed back over the whole curve, never an instant true,--ever not quite.",0.1779,0.057,0.0,0.943,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"""[ 1 ] This is pluralism, somewhat rhapsodically expressed.",0.0,0.0,0.0,1.0,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
He who takes for his hypothesis the notion that it is the permanent form of the world is what I call a radical empiricist.,0.0,0.0,0.0,1.0,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
For him the crudity of experience remains an eternal element thereof.,0.0,0.0,0.0,1.0,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
There is no possible point of view from which the world can appear an absolutely single fact.,-0.296,0.0,0.121,0.879,negative,"The Will to Believe, and Other Essays in Popular Philosophy"
"Real possibilities, real indeterminations, real beginnings, real ends, real evil, real crises, catastrophes, and escapes, a real God, and a real moral life, just as common-sense conceives these things, may remain in empiricism as conceptions which that philosophy gives up the attempt either to 'overcome' or to reinterpret in monistic form.",-0.4215,0.067,0.081,0.852,negative,"The Will to Believe, and Other Essays in Popular Philosophy"
"Many of my professionally trained confrères will smile at the irrationalism of this view, and at the artlessness of my essays in point of technical form.",0.0,0.086,0.086,0.828,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
But they should be taken as illustrations of the radically empiricist attitude rather than as argumentations for its validity.,0.0,0.0,0.0,1.0,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
"That admits meanwhile of being argued in as technical a shape as any one can desire, and possibly I may be spared to do later a share of that work.",0.5574,0.218,0.077,0.706,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
"Meanwhile these essays seem to light up with a certain dramatic reality the attitude itself, and make it visible alongside of the higher and lower dogmatisms between which in the pages of philosophic history it has generally remained eclipsed from sight.",-0.0258,0.05,0.052,0.898,neutral,"The Will to Believe, and Other Essays in Popular Philosophy"
The first four essays are largely concerned with defending the legitimacy of religious faith.,0.4215,0.177,0.0,0.823,positive,"The Will to Believe, and Other Essays in Popular Philosophy"
To some rationalizing readers such advocacy will seem a sad misuse of one's professional position.,-0.4767,0.0,0.193,0.807,negative,"The Will to Believe, and Other Essays in Popular Philosophy"
"Mankind, they will say, is only too prone to follow faith unreasoningly, and needs no preaching nor encouragement in that direction.",-0.1857,0.111,0.179,0.711,negative,"The Will to Believe, and Other Essays in Popular Philosophy"
"I quite agree that what mankind at large most lacks is criticism and caution, not faith.",-0.4025,0.138,0.271,0.591,negative,"The Will to Believe, and Other Essays in Popular Philosophy"
