sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Mrs. Warren's Profession This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,Mrs. Warren's Profession
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Mrs. Warren's Profession
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Mrs. Warren's Profession
"Title : Mrs. Warren's Profession Author : Bernard Shaw Release date : February 11, 2002 [eBook #1097] Most recently updated: October 29, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1097 Credits : Produced by An Anonymous Volunteer and David Widger *** START OF THE PROJECT GUTENBERG EBOOK MRS. WARREN'S PROFESSION *** MRS WARREN'S PROFESSION by George Bernard Shaw 1894 With The Author's Apology (1902) Contents THE AUTHOR'S APOLOGY MRS WARREN'S PROFESSION ACT I ACT II ACT III ACT IV THE AUTHOR'S APOLOGY Mrs Warren's Profession has been performed at last, after a delay of only eight years; and I have once more shared with Ibsen the triumphant amusement of startling all but the strongest-headed of the London theatre critics clean out of the practice of their profession.",0.7801,0.125,0.034,0.84,positive,Mrs. Warren's Profession
"No author who has ever known the exultation of sending the Press into an hysterical tumult of protest, of moral panic, of involuntary and frantic confession of sin, of a horror of conscience in which the power of distinguishing between the work of art on the stage and the real life of the spectator is confused and overwhelmed, will ever care for the stereotyped compliments which every successful farce or melodrama elicits from the newspapers.",-0.9201,0.112,0.268,0.619,negative,Mrs. Warren's Profession
Give me that critic who rushed from my play to declare furiously that Sir George Crofts ought to be kicked.,-0.3818,0.098,0.205,0.697,negative,Mrs. Warren's Profession
"What a triumph for the actor, thus to reduce a jaded London journalist to the condition of the simple sailor in the Wapping gallery, who shouts execrations at Iago and warnings to Othello not to believe him!",-0.2481,0.077,0.127,0.796,negative,Mrs. Warren's Profession
But dearer still than such simplicity is that sense of the sudden earthquake shock to the foundations of morality which sends a pallid crowd of critics into the street shrieking that the pillars of society are cracking and the ruin of the State is at hand.,-0.5023,0.137,0.191,0.672,negative,Mrs. Warren's Profession
Even the Ibsen champions of ten years ago remonstrate with me just as the veterans of those brave days remonstrated with them.,0.7783,0.254,0.0,0.746,positive,Mrs. Warren's Profession
"Mr Grein, the hardy iconoclast who first launched my plays on the stage alongside Ghosts and The Wild Duck, exclaimed that I have shattered his ideals.",0.4404,0.257,0.1,0.643,positive,Mrs. Warren's Profession
Actually his ideals!,0.2714,0.511,0.0,0.489,positive,Mrs. Warren's Profession
What would Dr Relling say?,0.0,0.0,0.0,1.0,neutral,Mrs. Warren's Profession
"And Mr William Archer himself disowns me because I ""cannot touch pitch without wallowing in it"".",0.0,0.0,0.0,1.0,neutral,Mrs. Warren's Profession
Truly my play must be more needed than I knew; and yet I thought I knew how little the others know.,0.6486,0.249,0.0,0.751,positive,Mrs. Warren's Profession
"Do not suppose, however, that the consternation of the Press reflects any consternation among the general public.",0.0,0.0,0.0,1.0,neutral,Mrs. Warren's Profession
"Anybody can upset the theatre critics, in a turn of the wrist, by substituting for the romantic commonplaces of the stage the moral commonplaces of the pulpit, platform, or the library.",-0.2732,0.078,0.139,0.783,negative,Mrs. Warren's Profession
"Play Mrs Warren's Profession to an audience of clerical members of the Christian Social Union and of women well experienced in Rescue, Temperance, and Girls' Club work, and no moral panic will arise; every man and woman present will know that as long as poverty makes virtue hideous and the spare pocket-money of rich bachelordom makes vice dazzling, their daily hand-to-hand fight against prostitution with prayer and persuasion, shelters and scanty alms, will be a losing one.",0.0516,0.151,0.149,0.701,positive,Mrs. Warren's Profession
"There was a time when they were able to urge that though ""the white-lead factory where Anne Jane was poisoned"" may be a far more terrible place than Mrs Warren's house, yet hell is still more dreadful.",-0.937,0.0,0.317,0.683,negative,Mrs. Warren's Profession
"Nowadays they no longer believe in hell; and the girls among whom they are working know that they do not believe in it, and would laugh at them if they did.",-0.4939,0.094,0.177,0.729,negative,Mrs. Warren's Profession
"So well have the rescuers learnt that Mrs Warren's defence of herself and indictment of society is the thing that most needs saying, that those who know me personally reproach me, not for writing this play, but for wasting my energies on ""pleasant plays"" for the amusement of frivolous people, when I can build up such excellent stage sermons on their own work.",0.9503,0.283,0.045,0.672,positive,Mrs. Warren's Profession
"Mrs Warren's Profession is the one play of mine which I could submit to a censorship without doubt of the result; only, it must not be the censorship of the minor theatre critic, nor of an innocent court official like the Lord Chamberlain's Examiner, much less of people who consciously profit by Mrs Warren's profession, or who personally make use of it, or who hold the widely whispered view that it is an indispensable safety-valve for the protection of domestic virtue, or, above all, who are smitten with a sentimental affection for our fallen sister, and would ""take her up tenderly, lift her with care, fashioned so slenderly, young, and SO fair.""",0.9499,0.191,0.052,0.758,positive,Mrs. Warren's Profession
"Nor am I prepared to accept the verdict of the medical gentlemen who would compulsorily sanitate and register Mrs Warren, whilst leaving Mrs Warren's patrons, especially her military patrons, free to destroy her health and anybody else's without fear of reprisals.",0.6075,0.205,0.105,0.69,positive,Mrs. Warren's Profession
"But I should be quite content to have my play judged by, say, a joint committee of the Central Vigilance Society and the Salvation Army.",0.4767,0.124,0.0,0.876,positive,Mrs. Warren's Profession
"And the sterner moralists the members of the committee were, the better.",0.4404,0.209,0.0,0.791,positive,Mrs. Warren's Profession
Some of the journalists I have shocked reason so unripely that they will gather nothing from this but a confused notion that I am accusing the National Vigilance Association and the Salvation Army of complicity in my own scandalous immorality.,-0.9032,0.0,0.291,0.709,negative,Mrs. Warren's Profession
It will seem to them that people who would stand this play would stand anything.,0.4118,0.164,0.0,0.836,positive,Mrs. Warren's Profession
They are quite mistaken.,-0.4201,0.0,0.482,0.518,negative,Mrs. Warren's Profession
Such an audience as I have described would be revolted by many of our fashionable plays.,0.25,0.125,0.0,0.875,positive,Mrs. Warren's Profession
They would leave the theatre convinced that the Plymouth Brother who still regards the playhouse as one of the gates of hell is perhaps the safest adviser on the subject of which he knows so little.,-0.1027,0.125,0.134,0.741,negative,Mrs. Warren's Profession
"If I do not draw the same conclusion, it is not because I am one of those who claim that art is exempt from moral obligations, and deny that the writing or performance of a play is a moral act, to be treated on exactly the same footing as theft or murder if it produces equally mischievous consequences.",-0.6486,0.062,0.117,0.821,negative,Mrs. Warren's Profession
"I am convinced that fine art is the subtlest, the most seductive, the most effective instrument of moral propaganda in the world, excepting only the example of personal conduct; and I waive even this exception in favor of the art of the stage, because it works by exhibiting examples of personal conduct made intelligible and moving to crowds of unobservant, unreflecting people to whom real life means nothing.",0.8748,0.173,0.027,0.8,positive,Mrs. Warren's Profession
"I have pointed out again and again that the influence of the theatre in England is growing so great that whilst private conduct, religion, law, science, politics, and morals are becoming more and more theatrical, the theatre itself remains impervious to common sense, religion, science, politics, and morals.",0.787,0.134,0.0,0.866,positive,Mrs. Warren's Profession
"That is why I fight the theatre, not with pamphlets and sermons and treatises, but with plays; and so effective do I find the dramatic method that I have no doubt I shall at last persuade even London to take its conscience and its brains with it when it goes to the theatre, instead of leaving them at home with its prayer-book as it does at present.",0.0617,0.097,0.108,0.795,positive,Mrs. Warren's Profession
"Consequently, I am the last man in the world to deny that if the net effect of performing Mrs Warren's Profession were an increase in the number of persons entering that profession, its performance should be dealt with accordingly.",0.0516,0.088,0.059,0.854,positive,Mrs. Warren's Profession
Now let us consider how such recruiting can be encouraged by the theatre.,0.3612,0.172,0.0,0.828,positive,Mrs. Warren's Profession
Nothing is easier.,-0.3252,0.0,0.538,0.462,negative,Mrs. Warren's Profession
"Let the King's Reader of Plays, backed by the Press, make an unwritten but perfectly well understood regulation that members of Mrs Warren's profession shall be tolerated on the stage only when they are beautiful, exquisitely dressed, and sumptuously lodged and fed; also that they shall, at the end of the play, die of consumption to the sympathetic tears of the whole audience, or step into the next room to commit suicide, or at least be turned out by their protectors and passed on to be ""redeemed"" by old and faithful lovers who have adored them in spite of their levities.",0.9601,0.271,0.129,0.6,positive,Mrs. Warren's Profession
"Naturally, the poorer girls in the gallery will believe in the beauty, in the exquisite dresses, and the luxurious living, and will see that there is no real necessity for the consumption, the suicide, or the ejectment: mere pious forms, all of them, to save the Censor's face.",-0.296,0.118,0.155,0.726,negative,Mrs. Warren's Profession
"Even if these purely official catastrophes carried any conviction, the majority of English girls remain so poor, so dependent, so well aware that the drudgeries of such honest work as is within their reach are likely enough to lead them eventually to lung disease, premature death, and domestic desertion or brutality, that they would still see reason to prefer the primrose path to the strait path of virtue, since both, vice at worst and virtue at best, lead to the same end in poverty and overwork.",-0.615,0.155,0.173,0.672,negative,Mrs. Warren's Profession
It is true that the Board School mistress will tell you that only girls of a certain kind will reason in this way.,0.8074,0.304,0.0,0.696,positive,Mrs. Warren's Profession
But alas!,-0.4482,0.0,0.746,0.254,negative,Mrs. Warren's Profession
"that certain kind turns out on inquiry to be simply the pretty, dainty kind: that is, the only kind that gets the chance of acting on such reasoning.",0.9477,0.443,0.0,0.557,positive,Mrs. Warren's Profession
"Read the first report of the Commission on the Housing of the Working Classes [Bluebook C 4402, 8d., 1889]; read the Report on Home Industries (sacred word, Home!)",0.0,0.0,0.0,1.0,neutral,Mrs. Warren's Profession
"issued by the Women's Industrial Council [Home Industries of Women in London, 1897, 1s., 12 Buckingham Street, W. C.]; and ask yourself whether, if the lot in life therein described were your lot in life, you would not prefer the lot of Cleopatra, of Theodora, of the Lady of the Camellias, of Mrs Tanqueray, of Zaza, of Iris.",0.0,0.0,0.0,1.0,neutral,Mrs. Warren's Profession
"If you can go deep enough into things to be able to say no, how many ignorant half-starved girls will believe you are speaking sincerely?",-0.0516,0.105,0.146,0.748,negative,Mrs. Warren's Profession
To them the lot of Iris is heavenly in comparison with their own.,0.6124,0.25,0.0,0.75,positive,Mrs. Warren's Profession
"Yet our King, like his predecessors, says to the dramatist, ""Thus, and thus only, shall you present Mrs Warren's profession on the stage, or you shall starve.",-0.1027,0.082,0.095,0.822,negative,Mrs. Warren's Profession
"Witness Shaw, who told the untempting truth about it, and whom We, by the Grace of God, accordingly disallow and suppress, and do what in Us lies to silence.""",0.5267,0.206,0.08,0.714,positive,Mrs. Warren's Profession
"Fortunately, Shaw cannot be silenced.",0.0,0.0,0.0,1.0,neutral,Mrs. Warren's Profession
"""The harlot's cry from street to street"" is louder than the voices of all the kings.",-0.4767,0.0,0.171,0.829,negative,Mrs. Warren's Profession
"I am not dependent on the theatre, and cannot be starved into making my play a standing advertisement of the attractive side of Mrs Warren's business.",0.8033,0.281,0.0,0.719,positive,Mrs. Warren's Profession
Here I must guard myself against a misunderstanding.,-0.4215,0.0,0.359,0.641,negative,Mrs. Warren's Profession
"It is not the fault of their authors that the long string of wanton's tragedies, from Antony and Cleopatra to Iris, are snares to poor girls, and are objected to on that account by many earnest men and women who consider Mrs Warren's Profession an excellent sermon.",0.5037,0.162,0.105,0.734,positive,Mrs. Warren's Profession
Mr Pinero is in no way bound to suppress the fact that his Iris is a person to be envied by millions of better women.,-0.1027,0.103,0.152,0.745,negative,Mrs. Warren's Profession
"If he made his play false to life by inventing fictitious disadvantages for her, he would be acting as unscrupulously as any tract writer.",-0.0772,0.089,0.1,0.812,negative,Mrs. Warren's Profession
"If society chooses to provide for its Irises better than for its working women, it must not expect honest playwrights to manufacture spurious evidence to save its credit.",0.7182,0.246,0.076,0.678,positive,Mrs. Warren's Profession
