sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Minna This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Minna
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Minna
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Minna
"Title : Minna Author : Karl Gjellerup Release date : August 28, 2010 [eBook #33562] Language : Danish Other information and formats : www.gutenberg.org/ebooks/33562 Credits : Produced by Tor Martin Kristiansen and the Online Distributed Proofreading Team at http://www.pgdp.net *** START OF THE PROJECT GUTENBERG EBOOK MINNA *** Afskriverens bemærkninger Åbenlyse trykfejl er rettet i denne e-bog, men forfatterens (inkonsistente) stavning er i øvrigt bevaret.",0.3612,0.043,0.0,0.957,positive,Minna
En ordliste med rettelser er placeret sidst i bogen.,0.0,0.0,0.0,1.0,neutral,Minna
For at lette adgangen til de enkelte kapitler gives her en oversigt.,0.0,0.0,0.0,1.0,neutral,Minna
Første Bog: I II III IV V VI VII VIII IX X Anden Bog: I II III IV V VI VII VIII IX X Tredie Bog: I II III IV V Fjerde Bog: I II III IV V VI VII VIII IX Femte Bog: I II III IV V VI VII VIII Karl Gjellerup Minna Gyldendalske Boghandel -- Nordisk Forlag -- Kjøbenhavn og Kristiania MDCCCCXVIII Krohns Bogtrykkeri.,0.0,0.0,0.0,1.0,neutral,Minna
Helliget Erindringen om min uforglemmelige Ven Kammerjunker F. V. Berregaard kgl.,0.0,0.0,0.0,1.0,neutral,Minna
"Skovrider i Hanenau paa Falster Første Bog I Semestret ved Polytechnicum havde været temmelig anstrengende, og det begyndte at blive utaalelig hedt i Dresden, hvor jeg desuden boede i en af Altstadts mindre Gader, der vel var renlig og net, men ikke just synderlig luftig.",0.0,0.0,0.0,1.0,neutral,Minna
Jeg følte ofte en hjemlig Længsel efter det danske Sund.,0.0,0.0,0.0,1.0,neutral,Minna
"Hvor smukke end Aftenerne ved Elben vare, saa bragte de dog kun ringe Afkjøling, og naar man endnu mellem ni og ti slæbte sig op paa den Brühlske Terrasse og gispede efter en Luftning, viste Thermometret endnu sine fem-sexogtyve Grader Reaumur.",0.0,0.0,0.0,1.0,neutral,Minna
"Dette var for saa vidt trøstende, som det godtgjorde, at man havde en utvivlsom Menneskeret til at svede, og at det var en undskyldelig Extravagance, hvis man nød en Portion Is udenfor Cafféen, hvor der var behageligt at sidde mellem Søilerne og høre Brudstykker af Concerten i » Wienergarten « hinsides Floden.",0.0,0.0,0.0,1.0,neutral,Minna
"Det var paa en saadan Aften, at jeg fattede den dristige Beslutning at ligge paa Landet i den nærforestaaende Sommerferie.",0.0,0.0,0.0,1.0,neutral,Minna
"Mig selv forekom denne Beslutning i alt Fald temmelig dristig, da jeg baade var nødsaget og vant til at leve meget økonomisk.",0.0,0.0,0.0,1.0,neutral,Minna
"Jeg var strax paa det Rene med, at jeg maatte ud i Sachsisk Schweiz, og den sidste Bid Is var endnu ikke smeltet i Munden paa mig, da jeg havde bestemt mig for det lille Rathen, som havde efterladt et lokkende idyllisk Indtryk hos mig, skjøndt jeg, i Lighed med de fleste Reisende, kun havde seet det i Forbigaaende og tilmed ved Skumringstid, paa Nedveien fra Bastei.",0.0,0.0,0.0,1.0,neutral,Minna
"Et Par Dage senere steg jeg, henimod Middag, ud ved den lille Station og gik mellem Frugttræshaverne ned til Færgen.",0.0,0.0,0.0,1.0,neutral,Minna
"Elben bugter sig her om et frodigt Agerland, der efterhaanden hæver sig i jævne Bakker, mørke af Granskov, hvorover enkelte Klippeblokke rage op, medens det løber fladt ud mod Floden.",-0.5574,0.0,0.114,0.886,negative,Minna
"Her breder Øvre-Rathen sig med velhavende spredte Bøndergaarde, og et løst Væv af Frugttræskroner spænder sig over Kornmarkerne og de grønne Enge.",0.0,0.0,0.0,1.0,neutral,Minna
"Den hinsidige Bred er een stor Bjergbue, med en eneste Gjennembrydning midtveis, den lille Dal, hvor det uanselige Nedre-Rathen er klemt inde, og næsten kun præsenterer sig med de to Gjæstgivergaarde, den nøgne ny og den overgroede gamle, hver paa sin Side af Bækken, som blinkende munder ud i den store forbiglidende Flod.",-0.5574,0.0,0.066,0.934,negative,Minna
"Tilvenstre for denne Dal hæver sig Basteis blaagraa, lodrette Klipper, som nedad skjules af Naaleskov og Bøgeløv, og derefter lyser Rækken af de store Sandstensbrud, de smukkeste i hele Landet; de danne dèr enkeltstaaende gulige Væggeflader, af hvilke nogle ere flere hundrede Fod høie.",0.0,0.0,0.0,1.0,neutral,Minna
"Til den anden Side af Rathen derimod strække de sig som en vedvarende Gjennemskjæring af Bakkedraget, og oppe over dets Skovbølger seiler Lilienstein som et uhyre Pantserskib.",0.0,0.0,0.0,1.0,neutral,Minna
"-- Færgeprammen gik paa skraa, ligesom en Hund, over Strømmen, der selv drev den frem; thi den var tøiret til en Tønde, der vippede et halvthundred Fod længer fremme, og Færgemanden havde ikke Andet at gjøre, end et Par Gange at stramme Kjæden , der løb gjennem en Tridse oppe i den lille Mast.",0.0,0.0,0.0,1.0,neutral,Minna
"Ikke desto mindre tørrede han bestandig med sit Skjorteærme Svedperlerne af Ansigtet, der var saa solbrændt, at han kom vor Forestilling om en Rødhud betydelig nærmere, end de Sioux-Indianere gjorde, som jeg den foregaaende Aften havde set producere sig i den zoologiske Have.",0.0,0.0,0.0,1.0,neutral,Minna
"Men her, midt i hans Rige, kunde man ikke undre sig derover; det blinkende Vand rundt om syntes mindre at sprede Kjølighed end Solvarme, og hele Flodbreddens Bue med sine mange nøgne Klippeflader aabnede sig mod Syd som et Hulspeil, hvis Brændpunkt laa foran Rathen.",0.0,0.0,0.0,1.0,neutral,Minna
"Jeg blev enig med mig selv og Færgemanden om, at det ikke var noget kjøligt Opholdssted, jeg havde udset mig.",0.0,0.0,0.0,1.0,neutral,Minna
"Men der var jo ikke langt ind til de svale »Grunde«; -- og desuden, naar jeg en Gang har sat mig Noget i Hovedet, kommer jeg ikke saa let derfra igjen.",0.0,0.0,0.0,1.0,neutral,Minna
"Kan hænde, at ogsaa Skjæbnen havde sin Finger med i Spillet denne Gang.",-0.5574,0.0,0.247,0.753,negative,Minna
"Sagen viste sig at være vigtig nok til, at den kunde have gjort sig den Uleilighed.",0.0,0.0,0.0,1.0,neutral,Minna
"Forresten var det da ikke Hedens Skyld, hvis jeg siden fortrød, at jeg ikke lod mig afskrække.",0.0,0.0,0.0,1.0,neutral,Minna
Og har jeg da nogensinde fortrudt det?,0.0,0.0,0.0,1.0,neutral,Minna
endnu den Dag idag -- det er nu fem Aar siden -- er jeg ikke i Stand til at besvare dette Spørgsmaal.,0.0,0.0,0.0,1.0,neutral,Minna
"En eller anden Digter -- det er vist forresten nok en meget berømt en, -- skal have sagt, at der er Intet saa sørgeligt som i tunge Tider at mindes lykkelige Dage.",0.0,0.0,0.0,1.0,neutral,Minna
"Jeg tør naturligvis ikke sætte mine Ord mod hans, især da de ere gjentagne saa tidt, at de næsten ere Alverdens; men ellers vilde jeg mene, at det i saadanne Tider var endnu sørgeligere, naar man slet ingen lykkelige Øieblikke havde at se tilbage paa.",0.0,0.0,0.0,1.0,neutral,Minna
