sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Man Who Was Thursday: A Nightmare This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.063,0.1,0.837,negative,The Man Who Was Thursday: A Nightmare
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Man Who Was Thursday: A Nightmare
"Title : The Man Who Was Thursday: A Nightmare Author : G. K. Chesterton Release date : April 1, 1999 [eBook #1695] Most recently updated: February 5, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1695 Credits : Harry Plantinga and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE MAN WHO WAS THURSDAY: A NIGHTMARE *** The Man Who Was Thursday A Nightmare by G. K. Chesterton Contents A WILD, MAD, HILARIOUS AND PROFOUNDLY MOVING TALE THE MAN WHO WAS THURSDAY CHAPTER I.",0.25,0.072,0.047,0.881,positive,The Man Who Was Thursday: A Nightmare
THE TWO POETS OF SAFFRON PARK CHAPTER II.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
THE SECRET OF GABRIEL SYME CHAPTER III.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
THE MAN WHO WAS THURSDAY CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
THE TALE OF A DETECTIVE CHAPTER V. THE FEAST OF FEAR CHAPTER VI.,-0.4939,0.0,0.225,0.775,negative,The Man Who Was Thursday: A Nightmare
THE EXPOSURE CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
THE UNACCOUNTABLE CONDUCT OF PROFESSOR DE WORMS CHAPTER VIII.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
THE PROFESSOR EXPLAINS CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
THE MAN IN SPECTACLES CHAPTER X.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
THE DUEL CHAPTER XI.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
THE CRIMINALS CHASE THE POLICE CHAPTER XII.,-0.5719,0.0,0.381,0.619,negative,The Man Who Was Thursday: A Nightmare
THE EARTH IN ANARCHY CHAPTER XIII.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
THE PURSUIT OF THE PRESIDENT CHAPTER XIV.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
THE SIX PHILOSOPHERS CHAPTER XV.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"THE ACCUSER A WILD, MAD, HILARIOUS AND PROFOUNDLY MOVING TALE It is very difficult to classify THE MAN WHO WAS THURSDAY.",-0.5095,0.126,0.248,0.626,negative,The Man Who Was Thursday: A Nightmare
It is possible to say that it is a gripping adventure story of murderous criminals and brilliant policemen; but it was to be expected that the author of the Father Brown stories should tell a detective story like no-one else.,0.3291,0.161,0.109,0.729,positive,The Man Who Was Thursday: A Nightmare
"On this level, therefore, THE MAN WHO WAS THURSDAY succeeds superbly; if nothing else, it is a magnificent tour-de-force of suspense-writing.",0.7964,0.283,0.0,0.717,positive,The Man Who Was Thursday: A Nightmare
"However, the reader will soon discover that it is much more than that.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"Carried along on the boisterous rush of the narrative by Chesterton's wonderful high-spirited style, he will soon see that he is being carried into much deeper waters than he had planned on; and the totally unforeseeable denouement will prove for the modern reader, as it has for thousands of others since 1908 when the book was first published, an inevitable and moving experience, as the investigators finally discover who Sunday is.",0.5719,0.05,0.0,0.95,positive,The Man Who Was Thursday: A Nightmare
"THE MAN WHO WAS THURSDAY A NIGHTMARE To Edmund Clerihew Bentley A cloud was on the mind of men, and wailing went the weather, Yea, a sick cloud upon the soul when we were boys together.",-0.5106,0.0,0.093,0.907,negative,The Man Who Was Thursday: A Nightmare
"Science announced nonentity and art admired decay; The world was old and ended: but you and I were gay; Round us in antic order their crippled vices came-- Lust that had lost its laughter, fear that had lost its shame.",-0.8674,0.118,0.296,0.586,negative,The Man Who Was Thursday: A Nightmare
"Like the white lock of Whistler, that lit our aimless gloom, Men showed their own white feather as proudly as a plume.",0.3612,0.22,0.13,0.65,positive,The Man Who Was Thursday: A Nightmare
"Life was a fly that faded, and death a drone that stung; The world was very old indeed when you and I were young.",-0.5994,0.0,0.163,0.837,negative,The Man Who Was Thursday: A Nightmare
They twisted even decent sin to shapes not to be named: Men were ashamed of honour; but we were not ashamed.,-0.7311,0.084,0.305,0.61,negative,The Man Who Was Thursday: A Nightmare
"Weak if we were and foolish, not thus we failed, not thus; When that black Baal blocked the heavens he had no hymns from us Children we were--our forts of sand were even as weak as we, High as they went we piled them up to break that bitter sea.",-0.8224,0.087,0.24,0.673,negative,The Man Who Was Thursday: A Nightmare
"Fools as we were in motley, all jangling and absurd, When all church bells were silent our cap and bells were heard.",-0.4939,0.0,0.132,0.868,negative,The Man Who Was Thursday: A Nightmare
"Not all unhelped we held the fort, our tiny flags unfurled; Some giants laboured in that cloud to lift it from the world.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"I find again the book we found, I feel the hour that flings Far out of fish-shaped Paumanok some cry of cleaner things; And the Green Carnation withered, as in forest fires that pass, Roared in the wind of all the world ten million leaves of grass; Or sane and sweet and sudden as a bird sings in the rain-- Truth out of Tusitala spoke and pleasure out of pain.",0.5106,0.137,0.082,0.781,positive,The Man Who Was Thursday: A Nightmare
"Yea, cool and clear and sudden as a bird sings in the grey, Dunedin to Samoa spoke, and darkness unto day.",0.4767,0.253,0.083,0.664,positive,The Man Who Was Thursday: A Nightmare
But we were young; we lived to see God break their bitter charms.,0.4215,0.322,0.183,0.495,positive,The Man Who Was Thursday: A Nightmare
"God and the good Republic come riding back in arms: We have seen the City of Mansoul, even as it rocked, relieved-- Blessed are they who did not see, but being blind, believed.",0.1027,0.155,0.092,0.753,positive,The Man Who Was Thursday: A Nightmare
"This is a tale of those old fears, even of those emptied hells, And none but you shall understand the true thing that it tells-- Of what colossal gods of shame could cow men and yet crash, Of what huge devils hid the stars, yet fell at a pistol flash.",-0.8735,0.104,0.274,0.623,negative,The Man Who Was Thursday: A Nightmare
"The doubts that were so plain to chase, so dreadful to withstand-- Oh, who shall understand but you; yea, who shall understand?",-0.4535,0.0,0.166,0.834,negative,The Man Who Was Thursday: A Nightmare
"The doubts that drove us through the night as we two talked amain, And day had broken on the streets e'er it broke upon the brain.",-0.7964,0.0,0.26,0.74,negative,The Man Who Was Thursday: A Nightmare
"Between us, by the peace of God, such truth can now be told; Yea, there is strength in striking root and good in growing old.",0.9287,0.452,0.0,0.548,positive,The Man Who Was Thursday: A Nightmare
"We have found common things at last and marriage and a creed, And I may safely write it now, and you may safely read.",0.7506,0.242,0.0,0.758,positive,The Man Who Was Thursday: A Nightmare
G. K. C. CHAPTER I.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"THE TWO POETS OF SAFFRON PARK The suburb of Saffron Park lay on the sunset side of London, as red and ragged as a cloud of sunset.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"It was built of a bright brick throughout; its sky-line was fantastic, and even its ground plan was wild.",0.7579,0.289,0.0,0.711,positive,The Man Who Was Thursday: A Nightmare
"It had been the outburst of a speculative builder, faintly tinged with art, who called its architecture sometimes Elizabethan and sometimes Queen Anne, apparently under the impression that the two sovereigns were identical.",0.3182,0.099,0.0,0.901,positive,The Man Who Was Thursday: A Nightmare
"It was described with some justice as an artistic colony, though it never in any definable way produced any art.",0.5267,0.152,0.0,0.848,positive,The Man Who Was Thursday: A Nightmare
"But although its pretensions to be an intellectual centre were a little vague, its pretensions to be a pleasant place were quite indisputable.",0.867,0.317,0.041,0.641,positive,The Man Who Was Thursday: A Nightmare
The stranger who looked for the first time at the quaint red houses could only think how very oddly shaped the people must be who could fit in to them.,0.3612,0.079,0.0,0.921,positive,The Man Who Was Thursday: A Nightmare
Nor when he met the people was he disappointed in this respect.,0.0,0.191,0.191,0.617,neutral,The Man Who Was Thursday: A Nightmare
"The place was not only pleasant, but perfect, if once he could regard it not as a deception but rather as a dream.",0.8692,0.361,0.063,0.576,positive,The Man Who Was Thursday: A Nightmare
"Even if the people were not ""artists,"" the whole was nevertheless artistic.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"That young man with the long, auburn hair and the impudent face--that young man was not really a poet; but surely he was a poem.",0.6423,0.162,0.0,0.838,positive,The Man Who Was Thursday: A Nightmare
"That old gentleman with the wild, white beard and the wild, white hat--that venerable humbug was not really a philosopher; but at least he was the cause of philosophy in others.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"That scientific gentleman with the bald, egg-like head and the bare, bird-like neck had no real right to the airs of science that he assumed.",-0.296,0.0,0.084,0.916,negative,The Man Who Was Thursday: A Nightmare
He had not discovered anything new in biology; but what biological creature could he have discovered more singular than himself?,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"Thus, and thus only, the whole place had properly to be regarded; it had to be considered not so much as a workshop for artists, but as a frail but finished work of art.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
A man who stepped into its social atmosphere felt as if he had stepped into a written comedy.,0.3612,0.143,0.0,0.857,positive,The Man Who Was Thursday: A Nightmare
"More especially this attractive unreality fell upon it about nightfall, when the extravagant roofs were dark against the afterglow and the whole insane village seemed as separate as a drifting cloud.",0.3297,0.117,0.078,0.806,positive,The Man Who Was Thursday: A Nightmare
"This again was more strongly true of the many nights of local festivity, when the little gardens were often illuminated, and the big Chinese lanterns glowed in the dwarfish trees like some fierce and monstrous fruit.",0.8799,0.259,0.0,0.741,positive,The Man Who Was Thursday: A Nightmare
"And this was strongest of all on one particular evening, still vaguely remembered in the locality, of which the auburn-haired poet was the hero.",0.7579,0.228,0.0,0.772,positive,The Man Who Was Thursday: A Nightmare
It was not by any means the only evening of which he was the hero.,0.5574,0.205,0.0,0.795,positive,The Man Who Was Thursday: A Nightmare
"On many nights those passing by his little back garden might hear his high, didactic voice laying down the law to men and particularly to women.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
The attitude of women in such cases was indeed one of the paradoxes of the place.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"Most of the women were of the kind vaguely called emancipated, and professed some protest against male supremacy.",0.3818,0.213,0.093,0.694,positive,The Man Who Was Thursday: A Nightmare
"Yet these new women would always pay to a man the extravagant compliment which no ordinary woman ever pays to him, that of listening while he is talking.",0.128,0.101,0.117,0.782,positive,The Man Who Was Thursday: A Nightmare
"And Mr. Lucian Gregory, the red-haired poet, was really (in some sense) a man worth listening to, even if one only laughed at the end of it.",0.5994,0.17,0.0,0.83,positive,The Man Who Was Thursday: A Nightmare
He put the old cant of the lawlessness of art and the art of lawlessness with a certain impudent freshness which gave at least a momentary pleasure.,0.7003,0.201,0.0,0.799,positive,The Man Who Was Thursday: A Nightmare
"He was helped in some degree by the arresting oddity of his appearance, which he worked, as the phrase goes, for all it was worth.",0.2263,0.073,0.0,0.927,positive,The Man Who Was Thursday: A Nightmare
"His dark red hair parted in the middle was literally like a woman's, and curved into the slow curls of a virgin in a pre-Raphaelite picture.",0.3612,0.102,0.0,0.898,positive,The Man Who Was Thursday: A Nightmare
"From within this almost saintly oval, however, his face projected suddenly broad and brutal, the chin carried forward with a look of cockney contempt.",-0.836,0.0,0.273,0.727,negative,The Man Who Was Thursday: A Nightmare
This combination at once tickled and terrified the nerves of a neurotic population.,-0.7783,0.0,0.464,0.536,negative,The Man Who Was Thursday: A Nightmare
"He seemed like a walking blasphemy, a blend of the angel and the ape.",0.3612,0.185,0.0,0.815,positive,The Man Who Was Thursday: A Nightmare
"This particular evening, if it is remembered for nothing else, will be remembered in that place for its strange sunset.",-0.2023,0.0,0.087,0.913,negative,The Man Who Was Thursday: A Nightmare
It looked like the end of the world.,0.3612,0.263,0.0,0.737,positive,The Man Who Was Thursday: A Nightmare
"All the heaven seemed covered with a quite vivid and palpable plumage; you could only say that the sky was full of feathers, and of feathers that almost brushed the face.",0.5106,0.102,0.0,0.898,positive,The Man Who Was Thursday: A Nightmare
"Across the great part of the dome they were grey, with the strangest tints of violet and mauve and an unnatural pink or pale green; but towards the west the whole grew past description, transparent and passionate, and the last red-hot plumes of it covered up the sun like something too good to be seen.",0.9366,0.235,0.0,0.765,positive,The Man Who Was Thursday: A Nightmare
"The whole was so close about the earth, as to express nothing but a violent secrecy.",0.6392,0.232,0.0,0.768,positive,The Man Who Was Thursday: A Nightmare
The very empyrean seemed to be a secret.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
It expressed that splendid smallness which is the soul of local patriotism.,0.5859,0.257,0.0,0.743,positive,The Man Who Was Thursday: A Nightmare
The very sky seemed small.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
I say that there are some inhabitants who may remember the evening if only by that oppressive sky.,-0.4019,0.0,0.144,0.856,negative,The Man Who Was Thursday: A Nightmare
There are others who may remember it because it marked the first appearance in the place of the second poet of Saffron Park.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
For a long time the red-haired revolutionary had reigned without a rival; it was upon the night of the sunset that his solitude suddenly ended.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"The new poet, who introduced himself by the name of Gabriel Syme was a very mild-looking mortal, with a fair, pointed beard and faint, yellow hair.",0.3182,0.091,0.0,0.909,positive,The Man Who Was Thursday: A Nightmare
But an impression grew that he was less meek than he looked.,0.3291,0.176,0.0,0.824,positive,The Man Who Was Thursday: A Nightmare
"He signalised his entrance by differing with the established poet, Gregory, upon the whole nature of poetry.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"He said that he (Syme) was poet of law, a poet of order; nay, he said he was a poet of respectability.",0.5267,0.152,0.0,0.848,positive,The Man Who Was Thursday: A Nightmare
So all the Saffron Parkers looked at him as if he had that moment fallen out of that impossible sky.,-0.3612,0.0,0.116,0.884,negative,The Man Who Was Thursday: A Nightmare
"In fact, Mr. Lucian Gregory, the anarchic poet, connected the two events.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"""It may well be,"" he said, in his sudden lyrical manner, ""it may well be on such a night of clouds and cruel colours that there is brought forth upon the earth such a portent as a respectable poet.",0.3182,0.166,0.089,0.746,positive,The Man Who Was Thursday: A Nightmare
You say you are a poet of law; I say you are a contradiction in terms.,-0.25,0.0,0.143,0.857,negative,The Man Who Was Thursday: A Nightmare
"I only wonder there were not comets and earthquakes on the night you appeared in this garden.""",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"The man with the meek blue eyes and the pale, pointed beard endured these thunders with a certain submissive solemnity.",-0.3182,0.093,0.196,0.711,negative,The Man Who Was Thursday: A Nightmare
"The third party of the group, Gregory's sister Rosamond, who had her brother's braids of red hair, but a kindlier face underneath them, laughed with such mixture of admiration and disapproval as she gave commonly to the family oracle.",0.891,0.232,0.0,0.768,positive,The Man Who Was Thursday: A Nightmare
Gregory resumed in high oratorical good humour.,0.7184,0.545,0.0,0.455,positive,The Man Who Was Thursday: A Nightmare
"""An artist is identical with an anarchist,"" he cried.",-0.3818,0.0,0.245,0.755,negative,The Man Who Was Thursday: A Nightmare
"""You might transpose the words anywhere.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
An anarchist is an artist.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"The man who throws a bomb is an artist, because he prefers a great moment to everything.",0.2263,0.202,0.158,0.64,positive,The Man Who Was Thursday: A Nightmare
"He sees how much more valuable is one burst of blazing light, one peal of perfect thunder, than the mere common bodies of a few shapeless policemen.",0.796,0.228,0.0,0.772,positive,The Man Who Was Thursday: A Nightmare
"An artist disregards all governments, abolishes all conventions.",-0.34,0.0,0.255,0.745,negative,The Man Who Was Thursday: A Nightmare
The poet delights in disorder only.,0.0772,0.309,0.278,0.412,positive,The Man Who Was Thursday: A Nightmare
"If it were not so, the most poetical thing in the world would be the Underground Railway.""",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"""So it is,"" said Mr. Syme.",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"""Nonsense!""",0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
"said Gregory, who was very rational when anyone else attempted paradox.",-0.1027,0.0,0.123,0.877,negative,The Man Who Was Thursday: A Nightmare
"""Why do all the clerks and navvies in the railway trains look so sad and tired, so very sad and tired?",-0.9361,0.0,0.457,0.543,negative,The Man Who Was Thursday: A Nightmare
I will tell you.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
It is because they know that the train is going right.,0.0,0.0,0.0,1.0,neutral,The Man Who Was Thursday: A Nightmare
It is because they know that whatever place they have taken a ticket for that place they will reach.,0.0258,0.061,0.0,0.939,neutral,The Man Who Was Thursday: A Nightmare
