sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The House of Mirth This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,0.4588,0.143,0.098,0.759,positive,The House of Mirth
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The House of Mirth
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The House of Mirth
"Title : The House of Mirth Author : Edith Wharton Release date : June 1, 1995 [eBook #284] Most recently updated: February 2, 2023 Language : English Other information and formats : www.gutenberg.org/ebooks/284 *** START OF THE PROJECT GUTENBERG EBOOK THE HOUSE OF MIRTH *** Chapter 1 Selden paused in surprise.",0.876,0.193,0.0,0.807,positive,The House of Mirth
In the afternoon rush of the Grand Central Station his eyes had been refreshed by the sight of Miss Lily Bart.,0.34,0.127,0.068,0.805,positive,The House of Mirth
"It was a Monday in early September, and he was returning to his work from a hurried dip into the country; but what was Miss Bart doing in town at that season?",-0.2263,0.0,0.061,0.939,negative,The House of Mirth
"If she had appeared to be catching a train, he might have inferred that he had come on her in the act of transition between one and another of the country houses which disputed her presence after the close of the Newport season; but her desultory air perplexed him.",-0.5647,0.0,0.092,0.908,negative,The House of Mirth
"She stood apart from the crowd, letting it drift by her to the platform or the street, and wearing an air of irresolution which might, as he surmised, be the mask of a very definite purpose.",0.3384,0.066,0.0,0.934,positive,The House of Mirth
"It struck him at once that she was waiting for some one, but he hardly knew why the idea arrested him.",-0.6858,0.0,0.229,0.771,negative,The House of Mirth
"There was nothing new about Lily Bart, yet he could never see her without a faint movement of interest: it was characteristic of her that she always roused speculation, that her simplest acts seemed the result of far-reaching intentions.",0.4588,0.075,0.0,0.925,positive,The House of Mirth
"An impulse of curiosity made him turn out of his direct line to the door, and stroll past her.",0.0,0.0,0.0,1.0,neutral,The House of Mirth
He knew that if she did not wish to be seen she would contrive to elude him; and it amused him to think of putting her skill to the test.,0.1386,0.085,0.068,0.847,positive,The House of Mirth
"""Mr. Selden--what good luck!""",0.4926,0.516,0.0,0.484,positive,The House of Mirth
"She came forward smiling, eager almost, in her resolve to intercept him.",0.7806,0.465,0.0,0.535,positive,The House of Mirth
"One or two persons, in brushing past them, lingered to look; for Miss Bart was a figure to arrest even the suburban traveller rushing to his last train.",-0.4588,0.0,0.138,0.862,negative,The House of Mirth
Selden had never seen her more radiant.,0.5256,0.361,0.0,0.639,positive,The House of Mirth
"Her vivid head, relieved against the dull tints of the crowd, made her more conspicuous than in a ball-room, and under her dark hat and veil she regained the girlish smoothness, the purity of tint, that she was beginning to lose after eleven years of late hours and indefatigable dancing.",-0.4215,0.048,0.1,0.852,negative,The House of Mirth
"Was it really eleven years, Selden found himself wondering, and had she indeed reached the nine-and-twentieth birthday with which her rivals credited her?",0.4404,0.157,0.0,0.843,positive,The House of Mirth
"""What luck!""",0.0,0.0,0.0,1.0,neutral,The House of Mirth
she repeated.,0.0,0.0,0.0,1.0,neutral,The House of Mirth
"""How nice of you to come to my rescue!""",0.4753,0.279,0.0,0.721,positive,The House of Mirth
"He responded joyfully that to do so was his mission in life, and asked what form the rescue was to take.",0.7783,0.264,0.0,0.736,positive,The House of Mirth
"""Oh, almost any--even to sitting on a bench and talking to me.",0.0,0.0,0.0,1.0,neutral,The House of Mirth
One sits out a cotillion--why not sit out a train?,0.0,0.0,0.0,1.0,neutral,The House of Mirth
