sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Moonstone This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.07,0.109,0.821,negative,The Moonstone
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Moonstone
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Moonstone
"Title : The Moonstone Author : Wilkie Collins Release date : January 12, 2006 [eBook #155] Most recently updated: January 10, 2026 Language : English Other information and formats : www.gutenberg.org/ebooks/155 Credits : John Hamm and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE MOONSTONE *** THE MOONSTONE A Romance by Wilkie Collins Contents PROLOGUE THE STORY FIRST PERIOD CHAPTER I CHAPTER II CHAPTER III CHAPTER IV CHAPTER V CHAPTER VI CHAPTER VII CHAPTER VIII CHAPTER IX CHAPTER X CHAPTER XI CHAPTER XII CHAPTER XIII CHAPTER XIV CHAPTER XV CHAPTER XVI CHAPTER XVII CHAPTER XVIII CHAPTER XIX CHAPTER XX CHAPTER XXI CHAPTER XXII CHAPTER XXIII SECOND PERIOD FIRST NARRATIVE CHAPTER I CHAPTER II CHAPTER III CHAPTER IV CHAPTER V CHAPTER VI CHAPTER VII CHAPTER VIII SECOND NARRATIVE CHAPTER I CHAPTER II CHAPTER III THIRD NARRATIVE CHAPTER I CHAPTER II CHAPTER III CHAPTER IV CHAPTER V CHAPTER VI CHAPTER VII CHAPTER VIII CHAPTER IX CHAPTER X FOURTH NARRATIVE FIFTH NARRATIVE SIXTH NARRATIVE I II III IV V SEVENTH NARRATIVE EIGHTH NARRATIVE EPILOGUE I II III PROLOGUE THE STORMING OF SERINGAPATAM (1799): (Extracted from a Family Paper.)",0.7269,0.036,0.0,0.964,positive,The Moonstone
I I address these lines--written in India--to my relatives in England.,0.0,0.0,0.0,1.0,neutral,The Moonstone
"My object is to explain the motive which has induced me to refuse the right hand of friendship to my cousin, John Herncastle.",0.5994,0.216,0.078,0.707,positive,The Moonstone
The reserve which I have hitherto maintained in this matter has been misinterpreted by members of my family whose good opinion I cannot consent to forfeit.,0.0152,0.144,0.142,0.715,neutral,The Moonstone
I request them to suspend their decision until they have read my narrative.,-0.3182,0.0,0.173,0.827,negative,The Moonstone
"And I declare, on my word of honour, that what I am now about to write is, strictly and literally, the truth.",0.7184,0.25,0.0,0.75,positive,The Moonstone
"The private difference between my cousin and me took its rise in a great public event in which we were both concerned--the storming of Seringapatam, under General Baird, on the 4th of May, 1799.",0.6249,0.114,0.0,0.886,positive,The Moonstone
"In order that the circumstances may be clearly understood, I must revert for a moment to the period before the assault, and to the stories current in our camp of the treasure in jewels and gold stored up in the Palace of Seringapatam.",0.4767,0.162,0.078,0.76,positive,The Moonstone
II One of the wildest of these stories related to a Yellow Diamond--a famous gem in the native annals of India.,0.0,0.0,0.0,1.0,neutral,The Moonstone
The earliest known traditions describe the stone as having been set in the forehead of the four-handed Indian god who typifies the Moon.,0.2732,0.087,0.0,0.913,positive,The Moonstone
"Partly from its peculiar colour, partly from a superstition which represented it as feeling the influence of the deity whom it adorned, and growing and lessening in lustre with the waxing and waning of the moon, it first gained the name by which it continues to be known in India to this day--the name of THE MOONSTONE.",0.7128,0.149,0.0,0.851,positive,The Moonstone
"A similar superstition was once prevalent, as I have heard, in ancient Greece and Rome; not applying, however (as in India), to a diamond devoted to the service of a god, but to a semi-transparent stone of the inferior order of gems, supposed to be affected by the lunar influences--the moon, in this latter case also, giving the name by which the stone is still known to collectors in our own time.",0.1901,0.11,0.073,0.817,positive,The Moonstone
The adventures of the Yellow Diamond begin with the eleventh century of the Christian era.,0.5859,0.27,0.0,0.73,positive,The Moonstone
"At that date, the Mohammedan conqueror, Mahmoud of Ghizni, crossed India; seized on the holy city of Somnauth; and stripped of its treasures the famous temple, which had stood for centuries--the shrine of Hindoo pilgrimage, and the wonder of the Eastern world.",0.4215,0.064,0.0,0.936,positive,The Moonstone
"Of all the deities worshipped in the temple, the moon-god alone escaped the rapacity of the conquering Mohammedans.",0.4019,0.171,0.092,0.737,positive,The Moonstone
"Preserved by three Brahmins, the inviolate deity, bearing the Yellow Diamond in its forehead, was removed by night, and was transported to the second of the sacred cities of India--the city of Benares.",0.34,0.07,0.0,0.93,positive,The Moonstone
"Here, in a new shrine--in a hall inlaid with precious stones, under a roof supported by pillars of gold--the moon-god was set up and worshipped.",0.8658,0.338,0.0,0.662,positive,The Moonstone
"Here, on the night when the shrine was completed, Vishnu the Preserver appeared to the three Brahmins in a dream.",0.25,0.1,0.0,0.9,positive,The Moonstone
The deity breathed the breath of his divinity on the Diamond in the forehead of the god.,0.802,0.369,0.0,0.631,positive,The Moonstone
And the Brahmins knelt and hid their faces in their robes.,-0.1027,0.0,0.123,0.877,negative,The Moonstone
"The deity commanded that the Moonstone should be watched, from that time forth, by three priests in turn, night and day, to the end of the generations of men.",0.0,0.0,0.0,1.0,neutral,The Moonstone
"And the Brahmins heard, and bowed before his will.",0.0,0.0,0.0,1.0,neutral,The Moonstone
"The deity predicted certain disaster to the presumptuous mortal who laid hands on the sacred gem, and to all of his house and name who received it after him.",-0.4588,0.063,0.123,0.813,negative,The Moonstone
