sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of A Room with a View This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.068,0.107,0.825,negative,A Room with a View
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,A Room with a View
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,A Room with a View
"Title : A Room with a View Author : E. M. Forster Release date : May 1, 2001 [eBook #2641] Most recently updated: August 11, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/2641 *** START OF THE PROJECT GUTENBERG EBOOK A ROOM WITH A VIEW *** A Room With A View By E. M. Forster CONTENTS Part One.",0.0,0.0,0.0,1.0,neutral,A Room with a View
Chapter I.,0.0,0.0,0.0,1.0,neutral,A Room with a View
The Bertolini Chapter II.,0.0,0.0,0.0,1.0,neutral,A Room with a View
In Santa Croce with No Baedeker Chapter III.,-0.296,0.0,0.239,0.761,negative,A Room with a View
"Music, Violets, and the Letter ""S"" Chapter IV.",0.0,0.0,0.0,1.0,neutral,A Room with a View
Fourth Chapter Chapter V. Possibilities of a Pleasant Outing Chapter VI.,0.5106,0.268,0.0,0.732,positive,A Room with a View
"The Reverend Arthur Beebe, the Reverend Cuthbert Eager, Mr. Emerson, Mr. George Emerson, Miss Eleanor Lavish, Miss Charlotte Bartlett, and Miss Lucy Honeychurch Drive Out in Carriages to See a View; Italians Drive Them Chapter VII.",-0.0772,0.065,0.125,0.809,negative,A Room with a View
They Return Part Two.,0.0,0.0,0.0,1.0,neutral,A Room with a View
Chapter VIII.,0.0,0.0,0.0,1.0,neutral,A Room with a View
Medieval Chapter IX.,0.0,0.0,0.0,1.0,neutral,A Room with a View
Lucy As a Work of Art Chapter X. Cecil as a Humourist Chapter XI.,0.0,0.0,0.0,1.0,neutral,A Room with a View
In Mrs. Vyse's Well-Appointed Flat Chapter XII.,0.0,0.0,0.0,1.0,neutral,A Room with a View
Twelfth Chapter Chapter XIII.,0.0,0.0,0.0,1.0,neutral,A Room with a View
How Miss Bartlett's Boiler Was So Tiresome Chapter XIV.,-0.1531,0.0,0.167,0.833,negative,A Room with a View
How Lucy Faced the External Situation Bravely Chapter XV.,0.5106,0.292,0.0,0.708,positive,A Room with a View
The Disaster Within Chapter XVI.,-0.6249,0.0,0.506,0.494,negative,A Room with a View
Lying to George Chapter XVII.,-0.5267,0.0,0.459,0.541,negative,A Room with a View
Lying to Cecil Chapter XVIII.,-0.5267,0.0,0.459,0.541,negative,A Room with a View
"Lying to Mr. Beebe, Mrs. Honeychurch, Freddy, and The Servants Chapter XIX.",-0.5267,0.0,0.236,0.764,negative,A Room with a View
Lying to Mr. Emerson Chapter XX.,-0.5267,0.0,0.405,0.595,negative,A Room with a View
"The End of the Middle Ages PART ONE Chapter I The Bertolini ""The Signora had no business to do it,"" said Miss Bartlett, ""no business at all.",-0.6124,0.0,0.207,0.793,negative,A Room with a View
"She promised us south rooms with a view close together, instead of which here are north rooms, looking into a courtyard, and a long way apart.",0.3612,0.102,0.0,0.898,positive,A Room with a View
"Oh, Lucy!""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""And a Cockney, besides!""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"said Lucy, who had been further saddened by the Signora's unexpected accent.",-0.5267,0.0,0.236,0.764,negative,A Room with a View
"""It might be London.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"She looked at the two rows of English people who were sitting at the table; at the row of white bottles of water and red bottles of wine that ran between the English people; at the portraits of the late Queen and the late Poet Laureate that hung behind the English people, heavily framed; at the notice of the English church (Rev.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"Cuthbert Eager, M. A.",0.3612,0.455,0.0,0.545,positive,A Room with a View
Oxon.,0.0,0.0,0.0,1.0,neutral,A Room with a View
"), that was the only other decoration of the wall.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""Charlotte, don't you feel, too, that we might be in London?",0.0,0.0,0.0,1.0,neutral,A Room with a View
I can hardly believe that all kinds of other things are just outside.,0.0,0.0,0.0,1.0,neutral,A Room with a View
"I suppose it is one's being so tired.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""This meat has surely been used for soup,"" said Miss Bartlett, laying down her fork.",0.3182,0.166,0.091,0.743,positive,A Room with a View
"""I want so to see the Arno.",0.0772,0.178,0.0,0.822,positive,A Room with a View
The rooms the Signora promised us in her letter would have looked over the Arno.,0.3612,0.152,0.0,0.848,positive,A Room with a View
The Signora had no business to do it at all.,-0.296,0.0,0.196,0.804,negative,A Room with a View
"Oh, it is a shame!""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""Any nook does for me,"" Miss Bartlett continued; ""but it does seem hard that you shouldn't have a view.""",-0.2263,0.0,0.153,0.847,negative,A Room with a View
Lucy felt that she had been selfish.,-0.4767,0.0,0.341,0.659,negative,A Room with a View
"""Charlotte, you mustn't spoil me: of course, you must look over the Arno, too.",0.0,0.0,0.0,1.0,neutral,A Room with a View
I meant that.,0.0,0.0,0.0,1.0,neutral,A Room with a View
"The first vacant room in the front--"" ""You must have it,"" said Miss Bartlett, part of whose travelling expenses were paid by Lucy's mother--a piece of generosity to which she made many a tactful allusion.",0.4019,0.089,0.043,0.867,positive,A Room with a View
"""No, no.",-0.296,0.0,0.688,0.312,negative,A Room with a View
"You must have it.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""I insist on it.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"Your mother would never forgive me, Lucy.""",-0.2057,0.0,0.232,0.768,negative,A Room with a View
"""She would never forgive me .""",-0.2057,0.0,0.266,0.734,negative,A Room with a View
"The ladies' voices grew animated, and--if the sad truth be owned--a little peevish.",-0.2023,0.14,0.189,0.671,negative,A Room with a View
"They were tired, and under the guise of unselfishness they wrangled.",-0.4404,0.0,0.225,0.775,negative,A Room with a View
"Some of their neighbours interchanged glances, and one of them--one of the ill-bred people whom one does meet abroad--leant forward over the table and actually intruded into their argument.",-0.3612,0.0,0.082,0.918,negative,A Room with a View
"He said: ""I have a view, I have a view.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
Miss Bartlett was startled.,-0.3182,0.0,0.623,0.377,negative,A Room with a View
"Generally at a pension people looked them over for a day or two before speaking, and often did not find out that they would ""do"" till they had gone.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"She knew that the intruder was ill-bred, even before she glanced at him.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"He was an old man, of heavy build, with a fair, shaven face and large eyes.",0.3182,0.141,0.0,0.859,positive,A Room with a View
"There was something childish in those eyes, though it was not the childishness of senility.",-0.296,0.0,0.136,0.864,negative,A Room with a View
"What exactly it was Miss Bartlett did not stop to consider, for her glance passed on to his clothes.",0.0742,0.092,0.078,0.83,positive,A Room with a View
These did not attract her.,-0.2755,0.0,0.345,0.655,negative,A Room with a View
He was probably trying to become acquainted with them before they got into the swim.,0.0,0.0,0.0,1.0,neutral,A Room with a View
"So she assumed a dazed expression when he spoke to her, and then said: ""A view?",-0.2415,0.0,0.123,0.877,negative,A Room with a View
"Oh, a view!",0.0,0.0,0.0,1.0,neutral,A Room with a View
"How delightful a view is!""",0.6239,0.577,0.0,0.423,positive,A Room with a View
"""This is my son,"" said the old man; ""his name's George.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"He has a view too.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""Ah,"" said Miss Bartlett, repressing Lucy, who was about to speak.",-0.5267,0.0,0.328,0.672,negative,A Room with a View
"""What I mean,"" he continued, ""is that you can have our rooms, and we'll have yours.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"We'll change.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"The better class of tourist was shocked at this, and sympathized with the new-comers.",0.1531,0.169,0.134,0.698,positive,A Room with a View
"Miss Bartlett, in reply, opened her mouth as little as possible, and said ""Thank you very much indeed; that is out of the question.""",0.2263,0.096,0.061,0.843,positive,A Room with a View
"""Why?""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"said the old man, with both fists on the table.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""Because it is quite out of the question, thank you.""",0.3612,0.217,0.0,0.783,positive,A Room with a View
"""You see, we don't like to take--"" began Lucy.",-0.2755,0.0,0.209,0.791,negative,A Room with a View
Her cousin again repressed her.,-0.3182,0.0,0.365,0.635,negative,A Room with a View
"""But why?""",0.0,0.0,0.0,1.0,neutral,A Room with a View
he persisted.,0.0,0.0,0.0,1.0,neutral,A Room with a View
"""Women like looking at a view; men don't.""",0.3612,0.294,0.0,0.706,positive,A Room with a View
"And he thumped with his fists like a naughty child, and turned to his son, saying, ""George, persuade them!""",0.4199,0.141,0.0,0.859,positive,A Room with a View
"""It's so obvious they should have the rooms,"" said the son.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""There's nothing else to say.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"He did not look at the ladies as he spoke, but his voice was perplexed and sorrowful.",-0.8047,0.0,0.326,0.674,negative,A Room with a View
"Lucy, too, was perplexed; but she saw that they were in for what is known as ""quite a scene,"" and she had an odd feeling that whenever these ill-bred tourists spoke the contest widened and deepened till it dealt, not with rooms and views, but with--well, with something quite different, whose existence she had not realized before.",-0.431,0.029,0.078,0.893,negative,A Room with a View
Now the old man attacked Miss Bartlett almost violently: Why should she not change?,-0.7968,0.0,0.424,0.576,negative,A Room with a View
What possible objection had she?,0.0,0.0,0.0,1.0,neutral,A Room with a View
They would clear out in half an hour.,0.3818,0.271,0.0,0.729,positive,A Room with a View
"Miss Bartlett, though skilled in the delicacies of conversation, was powerless in the presence of brutality.",-0.8316,0.0,0.404,0.596,negative,A Room with a View
It was impossible to snub any one so gross.,-0.7777,0.0,0.492,0.508,negative,A Room with a View
Her face reddened with displeasure.,0.0,0.0,0.0,1.0,neutral,A Room with a View
"She looked around as much as to say, ""Are you all like this?""",0.3612,0.172,0.0,0.828,positive,A Room with a View
"And two little old ladies, who were sitting further up the table, with shawls hanging over the backs of the chairs, looked back, clearly indicating ""We are not; we are genteel.""",0.3612,0.082,0.036,0.881,positive,A Room with a View
"""Eat your dinner, dear,"" she said to Lucy, and began to toy again with the meat that she had once censured.",0.0,0.0,0.0,1.0,neutral,A Room with a View
Lucy mumbled that those seemed very odd people opposite.,-0.3804,0.0,0.245,0.755,negative,A Room with a View
"""Eat your dinner, dear.",0.3818,0.464,0.0,0.536,positive,A Room with a View
This pension is a failure.,-0.5106,0.0,0.524,0.476,negative,A Room with a View
"To-morrow we will make a change.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
Hardly had she announced this fell decision when she reversed it.,0.0,0.0,0.0,1.0,neutral,A Room with a View
"The curtains at the end of the room parted, and revealed a clergyman, stout but attractive, who hurried forward to take his place at the table, cheerfully apologizing for his lateness.",0.836,0.254,0.039,0.707,positive,A Room with a View
"Lucy, who had not yet acquired decency, at once rose to her feet, exclaiming: ""Oh, oh!",0.0,0.0,0.0,1.0,neutral,A Room with a View
"Why, it's Mr. Beebe!",0.0,0.0,0.0,1.0,neutral,A Room with a View
"Oh, how perfectly lovely!",0.8516,0.806,0.0,0.194,positive,A Room with a View
"Oh, Charlotte, we must stop now, however bad the rooms are.",-0.6908,0.0,0.388,0.612,negative,A Room with a View
"Oh!""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"Miss Bartlett said, with more restraint: ""How do you do, Mr. Beebe?",-0.1531,0.0,0.127,0.873,negative,A Room with a View
"I expect that you have forgotten us: Miss Bartlett and Miss Honeychurch, who were at Tunbridge Wells when you helped the Vicar of St. Peter's that very cold Easter.""",-0.2732,0.064,0.164,0.772,negative,A Room with a View
"The clergyman, who had the air of one on a holiday, did not remember the ladies quite as clearly as they remembered him.",0.6887,0.221,0.0,0.779,positive,A Room with a View
But he came forward pleasantly enough and accepted the chair into which he was beckoned by Lucy.,0.7783,0.312,0.0,0.688,positive,A Room with a View
"""I am so glad to see you,"" said the girl, who was in a state of spiritual starvation, and would have been glad to see the waiter if her cousin had permitted it.",0.8286,0.205,0.0,0.795,positive,A Room with a View
"""Just fancy how small the world is.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"Summer Street, too, makes it so specially funny.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""Miss Honeychurch lives in the parish of Summer Street,"" said Miss Bartlett, filling up the gap, ""and she happened to tell me in the course of conversation that you have just accepted the living--"" ""Yes, I heard from mother so last week.",-0.0258,0.048,0.074,0.878,neutral,A Room with a View
"She didn't know that I knew you at Tunbridge Wells; but I wrote back at once, and I said: 'Mr.",0.128,0.086,0.0,0.914,positive,A Room with a View
"Beebe is--'"" ""Quite right,"" said the clergyman.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""I move into the Rectory at Summer Street next June.",0.0,0.0,0.0,1.0,neutral,A Room with a View
"I am lucky to be appointed to such a charming neighbourhood.""",0.765,0.485,0.0,0.515,positive,A Room with a View
"""Oh, how glad I am!",0.5093,0.523,0.0,0.477,positive,A Room with a View
"The name of our house is Windy Corner.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
Mr. Beebe bowed.,0.0,0.0,0.0,1.0,neutral,A Room with a View
"""There is mother and me generally, and my brother, though it's not often we get him to ch---- The church is rather far off, I mean.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"""Lucy, dearest, let Mr. Beebe eat his dinner.""",0.5574,0.34,0.0,0.66,positive,A Room with a View
"""I am eating it, thank you, and enjoying it.""",0.7096,0.457,0.0,0.543,positive,A Room with a View
"He preferred to talk to Lucy, whose playing he remembered, rather than to Miss Bartlett, who probably remembered his sermons.",0.0516,0.084,0.075,0.841,positive,A Room with a View
"He asked the girl whether she knew Florence well, and was informed at some length that she had never been there before.",0.2732,0.091,0.0,0.909,positive,A Room with a View
"It is delightful to advise a newcomer, and he was first in the field.",0.5859,0.241,0.0,0.759,positive,A Room with a View
"""Don't neglect the country round,"" his advice concluded.",0.357,0.262,0.0,0.738,positive,A Room with a View
"""The first fine afternoon drive up to Fiesole, and round by Settignano, or something of that sort.""",0.2023,0.101,0.0,0.899,positive,A Room with a View
"""No!""",0.0,0.0,0.0,1.0,neutral,A Room with a View
cried a voice from the top of the table.,-0.2023,0.173,0.25,0.577,negative,A Room with a View
"""Mr. Beebe, you are wrong.",-0.4767,0.0,0.437,0.563,negative,A Room with a View
"The first fine afternoon your ladies must go to Prato.""",0.2023,0.167,0.0,0.833,positive,A Room with a View
"""That lady looks so clever,"" whispered Miss Bartlett to her cousin.",-0.2177,0.0,0.157,0.843,negative,A Room with a View
"""We are in luck.""",0.0,0.0,0.0,1.0,neutral,A Room with a View
"And, indeed, a perfect torrent of information burst on them.",0.5719,0.316,0.0,0.684,positive,A Room with a View
"People told them what to see, when to see it, how to stop the electric trams, how to get rid of the beggars, how much to give for a vellum blotter, how much the place would grow upon them.",-0.296,0.0,0.056,0.944,negative,A Room with a View
"The Pension Bertolini had decided, almost enthusiastically, that they would do.",0.5118,0.249,0.0,0.751,positive,A Room with a View
"Whichever way they looked, kind ladies smiled and shouted at them.",0.7845,0.434,0.0,0.566,positive,A Room with a View
"And above all rose the voice of the clever lady, crying: ""Prato!",-0.1007,0.183,0.207,0.61,negative,A Room with a View
They must go to Prato.,0.0,0.0,0.0,1.0,neutral,A Room with a View
That place is too sweetly squalid for words.,0.4767,0.307,0.0,0.693,positive,A Room with a View
"I love it; I revel in shaking off the trammels of respectability, as you know.""",0.7845,0.394,0.088,0.518,positive,A Room with a View
"The young man named George glanced at the clever lady, and then returned moodily to his plate.",0.1779,0.148,0.113,0.739,positive,A Room with a View
Obviously he and his father did not do.,0.0,0.0,0.0,1.0,neutral,A Room with a View
"Lucy, in the midst of her success, found time to wish they did.",0.7506,0.368,0.0,0.632,positive,A Room with a View
"It gave her no extra pleasure that any one should be left in the cold; and when she rose to go, she turned back and gave the two outsiders a nervous little bow.",0.1027,0.1,0.116,0.784,positive,A Room with a View
