sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The marvellous land of Snergs This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,The marvellous land of Snergs
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The marvellous land of Snergs
"Title : The marvellous land of Snergs Author : E. A. Wyke-Smith Illustrator : George Morrow Release date : March 5, 2026 [eBook #78120] Language : English Original publication : London: Ernest Benn Limited, 1927 Other information and formats : www.gutenberg.org/ebooks/78120 Credits : Hendrik Kaiber and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by The Internet Archive) *** START OF THE PROJECT GUTENBERG EBOOK THE MARVELLOUS LAND OF SNERGS *** The Marvellous Land of Snergs by E. A. Wyke Smith Author of ""Some Pirates and Marmaduke"" ""The Last of the Baron,"" etc.",0.6908,0.077,0.019,0.904,positive,The marvellous land of Snergs
illustrated by George Morrow London Ernest Benn Limited Bouverie House Fleet Street 1927 Printed in Great Britain To My Daughter Nina A List of the Chapters Part I Page 1.,0.4939,0.128,0.059,0.812,positive,The marvellous land of Snergs
A Place apart 1 2.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Miss Watkyns 2 3.,-0.1531,0.0,0.444,0.556,negative,The marvellous land of Snergs
Ways and Means 4 4.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Snergs 7 5.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Sylvia 11 6.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Joe 13 7.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Vanderdecken and his Men 14 8.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
How the Adventure started 19 9.,0.3182,0.315,0.0,0.685,positive,The marvellous land of Snergs
How it really began 21 10.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Turret Chamber 23 11.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
How Joe bore Captivity 24 12.,-0.25,0.0,0.286,0.714,negative,The marvellous land of Snergs
The Forest Land 29 13.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Dawn 33 14.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Gorbo the Snerg 35 15.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Town 38 16.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Royal House 40 17.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The King of the Snergs 41 18.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Feast 45 19.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
A Morning Walk 47 20.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Twisted Trees 50 Part II 21.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Trouble at Watkyns Bay 57 22.,-0.4019,0.0,0.351,0.649,negative,The marvellous land of Snergs
Beyond the Door 60 23.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Mushroom Cavern 63 24.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The other side of the River 71 25.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Golithos the Ogre 73 26.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Dinner with Golithos 76 27.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Golithos explains 80 28.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Upstairs Room 82 29.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Gorbo's Doubts 84 30.,-0.296,0.0,0.423,0.577,negative,The marvellous land of Snergs
Golithos is tempted 86 31.,-0.3818,0.0,0.394,0.606,negative,The marvellous land of Snergs
Beyond the Tower 89 32.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Knight Errant 90 33.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Sir Percival's Job 95 34.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Mysterious Castle 96 35.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Sir Percival's Annoyance 99 36.,-0.3182,0.0,0.365,0.635,negative,The marvellous land of Snergs
The Castle Kitchen 100 37.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Breakfast 101 38.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
A Terrible Moment 103 39.,-0.4767,0.0,0.508,0.492,negative,The marvellous land of Snergs
More Trouble 104 40.,-0.4576,0.0,0.499,0.501,negative,The marvellous land of Snergs
The Sorrows of Baldry 107 41.,-0.3818,0.0,0.342,0.658,negative,The marvellous land of Snergs
The Dark Woods 113 42.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Mother Meldrum's House 115 43.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
More Sorrow for Baldry 119 44.,-0.5709,0.0,0.425,0.575,negative,The marvellous land of Snergs
A Change of Tone 121 45.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Dinner with a Witch 122 46.,-0.3612,0.0,0.385,0.615,negative,The marvellous land of Snergs
The Spare Bedroom 125 47.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
What happened in the Night 127 48.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Green Ride 132 49.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Captives 137 Part III 50.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Doings at Home 139 51.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Ingenuity of Vanderdecken 141 52.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
How they passed over the River 142 53.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Boot and Saddle 144 54.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The First Day's March 145 55.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Mysterious Castle again 146 56.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
How Gorbo gathered Mandrakes 151 57.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Cozening of Gorbo 158 58.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
A Fearful Bargain 162 59.,-0.34,0.257,0.457,0.286,negative,The marvellous land of Snergs
Captives on the Road 165 60.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
King Kul I 167 61.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
A Change of Clothes at last 171 62.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Another Meal with Royalty 173 63.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
A Stinger 174 64.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Morning after 177 65.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
The Invasion 179 66.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
An Historic Meeting 181 67.,0.0,0.0,0.0,1.0,neutral,The marvellous land of Snergs
Necessary Explanations 182 68.,-0.5994,0.0,0.565,0.435,negative,The marvellous land of Snergs
Baldry's Sentence 184 69.,0.0772,0.302,0.0,0.698,positive,The marvellous land of Snergs
