sentence,compound,positive,negative,neutral,label,title
"The Project Gutenberg eBook of Nazi conspiracy and aggression, Volume 04 (of 11) This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.",-0.7351,0.056,0.201,0.743,negative,"Nazi conspiracy and aggression, Volume 04 (of 11)"
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,"Nazi conspiracy and aggression, Volume 04 (of 11)"
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,"Nazi conspiracy and aggression, Volume 04 (of 11)"
"Title : Nazi conspiracy and aggression, Volume 04 (of 11) Author : United States.",-0.4215,0.161,0.322,0.517,negative,"Nazi conspiracy and aggression, Volume 04 (of 11)"
"Office of Chief of Counsel for the Prosecution of Axis Criminality Release date : March 7, 2026 [eBook #78130] Language : English Original publication : Washington D.C: United States Government Printing Office, 1946 Other information and formats : www.gutenberg.org/ebooks/78130 Credits : Carla Foust, Emmanuel Ackerman and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by The Internet Archive) *** START OF THE PROJECT GUTENBERG EBOOK NAZI CONSPIRACY AND AGGRESSION, VOLUME 04 (OF 11) *** NAZI CONSPIRACY AND AGGRESSION VOLUME IV Office of United States Chief of Counsel For Prosecution of Axis Criminality United States Government Printing Office Washington · 1946 CONTENTS Pages Document number 1409-PS through document number 2373-PS arranged numerically 1-1107 (A descriptive list of documents appears at the end of the last volume.)",-0.7124,0.122,0.135,0.743,negative,"Nazi conspiracy and aggression, Volume 04 (of 11)"
"A collection of Documentary Evidence and Guide Materials Prepared by the American and British Prosecuting Staffs for Presentation before the International Military Tribunal at Nurnberg, Germany, in the case of THE UNITED STATES OF AMERICA, THE FRENCH REPUBLIC, THE UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, and THE UNION OF SOVIET SOCIALIST REPUBLICS --against-- HERMANN WILHELM GOERING, RUDOLF HESS, JOACHIM von RIBBENTROP, ROBERT LEY, WILHELM KEITEL, ERNST KALTENBRUNNER, ALFRED ROSENBERG, HANS FRANK, WILHELM FRICK, JULIUS STREICHER, WALTER FUNK, HJALMAR SCHACHT, GUSTAV KRUPP von BOHLEN and HALBACH, KARL DOENITZ, ERICH RAEDER, BALDUR von SCHIRACH, FRITZ SAUCKEL, ALFRED JODL, MARTIN BORMANN, FRANZ von PAPEN, ARTHUR SEYSS-INQUART, ALBERT SPEER, CONSTANTIN von NEURATH, and HANS FRITZSCHE, Individually and as Members of Any of the Following Groups or Organizations to which They Respectively Belonged, Namely: DIE REICHSREGIERUNG (REICH CABINET); DAS KORPS DER POLITISCHEN LEITER DER NATIONALSOZIALISTISCHEN DEUTSCHEN ARBEITERPARTEI (LEADERSHIP CORPS OF THE NAZI PARTY); DIE SCHUTZSTAFFELN DER NATIONALSOZIALISTISCHEN DEUTSCHEN ARBEITERPARTEI (commonly known as the ""SS"") and including DIE SICHERHEITSDIENST (commonly known as the ""SD""); DIE GEHEIME STAATSPOLIZEI (SECRET STATE POLICE, commonly known as the ""GESTAPO""); DIE STURMABTEILUNGEN DER N.S.D.A.P.",-0.874,0.076,0.109,0.816,negative,"Nazi conspiracy and aggression, Volume 04 (of 11)"
"(commonly known as the ""SA"") and the GENERAL STAFF and HIGH COMMAND of the GERMAN ARMED FORCES are as defined in Appendix B of the Indictment, Defendants.",0.0,0.0,0.0,1.0,neutral,"Nazi conspiracy and aggression, Volume 04 (of 11)"
"TRANSLATION OF DOCUMENT 1409-PS 1938 REICHSGESETZBLATT, PART I, PAGE 1709 Order concerning the Utilization of Jewish Property of 3 December 1938 On the basis of Article 1 of the Second Regulation by the Administrator for the Four Year Plan based on the Decree of November 24, 1938 for the Reporting of Jewish-owned Property (RGBl I, 1668), the following is decreed in cooperation with the competent Reich Ministers: Chapter I Industrial Enterprises Article 1 The owner of a Jewish industrial enterprise (Third Regulation under the Reich Citizenship Law of 14 June 1938, RGBl I 627) may be ordered to sell or liquidate the enterprise within a definite time.",0.5267,0.043,0.0,0.957,positive,"Nazi conspiracy and aggression, Volume 04 (of 11)"
Certain conditions may be stipulated in the order.,0.2732,0.231,0.0,0.769,positive,"Nazi conspiracy and aggression, Volume 04 (of 11)"
Article 2 1.,0.0,0.0,0.0,1.0,neutral,"Nazi conspiracy and aggression, Volume 04 (of 11)"
"A trustee may be appointed for Jewish industrial enterprises, the owners of which have been ordered to sell or liquidate (Article 1), for the temporary continuation of the enterprise and for the completion of the sale or liquidation, especially if the owner of the enterprise has not complied with the order within the definite period and his application for an extension of time has been rejected.",-0.0516,0.059,0.048,0.893,negative,"Nazi conspiracy and aggression, Volume 04 (of 11)"
2.,0.0,0.0,0.0,1.0,neutral,"Nazi conspiracy and aggression, Volume 04 (of 11)"
"The trustee is empowered to undertake all judicial and extrajudicial actions and legal measures, which the business of the enterprise, its liquidation or sale require.",0.3612,0.132,0.0,0.868,positive,"Nazi conspiracy and aggression, Volume 04 (of 11)"
His authority replaces any legally required power of attorney.,0.1779,0.278,0.0,0.722,positive,"Nazi conspiracy and aggression, Volume 04 (of 11)"
3.,0.0,0.0,0.0,1.0,neutral,"Nazi conspiracy and aggression, Volume 04 (of 11)"
