sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Turn of the Screw This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.25,0.064,0.133,0.803,negative,The Turn of the Screw
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Turn of the Screw
"Title : The Turn of the Screw Author : Henry James Release date : February 1, 1995 [eBook #209] Most recently updated: August 24, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/209 Credits : Judith Boss *** START OF THE PROJECT GUTENBERG EBOOK THE TURN OF THE SCREW *** The Turn of the Screw by Henry James Contents THE TURN OF THE SCREW I II III IV V VI VII VIII IX X XI XII XIII XIV XV XVI XVII XVIII XIX XX XXI XXII XXIII XXIV THE TURN OF THE SCREW The story had held us, round the fire, sufficiently breathless, but except the obvious remark that it was gruesome, as, on Christmas Eve in an old house, a strange tale should essentially be, I remember no comment uttered till somebody happened to say that it was the only case he had met in which such a visitation had fallen on a child.",-0.8834,0.012,0.112,0.876,negative,The Turn of the Screw
"The case, I may mention, was that of an apparition in just such an old house as had gathered us for the occasion--an appearance, of a dreadful kind, to a little boy sleeping in the room with his mother and waking her up in the terror of it; waking her not to dissipate his dread and soothe him to sleep again, but to encounter also, herself, before she had succeeded in doing so, the same sight that had shaken him.",0.2617,0.09,0.089,0.821,positive,The Turn of the Screw
"It was this observation that drew from Douglas--not immediately, but later in the evening--a reply that had the interesting consequence to which I call attention.",0.5499,0.134,0.0,0.866,positive,The Turn of the Screw
"Someone else told a story not particularly effective, which I saw he was not following.",-0.4158,0.0,0.188,0.812,negative,The Turn of the Screw
This I took for a sign that he had himself something to produce and that we should only have to wait.,0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
"We waited in fact till two nights later; but that same evening, before we scattered, he brought out what was in his mind.",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
"""I quite agree--in regard to Griffin's ghost, or whatever it was--that its appearing first to the little boy, at so tender an age, adds a particular touch.",-0.3182,0.0,0.084,0.916,negative,The Turn of the Screw
But it's not the first occurrence of its charming kind that I know to have involved a child.,0.8957,0.412,0.0,0.588,positive,The Turn of the Screw
"If the child gives the effect another turn of the screw, what do you say to two children--?""",-0.1027,0.0,0.076,0.924,negative,The Turn of the Screw
"""We say, of course,"" somebody exclaimed, ""that they give two turns!",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
"Also that we want to hear about them.""",0.0772,0.157,0.0,0.843,positive,The Turn of the Screw
"I can see Douglas there before the fire, to which he had got up to present his back, looking down at his interlocutor with his hands in his pockets.",-0.34,0.0,0.082,0.918,negative,The Turn of the Screw
"""Nobody but me, till now, has ever heard.",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
"It's quite too horrible.""",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
"This, naturally, was declared by several voices to give the thing the utmost price, and our friend, with quiet art, prepared his triumph by turning his eyes over the rest of us and going on: ""It's beyond everything.",0.802,0.19,0.0,0.81,positive,The Turn of the Screw
"Nothing at all that I know touches it.""",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
"""For sheer terror?""",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
I remember asking.,0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
He seemed to say it was not so simple as that; to be really at a loss how to qualify it.,-0.3774,0.0,0.119,0.881,negative,The Turn of the Screw
"He passed his hand over his eyes, made a little wincing grimace.",0.3566,0.23,0.124,0.646,positive,The Turn of the Screw
"""For dreadful--dreadfulness!""",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
"""Oh, how delicious!""",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
cried one of the women.,-0.3818,0.0,0.394,0.606,negative,The Turn of the Screw
"He took no notice of her; he looked at me, but as if, instead of me, he saw what he spoke of.",-0.1531,0.0,0.071,0.929,negative,The Turn of the Screw
"""For general uncanny ugliness and horror and pain.""",-0.8126,0.0,0.552,0.448,negative,The Turn of the Screw
"""Well then,"" I said, ""just sit right down and begin.""",0.2732,0.208,0.0,0.792,positive,The Turn of the Screw
"He turned round to the fire, gave a kick to a log, watched it an instant.",-0.34,0.0,0.156,0.844,negative,The Turn of the Screw
"Then as he faced us again: ""I can't begin.",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
"I shall have to send to town.""",0.0,0.0,0.0,1.0,neutral,The Turn of the Screw
