sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Wind in the Willows This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.065,0.102,0.833,negative,The Wind in the Willows
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Wind in the Willows
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Wind in the Willows
"Title : The Wind in the Willows Author : Kenneth Grahame Release date : July 1, 1995 [eBook #289] Most recently updated: November 30, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/289 Credits : Mike Lough and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE WIND IN THE WILLOWS *** The Wind in the Willows by Kenneth Grahame Author Of ""The Golden Age,"" ""Dream Days,"" Etc.",0.5423,0.068,0.0,0.932,positive,The Wind in the Willows
Contents CHAPTER I.,0.0,0.0,0.0,1.0,neutral,The Wind in the Willows
THE RIVER BANK CHAPTER II.,0.0,0.0,0.0,1.0,neutral,The Wind in the Willows
THE OPEN ROAD CHAPTER III.,0.0,0.0,0.0,1.0,neutral,The Wind in the Willows
THE WILD WOOD CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,The Wind in the Willows
MR. BADGER CHAPTER V. DULCE DOMUM CHAPTER VI.,0.0,0.0,0.0,1.0,neutral,The Wind in the Willows
MR. TOAD CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,The Wind in the Willows
THE PIPER AT THE GATES OF DAWN CHAPTER VIII.,0.0,0.0,0.0,1.0,neutral,The Wind in the Willows
TOAD'S ADVENTURES CHAPTER IX.,0.34,0.444,0.0,0.556,positive,The Wind in the Willows
WAYFARERS ALL CHAPTER X.,0.0,0.0,0.0,1.0,neutral,The Wind in the Willows
THE FURTHER ADVENTURES OF TOAD CHAPTER XI.,0.34,0.286,0.0,0.714,positive,The Wind in the Willows
"""LIKE SUMMER TEMPESTS CAME HIS TEARS"" CHAPTER XII.",0.1531,0.24,0.183,0.577,positive,The Wind in the Willows
