sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of The Story of Mankind This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.066,0.104,0.829,negative,The Story of Mankind
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,The Story of Mankind
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,The Story of Mankind
"Title : The Story of Mankind Author : Hendrik Willem Van Loon Release date : December 1, 1996 [eBook #754] Most recently updated: January 29, 2013 Language : English Other information and formats : www.gutenberg.org/ebooks/754 Credits : Produced by Charles Keller, and David Widger *** START OF THE PROJECT GUTENBERG EBOOK THE STORY OF MANKIND *** THE STORY OF MANKIND By Hendrik Van Loon, Ph.D.",0.3612,0.041,0.0,0.959,positive,The Story of Mankind
Professor of the Social Sciences in Antioch College.,0.0,0.0,0.0,1.0,neutral,The Story of Mankind
"Author of The Fall of the Dutch Republic, The Rise of the Dutch Kingdom, The Golden Book of the Dutch Navigators, A Short Story of Discovery, Ancient Man.",0.0,0.0,0.0,1.0,neutral,The Story of Mankind
"To JIMMIE ""What is the use of a book without pictures?""",0.0,0.0,0.0,1.0,neutral,The Story of Mankind
said Alice.,0.0,0.0,0.0,1.0,neutral,The Story of Mankind
"FOREWORD For Hansje and Willem: WHEN I was twelve or thirteen years old, an uncle of mine who gave me my love for books and pictures promised to take me upon a memorable expedition.",0.7717,0.183,0.0,0.817,positive,The Story of Mankind
I was to go with him to the top of the tower of Old Saint Lawrence in Rotterdam.,0.2023,0.101,0.0,0.899,positive,The Story of Mankind
"And so, one fine day, a sexton with a key as large as that of Saint Peter opened a mysterious door.",0.2682,0.109,0.0,0.891,positive,The Story of Mankind
"""Ring the bell,"" he said, ""when you come back and want to get out,"" and with a great grinding of rusty old hinges he separated us from the noise of the busy street and locked us into a world of new and strange experiences.",0.5574,0.117,0.039,0.844,positive,The Story of Mankind
For the first time in my life I was confronted by the phenomenon of audible silence.,-0.2023,0.0,0.114,0.886,negative,The Story of Mankind
"When we had climbed the first flight of stairs, I added another discovery to my limited knowledge of natural phenomena--that of tangible darkness.",-0.1027,0.098,0.154,0.748,negative,The Story of Mankind
A match showed us where the upward road continued.,0.0,0.0,0.0,1.0,neutral,The Story of Mankind
"We went to the next floor and then to the next and the next until I had lost count and then there came still another floor, and suddenly we had plenty of light.",-0.3182,0.0,0.069,0.931,negative,The Story of Mankind
"This floor was on an even height with the roof of the church, and it was used as a storeroom.",0.0,0.0,0.0,1.0,neutral,The Story of Mankind
"Covered with many inches of dust, there lay the abandoned symbols of a venerable faith which had been discarded by the good people of the city many years ago.",0.0772,0.162,0.154,0.684,positive,The Story of Mankind
That which had meant life and death to our ancestors was here reduced to junk and rubbish.,-0.5994,0.0,0.196,0.804,negative,The Story of Mankind
The industrious rat had built his nest among the carved images and the ever watchful spider had opened up shop between the outspread arms of a kindly saint.,0.4939,0.11,0.0,0.89,positive,The Story of Mankind
The next floor showed us from where we had derived our light.,0.0,0.0,0.0,1.0,neutral,The Story of Mankind
Enormous open windows with heavy iron bars made the high and barren room the roosting place of hundreds of pigeons.,0.0,0.0,0.0,1.0,neutral,The Story of Mankind
The wind blew through the iron bars and the air was filled with a weird and pleasing music.,0.4019,0.169,0.085,0.746,positive,The Story of Mankind
"It was the noise of the town below us, but a noise which had been purified and cleansed by the distance.",0.0,0.0,0.0,1.0,neutral,The Story of Mankind
"The rumbling of heavy carts and the clinking of horses' hoofs, the winding of cranes and pulleys, the hissing sound of the patient steam which had been set to do the work of man in a thousand different ways--they had all been blended into a softly rustling whisper which provided a beautiful background for the trembling cooing of the pigeons.",0.34,0.064,0.041,0.896,positive,The Story of Mankind
Here the stairs came to an end and the ladders began.,0.0,0.0,0.0,1.0,neutral,The Story of Mankind
"And after the first ladder (a slippery old thing which made one feel his way with a cautious foot) there was a new and even greater wonder, the town-clock.",0.2732,0.087,0.048,0.865,positive,The Story of Mankind
I saw the heart of time.,0.0,0.0,0.0,1.0,neutral,The Story of Mankind
I could hear the heavy pulsebeats of the rapid seconds--one--two--three--up to sixty.,0.0,0.0,0.0,1.0,neutral,The Story of Mankind
Then a sudden quivering noise when all the wheels seemed to stop and another minute had been chopped off eternity.,-0.296,0.0,0.109,0.891,negative,The Story of Mankind
"Without pause it began again--one--two--three--until at last after a warning rumble and the scraping of many wheels a thunderous voice, high above us, told the world that it was the hour of noon.",-0.34,0.0,0.074,0.926,negative,The Story of Mankind
On the next floor were the bells.,0.0,0.0,0.0,1.0,neutral,The Story of Mankind
The nice little bells and their terrible sisters.,-0.0772,0.235,0.261,0.504,negative,The Story of Mankind
"In the centre the big bell, which made me turn stiff with fright when I heard it in the middle of the night telling a story of fire or flood.",-0.6124,0.0,0.161,0.839,negative,The Story of Mankind
In solitary grandeur it seemed to reflect upon those six hundred years during which it had shared the joys and the sorrows of the good people of Rotterdam.,0.8519,0.317,0.069,0.613,positive,The Story of Mankind
"Around it, neatly arranged like the blue jars in an old-fashioned apothecary shop, hung the little fellows, who twice each week played a merry tune for the benefit of the country-folk who had come to market to buy and sell and hear what the big world had been doing.",0.9153,0.243,0.0,0.757,positive,The Story of Mankind
