sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of Pollyanna This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.071,0.112,0.816,negative,Pollyanna
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,Pollyanna
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,Pollyanna
"Title : Pollyanna Author : Eleanor H. Porter Release date : September 1, 1998 [eBook #1450] Most recently updated: October 29, 2024 Language : English Other information and formats : www.gutenberg.org/ebooks/1450 Credits : Produced by Charles Keller (for Tina), and David Widger *** START OF THE PROJECT GUTENBERG EBOOK POLLYANNA *** POLLYANNA By Eleanor H. Porter Author of ""Miss Billy,"" ""Miss Billy's Decision,"" ""Cross Currents,"" ""The Turn of the Tides,"" etc.",0.0772,0.037,0.047,0.916,positive,Pollyanna
TO My Cousin Belle CONTENTS POLLYANNA CHAPTER I.,0.0,0.0,0.0,1.0,neutral,Pollyanna
MISS POLLY CHAPTER II.,-0.1531,0.0,0.348,0.652,negative,Pollyanna
OLD TOM AND NANCY CHAPTER III.,0.0,0.0,0.0,1.0,neutral,Pollyanna
THE COMING OF POLLYANNA CHAPTER IV.,0.0,0.0,0.0,1.0,neutral,Pollyanna
THE LITTLE ATTIC ROOM CHAPTER V. THE GAME CHAPTER VI.,0.0,0.0,0.0,1.0,neutral,Pollyanna
A QUESTION OF DUTY CHAPTER VII.,0.0,0.0,0.0,1.0,neutral,Pollyanna
POLLYANNA AND PUNISHMENTS CHAPTER VIII.,-0.4215,0.0,0.412,0.588,negative,Pollyanna
POLLYANNA PAYS A VISIT CHAPTER IX.,0.0,0.0,0.0,1.0,neutral,Pollyanna
WHICH TELLS OF THE MAN CHAPTER X.,0.0,0.0,0.0,1.0,neutral,Pollyanna
A SURPRISE FOR MRS.,0.2732,0.512,0.0,0.488,positive,Pollyanna
SNOW CHAPTER XI.,0.0,0.0,0.0,1.0,neutral,Pollyanna
INTRODUCING JIMMY CHAPTER XII.,0.0,0.0,0.0,1.0,neutral,Pollyanna
BEFORE THE LADIES' AID CHAPTER XIII.,0.0,0.0,0.0,1.0,neutral,Pollyanna
IN PENDLETON WOODS CHAPTER XIV.,0.0,0.0,0.0,1.0,neutral,Pollyanna
JUST A MATTER OF JELLY CHAPTER XV.,0.0258,0.18,0.0,0.82,neutral,Pollyanna
DR. CHILTON CHAPTER XVI.,0.0,0.0,0.0,1.0,neutral,Pollyanna
A RED ROSE AND A LACE SHAWL CHAPTER XVII.,0.0,0.0,0.0,1.0,neutral,Pollyanna
"""JUST LIKE A BOOK"" CHAPTER XVIII.",0.3612,0.385,0.0,0.615,positive,Pollyanna
PRISMS CHAPTER XIX.,0.0,0.0,0.0,1.0,neutral,Pollyanna
WHICH IS SOMEWHAT SURPRISING CHAPTER XX.,0.204,0.265,0.0,0.735,positive,Pollyanna
WHICH IS MORE SURPRISING CHAPTER XXI.,0.3384,0.324,0.0,0.676,positive,Pollyanna
A QUESTION ANSWERED CHAPTER XXII.,0.0,0.0,0.0,1.0,neutral,Pollyanna
SERMONS AND WOODBOXES CHAPTER XXIII.,0.0,0.0,0.0,1.0,neutral,Pollyanna
AN ACCIDENT CHAPTER XXIV.,-0.4767,0.0,0.508,0.492,negative,Pollyanna
JOHN PENDLETON CHAPTER XXV.,0.0,0.0,0.0,1.0,neutral,Pollyanna
A WAITING GAME CHAPTER XXVI.,0.0,0.0,0.0,1.0,neutral,Pollyanna
A DOOR AJAR CHAPTER XXVII.,0.0,0.0,0.0,1.0,neutral,Pollyanna
TWO VISITS CHAPTER XXVIII.,0.0,0.0,0.0,1.0,neutral,Pollyanna
THE GAME AND ITS PLAYERS CHAPTER XXIX.,0.0,0.0,0.0,1.0,neutral,Pollyanna
THROUGH AN OPEN WINDOW CHAPTER XXX.,0.0,0.0,0.0,1.0,neutral,Pollyanna
JIMMY TAKES THE HELM CHAPTER XXXI.,0.0,0.0,0.0,1.0,neutral,Pollyanna
A NEW UNCLE CHAPTER XXXII.,0.0,0.0,0.0,1.0,neutral,Pollyanna
WHICH IS A LETTER FROM POLLYANNA POLLYANNA CHAPTER I.,0.0,0.0,0.0,1.0,neutral,Pollyanna
MISS POLLY Miss Polly Harrington entered her kitchen a little hurriedly this June morning.,-0.4466,0.0,0.263,0.737,negative,Pollyanna
Miss Polly did not usually make hurried movements; she specially prided herself on her repose of manner.,-0.1531,0.0,0.091,0.909,negative,Pollyanna
But to-day she was hurrying--actually hurrying.,0.0,0.0,0.0,1.0,neutral,Pollyanna
"Nancy, washing dishes at the sink, looked up in surprise.",0.2732,0.189,0.0,0.811,positive,Pollyanna
"Nancy had been working in Miss Polly's kitchen only two months, but already she knew that her mistress did not usually hurry.",-0.0772,0.0,0.058,0.942,negative,Pollyanna
"""Nancy!""",0.0,0.0,0.0,1.0,neutral,Pollyanna
"""Yes, ma'am.""",0.0,0.0,0.0,1.0,neutral,Pollyanna
"Nancy answered cheerfully, but she still continued wiping the pitcher in her hand.",0.7469,0.366,0.0,0.634,positive,Pollyanna
"""Nancy,""--Miss Polly's voice was very stern now--""when I'm talking to you, I wish you to stop your work and listen to what I have to say.""",0.128,0.1,0.082,0.818,positive,Pollyanna
Nancy flushed miserably.,-0.4767,0.0,0.608,0.392,negative,Pollyanna
"She set the pitcher down at once, with the cloth still about it, thereby nearly tipping it over--which did not add to her composure.",0.0,0.0,0.0,1.0,neutral,Pollyanna
"""Yes, ma'am; I will, ma'am,"" she stammered, righting the pitcher, and turning hastily.",-0.2263,0.0,0.147,0.853,negative,Pollyanna
"""I was only keepin' on with my work 'cause you specially told me this mornin' ter hurry with my dishes, ye know.""",0.0,0.0,0.0,1.0,neutral,Pollyanna
Her mistress frowned.,0.0,0.0,0.0,1.0,neutral,Pollyanna
"""That will do, Nancy.",0.0,0.0,0.0,1.0,neutral,Pollyanna
I did not ask for explanations.,0.0,0.0,0.0,1.0,neutral,Pollyanna
