sentence,compound,positive,negative,neutral,label,title
The Project Gutenberg eBook of O Pioneers!,0.0,0.0,0.0,1.0,neutral,O Pioneers!
This eBook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,-0.1531,0.084,0.133,0.783,negative,O Pioneers!
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",0.4215,0.097,0.0,0.903,positive,O Pioneers!
Title : O Pioneers!,0.0,0.0,0.0,1.0,neutral,O Pioneers!
"Author : Willa Cather Release date : June 27, 2008 [eBook #24] Most recently updated: July 17, 2025 Language : English Other information and formats : www.gutenberg.org/ebooks/24 Credits : Martin Robb and David Widger *** START OF THE PROJECT GUTENBERG EBOOK O PIONEERS!",0.4199,0.072,0.0,0.928,positive,O Pioneers!
*** O PIONEERS!,0.0,0.0,0.0,1.0,neutral,O Pioneers!
"by Willa Sibert Cather ""Those fields, colored by various grain!""",0.0,0.0,0.0,1.0,neutral,O Pioneers!
M ICKIEWICZ Contents PART I.,0.0,0.0,0.0,1.0,neutral,O Pioneers!
The Wild Land I II III IV V PART II.,0.0,0.0,0.0,1.0,neutral,O Pioneers!
Neighboring Fields I II III IV V VI VII VIII IX X XI XII PART III.,0.0,0.0,0.0,1.0,neutral,O Pioneers!
Winter Memories I II PART IV.,0.0,0.0,0.0,1.0,neutral,O Pioneers!
"The White Mulberry Tree I II III IV V VI VII VIII PART V. Alexandra I II III TO THE MEMORY OF SARAH ORNE JEWETT IN WHOSE BEAUTIFUL AND DELICATE WORK THERE IS THE PERFECTION THAT ENDURES PRAIRIE SPRING Evening and the flat land, Rich and sombre and always silent; The miles of fresh-plowed soil, Heavy and black, full of strength and harshness; The growing wheat, the growing weeds, The toiling horses, the tired men; The long empty roads, Sullen fires of sunset, fading, The eternal, unresponsive sky.",0.93,0.205,0.071,0.724,positive,O Pioneers!
"Against all this, Youth, Flaming like the wild roses, Singing like the larks over the plowed fields, Flashing like a star out of the twilight; Youth with its insupportable sweetness, Its fierce necessity, Its sharp desire, Singing and singing, Out of the lips of silence, Out of the earthy dusk.",0.9081,0.233,0.0,0.767,positive,O Pioneers!
PART I.,0.0,0.0,0.0,1.0,neutral,O Pioneers!
"The Wild Land I One January day, thirty years ago, the little town of Hanover, anchored on a windy Nebraska tableland, was trying not to be blown away.",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"A mist of fine snowflakes was curling and eddying about the cluster of low drab buildings huddled on the gray prairie, under a gray sky.",-0.0772,0.072,0.084,0.843,negative,O Pioneers!
"The dwelling-houses were set about haphazard on the tough prairie sod; some of them looked as if they had been moved in overnight, and others as if they were straying off by themselves, headed straight for the open plain.",0.1027,0.047,0.037,0.916,positive,O Pioneers!
"None of them had any appearance of permanence, and the howling wind blew under them as well as over them.",0.2732,0.1,0.0,0.9,positive,O Pioneers!
"The main street was a deeply rutted road, now frozen hard, which ran from the squat red railway station and the grain ""elevator"" at the north end of the town to the lumber yard and the horse pond at the south end.",-0.1027,0.0,0.034,0.966,negative,O Pioneers!
"On either side of this road straggled two uneven rows of wooden buildings; the general merchandise stores, the two banks, the drug store, the feed store, the saloon, the post-office.",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"The board sidewalks were gray with trampled snow, but at two o'clock in the afternoon the shopkeepers, having come back from dinner, were keeping well behind their frosty windows.",0.3919,0.086,0.0,0.914,positive,O Pioneers!
"The children were all in school, and there was nobody abroad in the streets but a few rough-looking countrymen in coarse overcoats, with their long caps pulled down to their noses.",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"Some of them had brought their wives to town, and now and then a red or a plaid shawl flashed out of one store into the shelter of another.",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"At the hitch-bars along the street a few heavy work-horses, harnessed to farm wagons, shivered under their blankets.",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"About the station everything was quiet, for there would not be another train in until night.",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"On the sidewalk in front of one of the stores sat a little Swede boy, crying bitterly.",-0.7037,0.0,0.294,0.706,negative,O Pioneers!
He was about five years old.,0.0,0.0,0.0,1.0,neutral,O Pioneers!
His black cloth coat was much too big for him and made him look like a little old man.,0.3612,0.128,0.0,0.872,positive,O Pioneers!
"His shrunken brown flannel dress had been washed many times and left a long stretch of stocking between the hem of his skirt and the tops of his clumsy, copper-toed shoes.",0.5106,0.102,0.0,0.898,positive,O Pioneers!
His cap was pulled down over his ears; his nose and his chubby cheeks were chapped and red with cold.,0.0,0.0,0.0,1.0,neutral,O Pioneers!
"He cried quietly, and the few people who hurried by did not notice him.",-0.3818,0.0,0.167,0.833,negative,O Pioneers!
"He was afraid to stop any one, afraid to go into the store and ask for help, so he sat wringing his long sleeves and looking up a telegraph pole beside him, whimpering, ""My kitten, oh, my kitten!",0.2003,0.074,0.055,0.871,positive,O Pioneers!
"Her will fweeze!""",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"At the top of the pole crouched a shivering gray kitten, mewing faintly and clinging desperately to the wood with her claws.",-0.2023,0.077,0.111,0.812,negative,O Pioneers!
"The boy had been left at the store while his sister went to the doctor's office, and in her absence a dog had chased his kitten up the pole.",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"The little creature had never been so high before, and she was too frightened to move.",-0.4404,0.0,0.162,0.838,negative,O Pioneers!
Her master was sunk in despair.,-0.3182,0.0,0.315,0.685,negative,O Pioneers!
"He was a little country boy, and this village was to him a very strange and perplexing place, where people wore fine clothes and had hard hearts.",-0.1761,0.066,0.128,0.806,negative,O Pioneers!
"He always felt shy and awkward here, and wanted to hide behind things for fear some one might laugh at him.",-0.4404,0.128,0.302,0.569,negative,O Pioneers!
"Just now, he was too unhappy to care who laughed.",0.5267,0.388,0.175,0.438,positive,O Pioneers!
"At last he seemed to see a ray of hope: his sister was coming, and he got up and ran toward her in his heavy shoes.",0.4404,0.108,0.0,0.892,positive,O Pioneers!
"His sister was a tall, strong girl, and she walked rapidly and resolutely, as if she knew exactly where she was going and what she was going to do next.",0.5106,0.105,0.0,0.895,positive,O Pioneers!
"She wore a man's long ulster (not as if it were an affliction, but as if it were very comfortable and belonged to her; carried it like a young soldier), and a round plush cap, tied down with a thick veil.",0.8458,0.189,0.0,0.811,positive,O Pioneers!
"She had a serious, thoughtful face, and her clear, deep blue eyes were fixed intently on the distance, without seeming to see anything, as if she were in trouble.",0.296,0.157,0.12,0.723,positive,O Pioneers!
She did not notice the little boy until he pulled her by the coat.,0.0,0.0,0.0,1.0,neutral,O Pioneers!
Then she stopped short and stooped down to wipe his wet face.,-0.2263,0.0,0.147,0.853,negative,O Pioneers!
"""Why, Emil!",0.0,0.0,0.0,1.0,neutral,O Pioneers!
I told you to stay in the store and not to come out.,0.0,0.0,0.0,1.0,neutral,O Pioneers!
"What is the matter with you?""",0.0258,0.18,0.0,0.82,neutral,O Pioneers!
"""My kitten, sister, my kitten!",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"A man put her out, and a dog chased her up there.""",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"His forefinger, projecting from the sleeve of his coat, pointed up to the wretched little creature on the pole.",0.0,0.0,0.0,1.0,neutral,O Pioneers!
"""Oh, Emil!",0.0,0.0,0.0,1.0,neutral,O Pioneers!
